filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,16,5,75,3,19,1
636766fe1a6d9265ec01781c.java,6,2,31,1,8,1
6367675f1a6d9265ec0180cf.java,12,5,68,2,13,1
636766821a6d9265ec0174b6.java,31,8,228,2,35,1
636767dd1a6d9265ec0186de.java,4,1,32,2,4,1
6367675c1a6d9265ec01805b.java,12,3,51,0,12,1
636766f91a6d9265ec01777d.java,12,7,89,1,12,1
636767791a6d9265ec018263.java,8,2,48,1,9,1
636766f21a6d9265ec017667.java,4,1,46,1,4,1
636766fe1a6d9265ec017834.java,3,1,23,0,3,1
636766a81a6d9265ec01758e.java,40,13,198,2,47,1
6367676b1a6d9265ec0181df.java,9,4,64,2,9,1
636767611a6d9265ec018106.java,15,5,102,1,20,1
636766861a6d9265ec01755a.java,13,4,67,2,15,1
636766fb1a6d9265ec0177c1.java,3,2,17,1,3,1
636766f81a6d9265ec01775b.java,15,2,185,2,16,1
636767a51a6d9265ec01859d.java,17,10,114,4,20,1
636767021a6d9265ec0178bf.java,23,8,164,2,27,1
636767de1a6d9265ec01871e.java,15,6,91,2,21,1
6367677d1a6d9265ec0182fd.java,13,4,65,2,17,1
636766f01a6d9265ec017639.java,6,3,40,1,6,1
6367674b1a6d9265ec017dc0.java,11,4,82,0,16,1
636767791a6d9265ec01826d.java,22,6,148,2,31,1
636767441a6d9265ec017cc1.java,21,6,149,3,26,2
636767821a6d9265ec0183a0.java,9,5,54,1,10,1
636767781a6d9265ec01823e.java,44,11,282,2,53,1
636767531a6d9265ec017ef1.java,7,5,78,2,8,1
636766fe1a6d9265ec017838.java,10,3,70,1,11,1
636766851a6d9265ec01751b.java,12,7,83,1,19,1
636766811a6d9265ec017499.java,11,6,62,2,12,1
636767781a6d9265ec01823d.java,44,12,232,2,48,1
6367675a1a6d9265ec018010.java,14,5,57,3,15,1
636766a91a6d9265ec0175c4.java,21,5,132,1,24,1
636766a81a6d9265ec017595.java,15,4,106,3,19,1
6367672d1a6d9265ec017c73.java,11,4,62,2,14,1
636767061a6d9265ec01794a.java,19,6,106,2,27,1
636766f81a6d9265ec017758.java,3,1,17,0,3,1
636766f81a6d9265ec01775c.java,3,2,20,1,3,1
6367670a1a6d9265ec0179cf.java,6,2,30,2,6,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,1
636767dd1a6d9265ec0186e5.java,10,4,59,2,10,1
636767431a6d9265ec017c88.java,18,6,147,1,25,1
636767031a6d9265ec0178ef.java,9,2,81,2,9,1
636766851a6d9265ec017515.java,17,6,66,1,21,1
636767081a6d9265ec0179a2.java,11,4,57,1,13,1
636767121a6d9265ec017b0a.java,12,5,74,2,17,1
636767a31a6d9265ec018552.java,12,3,68,1,21,1
636766fa1a6d9265ec01779c.java,16,4,93,2,21,1
636767dd1a6d9265ec0186f3.java,13,6,101,4,25,1
636766fe1a6d9265ec017823.java,28,7,166,4,31,1
6367675c1a6d9265ec018058.java,4,1,31,1,4,1
636767a41a6d9265ec018582.java,26,9,220,7,37,1
636767581a6d9265ec017fc4.java,13,5,66,1,13,1
636767491a6d9265ec017d90.java,13,5,94,3,16,1
636767151a6d9265ec017b6b.java,15,7,99,3,16,1
636767691a6d9265ec0181aa.java,6,2,28,1,6,1
636766f81a6d9265ec01774b.java,11,3,58,1,11,1
636766fd1a6d9265ec017814.java,20,9,109,3,25,1
6367672d1a6d9265ec017c74.java,7,2,39,1,10,1
6367676a1a6d9265ec0181d4.java,9,2,73,2,10,1
636767ab1a6d9265ec018676.java,5,6,39,1,5,1
636767de1a6d9265ec01871c.java,14,5,72,2,15,1
6367670b1a6d9265ec017a00.java,12,5,70,2,12,1
636766fc1a6d9265ec0177da.java,27,19,87,1,30,1
6367670b1a6d9265ec0179fe.java,16,4,121,1,23,1
6367676a1a6d9265ec0181cd.java,11,5,69,1,14,1
636766801a6d9265ec017477.java,21,8,107,2,32,1
6367667d1a6d9265ec01741d.java,7,3,44,1,7,1
6367670a1a6d9265ec0179e7.java,24,8,126,1,30,1
6367674a1a6d9265ec017dab.java,6,3,34,2,6,1
636767781a6d9265ec018238.java,13,5,67,1,14,1
6367670c1a6d9265ec017a2a.java,10,3,66,1,11,1
6367676c1a6d9265ec018220.java,14,4,71,1,17,1
6367674a1a6d9265ec017da9.java,23,5,139,4,32,2
636767031a6d9265ec0178e6.java,10,3,77,1,11,1
6367670a1a6d9265ec0179f1.java,10,3,71,1,11,1
636767691a6d9265ec0181a6.java,13,4,93,2,17,1
6367667f1a6d9265ec017457.java,19,2,146,3,37,1
6367672d1a6d9265ec017c78.java,6,2,29,1,6,1
636766fa1a6d9265ec0177a4.java,10,3,71,1,11,1
636767841a6d9265ec0183f2.java,12,5,64,2,14,1
636767a61a6d9265ec0185b7.java,12,7,67,1,12,1
636766f11a6d9265ec017658.java,8,2,49,1,10,1
6367670b1a6d9265ec0179f2.java,16,8,91,1,16,1
6367676d1a6d9265ec018229.java,10,4,80,1,11,1
636767611a6d9265ec018116.java,14,4,91,2,20,1
636767861a6d9265ec018440.java,21,9,152,2,27,1
636766fa1a6d9265ec01779d.java,3,2,17,1,3,1
636766f21a6d9265ec017677.java,3,1,18,1,3,1
636766801a6d9265ec017482.java,16,4,111,1,23,1
636767dc1a6d9265ec0186c6.java,20,6,96,1,21,1
636767841a6d9265ec0183e8.java,12,4,57,1,16,1
636767431a6d9265ec017c8d.java,8,2,35,1,8,1
6367667c1a6d9265ec0173f7.java,3,2,16,0,3,1
636766fe1a6d9265ec017833.java,21,7,105,2,22,1
636766f91a6d9265ec01776e.java,31,11,202,4,38,1
6367677e1a6d9265ec018314.java,32,10,156,1,36,2
636767001a6d9265ec01787f.java,3,1,27,3,3,1
636767581a6d9265ec017fb4.java,17,7,152,1,24,1
6367670b1a6d9265ec017a0f.java,15,7,83,2,18,1
636767e11a6d9265ec018795.java,15,7,81,1,19,1
636767081a6d9265ec017989.java,10,3,70,1,11,1
