filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,16,5,83,3,16,1
636766fe1a6d9265ec01781c.java,12,4,92,2,12,1
6367675f1a6d9265ec0180cf.java,13,7,85,2,16,1
636766821a6d9265ec0174b6.java,19,5,135,2,21,1
636767dd1a6d9265ec0186de.java,11,2,84,3,12,1
6367675c1a6d9265ec01805b.java,13,5,70,4,18,1
636766f91a6d9265ec01777d.java,19,8,193,2,20,1
636767791a6d9265ec018263.java,15,5,107,2,15,1
636766f21a6d9265ec017667.java,15,5,127,3,16,1
636766fe1a6d9265ec017834.java,6,2,38,1,6,1
636766a81a6d9265ec01758e.java,35,15,215,3,40,1
6367676b1a6d9265ec0181df.java,16,5,142,3,16,1
636767611a6d9265ec018106.java,13,4,70,3,15,2
636766861a6d9265ec01755a.java,26,8,130,6,27,2
636766fb1a6d9265ec0177c1.java,11,3,98,2,11,1
636766f81a6d9265ec01775b.java,9,4,62,2,9,1
636767a51a6d9265ec01859d.java,13,7,108,3,16,1
636767021a6d9265ec0178bf.java,17,5,106,2,17,1
636767de1a6d9265ec01871e.java,20,6,142,3,24,1
6367677d1a6d9265ec0182fd.java,21,7,119,3,21,1
636766f01a6d9265ec017639.java,11,3,95,2,12,1
6367674b1a6d9265ec017dc0.java,24,6,153,5,24,2
636767791a6d9265ec01826d.java,18,4,126,3,22,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,15,4,89,2,16,1
636767781a6d9265ec01823e.java,19,6,101,3,19,1
636767531a6d9265ec017ef1.java,12,5,128,3,12,1
636766fe1a6d9265ec017838.java,20,6,139,2,20,1
636766851a6d9265ec01751b.java,20,8,181,2,21,1
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,7,2,42,1,8,1
6367675a1a6d9265ec018010.java,9,3,42,1,12,1
636766a91a6d9265ec0175c4.java,28,10,151,3,32,1
636766a81a6d9265ec017595.java,19,5,126,3,19,1
6367672d1a6d9265ec017c73.java,24,5,196,3,26,1
636767061a6d9265ec01794a.java,27,8,194,3,34,1
636766f81a6d9265ec017758.java,4,1,13,0,8,0
636766f81a6d9265ec01775c.java,9,3,80,2,9,1
6367670a1a6d9265ec0179cf.java,8,3,74,3,8,1
636766f01a6d9265ec01762e.java,11,3,100,2,12,1
636767dd1a6d9265ec0186e5.java,26,6,141,4,29,1
636767431a6d9265ec017c88.java,8,2,53,1,12,1
636767031a6d9265ec0178ef.java,16,4,142,3,22,1
636766851a6d9265ec017515.java,5,2,24,1,9,1
636767081a6d9265ec0179a2.java,12,3,91,2,12,1
636767121a6d9265ec017b0a.java,21,7,142,3,21,1
636767a31a6d9265ec018552.java,16,4,97,1,16,1
636766fa1a6d9265ec01779c.java,30,8,181,4,32,1
636767dd1a6d9265ec0186f3.java,7,2,51,3,13,1
636766fe1a6d9265ec017823.java,22,4,164,3,23,1
6367675c1a6d9265ec018058.java,10,2,91,2,10,1
636767a41a6d9265ec018582.java,14,2,107,5,17,1
636767581a6d9265ec017fc4.java,15,4,88,2,15,1
636767491a6d9265ec017d90.java,19,8,138,4,20,1
636767151a6d9265ec017b6b.java,20,7,168,4,20,1
636767691a6d9265ec0181aa.java,12,3,81,2,13,1
636766f81a6d9265ec01774b.java,16,4,80,1,18,1
636766fd1a6d9265ec017814.java,19,9,192,4,20,1
6367672d1a6d9265ec017c74.java,12,4,58,3,12,1
6367676a1a6d9265ec0181d4.java,14,3,110,3,14,1
636767ab1a6d9265ec018676.java,9,7,96,2,10,1
636767de1a6d9265ec01871c.java,15,4,110,4,15,1
6367670b1a6d9265ec017a00.java,13,4,135,3,14,1
636766fc1a6d9265ec0177da.java,11,6,89,2,14,1
6367670b1a6d9265ec0179fe.java,9,3,57,2,12,1
6367676a1a6d9265ec0181cd.java,15,5,93,2,15,1
636766801a6d9265ec017477.java,12,4,71,2,19,1
6367667d1a6d9265ec01741d.java,7,2,40,1,7,1
6367670a1a6d9265ec0179e7.java,6,2,37,3,6,1
6367674a1a6d9265ec017dab.java,9,3,43,2,9,1
636767781a6d9265ec018238.java,6,2,31,2,6,1
6367670c1a6d9265ec017a2a.java,21,6,144,2,21,1
6367676c1a6d9265ec018220.java,16,4,116,2,19,1
6367674a1a6d9265ec017da9.java,38,9,200,4,39,2
636767031a6d9265ec0178e6.java,17,5,121,2,18,1
6367670a1a6d9265ec0179f1.java,17,5,119,2,17,1
636767691a6d9265ec0181a6.java,21,6,155,3,24,1
6367667f1a6d9265ec017457.java,27,9,332,3,28,1
6367672d1a6d9265ec017c78.java,12,3,88,2,12,1
636766fa1a6d9265ec0177a4.java,17,5,121,2,17,1
636767841a6d9265ec0183f2.java,15,7,80,2,15,1
636767a61a6d9265ec0185b7.java,19,8,158,2,22,1
636766f11a6d9265ec017658.java,14,3,106,2,17,1
6367670b1a6d9265ec0179f2.java,12,4,66,4,12,1
6367676d1a6d9265ec018229.java,13,3,90,2,13,1
636767611a6d9265ec018116.java,5,1,40,2,5,1
636767861a6d9265ec018440.java,14,4,117,3,21,1
636766fa1a6d9265ec01779d.java,11,3,98,2,11,1
636766f21a6d9265ec017677.java,8,3,64,2,8,1
636766801a6d9265ec017482.java,16,3,118,1,26,1
636767dc1a6d9265ec0186c6.java,32,12,161,6,32,1
636767841a6d9265ec0183e8.java,12,4,49,2,12,2
636767431a6d9265ec017c8d.java,12,3,87,2,12,1
6367667c1a6d9265ec0173f7.java,12,3,88,2,13,1
636766fe1a6d9265ec017833.java,25,8,140,2,27,1
636766f91a6d9265ec01776e.java,23,9,135,3,24,1
6367677e1a6d9265ec018314.java,30,10,156,3,36,1
636767001a6d9265ec01787f.java,20,5,162,4,20,1
636767581a6d9265ec017fb4.java,20,8,137,3,21,1
6367670b1a6d9265ec017a0f.java,18,7,121,3,19,1
636767e11a6d9265ec018795.java,20,5,132,4,21,1
636767081a6d9265ec017989.java,21,6,144,2,21,1
636766f11a6d9265ec017663.java,13,4,147,3,14,1
636767461a6d9265ec017d0e.java,17,4,142,1,24,1
636767691a6d9265ec0181a7.java,14,5,86,3,16,1
6367677e1a6d9265ec01832e.java,13,4,94,2,13,1
636766fc1a6d9265ec0177ef.java,9,2,57,1,10,1
636766ff1a6d9265ec017851.java,12,5,75,2,15,1
636766a91a6d9265ec0175c2.java,19,5,121,2,19,1
6367675d1a6d9265ec018082.java,29,10,172,7,31,1
636766a91a6d9265ec0175ae.java,31,10,202,4,31,1
636766821a6d9265ec0174bf.java,12,4,101,2,13,1
636766f01a6d9265ec01763e.java,15,5,86,2,19,1
636766f81a6d9265ec017748.java,12,4,79,2,12,1
636766fa1a6d9265ec0177a9.java,8,3,41,1,8,1
636767781a6d9265ec018242.java,13,4,58,2,13,1
636767041a6d9265ec0178f8.java,16,5,146,2,18,1
636767601a6d9265ec0180e2.java,11,3,89,1,15,1
636766a81a6d9265ec017586.java,21,7,105,2,21,1
6367677e1a6d9265ec01830f.java,24,5,134,4,27,1
636767a31a6d9265ec01854f.java,8,2,29,0,13,1
6367667d1a6d9265ec0173ff.java,10,3,45,1,17,1
636766a91a6d9265ec0175c1.java,28,9,168,3,28,1
636767dc1a6d9265ec0186be.java,20,3,172,3,32,1
636767191a6d9265ec017c0f.java,13,3,92,1,13,1
636766fe1a6d9265ec01782a.java,14,4,96,4,22,1
636767021a6d9265ec0178bb.java,11,7,150,2,12,1
636767a41a6d9265ec018572.java,21,6,109,1,21,1
636767461a6d9265ec017d17.java,24,6,132,2,26,1
636767551a6d9265ec017f3f.java,15,8,130,4,15,1
636767691a6d9265ec0181ac.java,11,2,75,3,11,1
636767531a6d9265ec017efb.java,24,7,116,2,33,1
636767521a6d9265ec017ecc.java,30,7,308,6,30,1
636767041a6d9265ec017911.java,16,4,96,2,19,1
636767001a6d9265ec01787e.java,15,4,84,2,15,1
636766f71a6d9265ec017730.java,22,6,147,2,26,1
636767a41a6d9265ec01857e.java,10,4,91,3,10,1
636767a41a6d9265ec01856c.java,15,6,127,4,16,1
636766861a6d9265ec017553.java,15,4,97,3,15,1
6367667e1a6d9265ec01743a.java,14,4,76,1,15,1
636767df1a6d9265ec01873c.java,8,2,48,2,9,1
636767e11a6d9265ec018781.java,13,5,87,2,13,1
636767ab1a6d9265ec01867b.java,16,5,113,5,18,2
636766821a6d9265ec0174b3.java,15,5,71,4,18,1
636766ff1a6d9265ec01784b.java,17,6,112,2,17,1
6367676b1a6d9265ec0181ee.java,15,5,97,2,15,1
6367670a1a6d9265ec0179e8.java,11,4,104,2,12,1
6367675f1a6d9265ec0180d3.java,13,4,84,2,14,1
636767821a6d9265ec0183ab.java,15,5,99,2,16,1
636767031a6d9265ec0178dd.java,10,3,54,2,10,1
636766ae1a6d9265ec0175dc.java,10,3,56,2,10,1
636766ae1a6d9265ec0175d8.java,11,2,69,1,12,1
636766f11a6d9265ec01764f.java,16,4,108,3,17,1
6367667f1a6d9265ec017458.java,10,3,47,1,10,1
636766821a6d9265ec0174c9.java,14,4,117,1,16,1
6367667f1a6d9265ec01745c.java,22,7,161,3,23,1
636767aa1a6d9265ec01865a.java,21,5,106,4,23,1
636767511a6d9265ec017eb0.java,26,7,181,3,28,1
636767021a6d9265ec0178bc.java,12,4,99,3,12,1
636767e01a6d9265ec018764.java,17,5,85,3,17,1
636767841a6d9265ec0183ff.java,34,6,259,4,44,1
636767001a6d9265ec017873.java,11,3,79,2,11,1
636766ef1a6d9265ec01761a.java,18,4,124,2,18,1
6367676b1a6d9265ec0181e2.java,8,3,36,2,8,1
6367670b1a6d9265ec0179ff.java,11,4,109,2,12,1
636766f61a6d9265ec017701.java,13,4,113,3,13,1
636767dc1a6d9265ec0186cb.java,13,3,78,1,17,1
6367676c1a6d9265ec018223.java,15,4,107,3,17,1
636767631a6d9265ec018171.java,25,9,122,2,33,1
636766ff1a6d9265ec017853.java,6,2,41,2,6,1
636766f11a6d9265ec017641.java,13,4,65,1,13,1
6367667c1a6d9265ec0173fb.java,4,1,21,1,7,1
636766821a6d9265ec0174d2.java,6,2,27,2,7,1
6367676b1a6d9265ec0181dd.java,17,7,114,3,20,1
636766831a6d9265ec0174eb.java,16,6,125,3,18,1
636767e01a6d9265ec018755.java,15,4,110,1,20,1
636767df1a6d9265ec018744.java,19,5,103,4,21,2
6367667d1a6d9265ec017401.java,47,12,210,2,50,1
636766811a6d9265ec017496.java,15,4,82,1,15,1
6367670a1a6d9265ec0179d9.java,7,3,54,2,7,1
636767641a6d9265ec01817d.java,17,5,157,2,23,1
636767641a6d9265ec018190.java,12,4,102,3,17,1
636767611a6d9265ec018112.java,7,2,23,0,10,0
636767561a6d9265ec017f63.java,23,6,115,1,23,1
6367676b1a6d9265ec0181e9.java,22,8,205,4,23,1
636766f91a6d9265ec01777f.java,8,3,63,2,8,1
636767131a6d9265ec017b23.java,18,5,102,2,18,1
636767a81a6d9265ec0185fc.java,10,3,44,1,10,1
636767e11a6d9265ec018790.java,38,13,221,8,46,1
6367674f1a6d9265ec017e74.java,28,7,177,2,28,1
636767de1a6d9265ec018706.java,34,8,262,5,39,1
6367676c1a6d9265ec018204.java,27,10,202,3,31,1
6367676a1a6d9265ec0181bf.java,11,3,70,2,11,1
636767041a6d9265ec01790f.java,17,5,126,2,20,1
636766aa1a6d9265ec0175ce.java,9,2,67,4,13,1
636767de1a6d9265ec018726.java,24,5,147,3,28,1
636766f21a6d9265ec01767d.java,14,3,80,2,15,1
636767861a6d9265ec01844c.java,19,6,98,3,19,1
636766a81a6d9265ec017596.java,26,6,199,3,26,1
636766a81a6d9265ec01757b.java,25,7,135,6,28,2
636766ff1a6d9265ec017842.java,20,6,143,2,20,1
636767501a6d9265ec017e86.java,11,3,52,1,11,1
636766ff1a6d9265ec01783b.java,22,6,167,4,22,1
636767791a6d9265ec018257.java,11,2,56,2,13,1
636767691a6d9265ec0181ae.java,21,5,150,2,26,1
636766fb1a6d9265ec0177c3.java,11,2,94,2,11,1
6367667f1a6d9265ec01745d.java,31,9,163,4,35,2
6367677b1a6d9265ec0182bd.java,12,2,169,1,14,1
6367677f1a6d9265ec01834b.java,9,3,50,2,10,1
6367676c1a6d9265ec01820b.java,18,6,112,3,19,1
636767831a6d9265ec0183c9.java,18,6,114,2,19,1
636767aa1a6d9265ec01864a.java,14,4,93,2,16,1
636767601a6d9265ec0180fd.java,9,2,79,3,9,1
