filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,19,6,89,3,20,1
636766fe1a6d9265ec01781c.java,6,2,31,1,6,1
6367675f1a6d9265ec0180cf.java,12,5,68,2,16,1
636766821a6d9265ec0174b6.java,30,7,236,2,39,1
636767dd1a6d9265ec0186de.java,7,3,41,2,8,1
6367675c1a6d9265ec01805b.java,16,5,71,0,23,1
636766f91a6d9265ec01777d.java,12,7,89,1,12,1
636767791a6d9265ec018263.java,8,2,48,1,9,1
636766f21a6d9265ec017667.java,8,2,62,2,8,1
636766fe1a6d9265ec017834.java,3,1,16,0,3,1
636766a81a6d9265ec01758e.java,28,11,150,2,33,1
6367676b1a6d9265ec0181df.java,9,4,64,2,9,1
636767611a6d9265ec018106.java,17,5,109,1,26,1
636766861a6d9265ec01755a.java,23,7,117,4,26,2
636766fb1a6d9265ec0177c1.java,3,2,17,1,3,1
636766f81a6d9265ec01775b.java,14,2,168,2,14,1
636767a51a6d9265ec01859d.java,17,9,110,4,20,1
636767021a6d9265ec0178bf.java,22,7,168,2,26,1
636767de1a6d9265ec01871e.java,19,7,151,1,23,1
6367677d1a6d9265ec0182fd.java,13,4,65,2,17,1
636766f01a6d9265ec017639.java,6,2,34,1,6,1
6367674b1a6d9265ec017dc0.java,9,2,66,0,15,1
636767791a6d9265ec01826d.java,22,6,148,2,32,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,2
636767821a6d9265ec0183a0.java,8,4,47,1,8,1
636767781a6d9265ec01823e.java,46,12,273,2,55,1
636767531a6d9265ec017ef1.java,9,4,82,2,12,1
636766fe1a6d9265ec017838.java,10,3,70,1,11,1
636766851a6d9265ec01751b.java,12,7,83,1,18,1
636766811a6d9265ec017499.java,11,5,60,2,12,1
636767781a6d9265ec01823d.java,35,12,169,2,39,1
6367675a1a6d9265ec018010.java,11,3,45,0,13,1
636766a91a6d9265ec0175c4.java,16,4,105,1,19,1
636766a81a6d9265ec017595.java,12,3,91,2,13,1
6367672d1a6d9265ec017c73.java,11,4,62,2,13,1
636767061a6d9265ec01794a.java,19,6,106,2,29,1
636766f81a6d9265ec017758.java,3,1,15,0,3,1
636766f81a6d9265ec01775c.java,3,2,20,1,3,1
6367670a1a6d9265ec0179cf.java,6,2,30,2,6,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,1
636767dd1a6d9265ec0186e5.java,10,4,59,2,10,1
636767431a6d9265ec017c88.java,18,6,152,1,24,1
636767031a6d9265ec0178ef.java,9,2,81,2,9,1
636766851a6d9265ec017515.java,20,7,85,2,24,1
636767081a6d9265ec0179a2.java,11,4,57,1,12,1
636767121a6d9265ec017b0a.java,12,5,70,2,16,1
636767a31a6d9265ec018552.java,12,3,67,1,20,1
636766fa1a6d9265ec01779c.java,16,4,93,2,21,1
636767dd1a6d9265ec0186f3.java,9,4,60,2,10,1
636766fe1a6d9265ec017823.java,22,5,132,2,26,1
6367675c1a6d9265ec018058.java,4,1,31,1,4,1
636767a41a6d9265ec018582.java,20,4,133,6,32,1
636767581a6d9265ec017fc4.java,13,5,66,1,16,1
636767491a6d9265ec017d90.java,13,5,88,3,19,1
636767151a6d9265ec017b6b.java,11,6,85,3,11,1
636767691a6d9265ec0181aa.java,6,2,28,1,6,1
636766f81a6d9265ec01774b.java,16,4,86,1,16,1
636766fd1a6d9265ec017814.java,14,7,87,3,17,1
6367672d1a6d9265ec017c74.java,6,2,34,1,6,1
6367676a1a6d9265ec0181d4.java,8,2,59,2,9,1
636767ab1a6d9265ec018676.java,5,6,39,1,5,1
636767de1a6d9265ec01871c.java,9,4,51,2,10,1
6367670b1a6d9265ec017a00.java,12,5,70,2,12,1
636766fc1a6d9265ec0177da.java,7,5,32,1,13,1
6367670b1a6d9265ec0179fe.java,19,5,136,1,24,1
6367676a1a6d9265ec0181cd.java,11,5,73,1,14,1
636766801a6d9265ec017477.java,24,8,117,2,32,1
6367667d1a6d9265ec01741d.java,12,5,65,1,15,2
6367670a1a6d9265ec0179e7.java,6,2,28,1,6,1
6367674a1a6d9265ec017dab.java,6,3,34,2,6,1
636767781a6d9265ec018238.java,19,7,90,1,26,1
6367670c1a6d9265ec017a2a.java,10,3,70,1,11,1
6367676c1a6d9265ec018220.java,14,4,71,1,17,1
6367674a1a6d9265ec017da9.java,21,5,129,2,28,2
636767031a6d9265ec0178e6.java,10,3,77,1,11,1
6367670a1a6d9265ec0179f1.java,10,3,71,1,11,1
636767691a6d9265ec0181a6.java,13,4,93,2,17,1
6367667f1a6d9265ec017457.java,39,11,422,3,49,1
6367672d1a6d9265ec017c78.java,6,2,29,1,6,1
636766fa1a6d9265ec0177a4.java,10,3,71,1,11,1
636767841a6d9265ec0183f2.java,12,5,64,2,13,1
636767a61a6d9265ec0185b7.java,12,7,67,1,12,1
636766f11a6d9265ec017658.java,8,2,49,1,10,1
6367670b1a6d9265ec0179f2.java,31,9,161,4,33,2
6367676d1a6d9265ec018229.java,11,4,79,1,12,1
636767611a6d9265ec018116.java,17,6,105,2,21,1
636767861a6d9265ec018440.java,14,7,111,2,20,1
636766fa1a6d9265ec01779d.java,3,2,17,1,3,1
636766f21a6d9265ec017677.java,3,1,18,1,3,1
636766801a6d9265ec017482.java,11,2,79,1,20,1
636767dc1a6d9265ec0186c6.java,14,5,63,1,15,1
636767841a6d9265ec0183e8.java,13,4,67,2,17,1
636767431a6d9265ec017c8d.java,11,3,48,1,12,1
6367667c1a6d9265ec0173f7.java,3,2,16,0,3,1
636766fe1a6d9265ec017833.java,14,5,73,1,17,1
636766f91a6d9265ec01776e.java,16,8,161,2,17,1
6367677e1a6d9265ec018314.java,15,7,101,0,18,1
636767001a6d9265ec01787f.java,10,3,72,3,10,1
636767581a6d9265ec017fb4.java,20,7,159,1,27,1
6367670b1a6d9265ec017a0f.java,12,6,71,2,15,1
636767e11a6d9265ec018795.java,12,4,53,2,12,1
636767081a6d9265ec017989.java,10,3,77,1,11,1
636766f11a6d9265ec017663.java,12,5,70,2,12,1
636767461a6d9265ec017d0e.java,13,3,100,1,18,1
636767691a6d9265ec0181a7.java,10,4,58,2,11,1
6367677e1a6d9265ec01832e.java,14,5,69,1,19,1
636766fc1a6d9265ec0177ef.java,12,4,77,1,14,1
636766ff1a6d9265ec017851.java,14,7,83,3,16,1
636766a91a6d9265ec0175c2.java,9,3,44,0,9,1
6367675d1a6d9265ec018082.java,25,11,164,3,31,2
636766a91a6d9265ec0175ae.java,18,4,130,3,23,1
636766821a6d9265ec0174bf.java,12,6,98,1,12,1
636766f01a6d9265ec01763e.java,18,6,121,1,25,1
636766f81a6d9265ec017748.java,11,4,65,1,13,1
636766fa1a6d9265ec0177a9.java,8,3,41,1,8,1
636767781a6d9265ec018242.java,15,5,88,1,17,1
636767041a6d9265ec0178f8.java,24,7,174,2,27,1
636767601a6d9265ec0180e2.java,32,6,274,2,44,2
636766a81a6d9265ec017586.java,10,4,55,1,10,1
6367677e1a6d9265ec01830f.java,23,5,200,1,39,1
636767a31a6d9265ec01854f.java,24,5,121,0,31,1
6367667d1a6d9265ec0173ff.java,14,4,84,1,20,1
636766a91a6d9265ec0175c1.java,7,2,52,1,9,1
636767dc1a6d9265ec0186be.java,10,1,96,2,23,1
636767191a6d9265ec017c0f.java,7,2,52,1,9,1
636766fe1a6d9265ec01782a.java,28,5,240,3,29,1
636767021a6d9265ec0178bb.java,6,3,30,1,6,1
636767a41a6d9265ec018572.java,21,5,112,1,21,1
636767461a6d9265ec017d17.java,22,6,191,1,38,1
636767551a6d9265ec017f3f.java,5,1,40,3,5,1
636767691a6d9265ec0181ac.java,17,6,129,2,28,1
636767531a6d9265ec017efb.java,9,2,54,1,17,1
636767521a6d9265ec017ecc.java,35,10,212,7,41,2
636767041a6d9265ec017911.java,5,2,22,1,5,1
636767001a6d9265ec01787e.java,3,1,16,0,3,1
636766f71a6d9265ec017730.java,12,4,76,1,15,1
