filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,18,5,94,3,19,1
636766fe1a6d9265ec01781c.java,9,3,58,1,9,2
6367675f1a6d9265ec0180cf.java,10,5,64,2,10,1
636766821a6d9265ec0174b6.java,54,10,362,4,62,1
636767dd1a6d9265ec0186de.java,13,3,85,3,15,1
6367675c1a6d9265ec01805b.java,10,3,41,0,10,1
636766f91a6d9265ec01777d.java,19,8,169,2,21,1
636767791a6d9265ec018263.java,4,1,27,1,4,1
636766f21a6d9265ec017667.java,10,4,67,2,10,1
636766fe1a6d9265ec017834.java,6,2,38,1,6,1
636766a81a6d9265ec01758e.java,33,13,167,3,33,1
6367676b1a6d9265ec0181df.java,15,5,129,3,16,1
636767611a6d9265ec018106.java,7,2,37,1,8,1
636766861a6d9265ec01755a.java,10,3,55,2,10,1
636766fb1a6d9265ec0177c1.java,11,3,98,2,11,1
636766f81a6d9265ec01775b.java,10,4,67,2,10,1
636767a51a6d9265ec01859d.java,22,10,187,5,26,1
636767021a6d9265ec0178bf.java,28,10,179,2,33,0
636767de1a6d9265ec01871e.java,15,5,97,1,25,0
6367677d1a6d9265ec0182fd.java,18,5,116,3,19,1
636766f01a6d9265ec017639.java,6,2,38,1,6,1
6367674b1a6d9265ec017dc0.java,8,2,55,0,8,0
636767791a6d9265ec01826d.java,27,5,191,3,33,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,15,4,89,2,16,1
636767781a6d9265ec01823e.java,18,5,102,3,19,1
636767531a6d9265ec017ef1.java,5,2,56,2,5,1
636766fe1a6d9265ec017838.java,13,4,87,1,13,1
636766851a6d9265ec01751b.java,11,7,88,1,11,0
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,3,1,20,1,5,0
6367675a1a6d9265ec018010.java,8,3,36,1,8,1
636766a91a6d9265ec0175c4.java,38,15,182,2,51,0
636766a81a6d9265ec017595.java,15,4,106,2,15,1
6367672d1a6d9265ec017c73.java,17,4,88,2,17,1
636767061a6d9265ec01794a.java,27,6,182,3,33,1
636766f81a6d9265ec017758.java,5,1,19,0,9,0
636766f81a6d9265ec01775c.java,9,3,79,2,9,1
6367670a1a6d9265ec0179cf.java,8,3,72,3,8,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,0
636767dd1a6d9265ec0186e5.java,15,6,78,3,15,1
636767431a6d9265ec017c88.java,25,6,237,2,39,1
636767031a6d9265ec0178ef.java,15,3,148,3,20,1
636766851a6d9265ec017515.java,9,3,62,1,10,1
636767081a6d9265ec0179a2.java,11,4,57,1,11,0
636767121a6d9265ec017b0a.java,11,5,76,2,11,0
636767a31a6d9265ec018552.java,23,6,182,1,28,1
