filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,12,4,58,3,12,1
636766fe1a6d9265ec01781c.java,15,5,122,1,15,2
6367675f1a6d9265ec0180cf.java,24,7,185,3,27,1
636766821a6d9265ec0174b6.java,32,9,220,5,41,1
636767dd1a6d9265ec0186de.java,10,2,71,3,12,1
6367675c1a6d9265ec01805b.java,24,5,107,0,35,0
636766f91a6d9265ec01777d.java,19,8,193,2,20,1
636767791a6d9265ec018263.java,4,1,27,1,4,1
636766f21a6d9265ec017667.java,15,5,127,3,15,1
636766fe1a6d9265ec017834.java,6,2,38,1,6,1
636766a81a6d9265ec01758e.java,39,15,212,3,41,1
6367676b1a6d9265ec0181df.java,16,5,142,3,16,1
636767611a6d9265ec018106.java,10,3,48,2,12,1
636766861a6d9265ec01755a.java,28,8,158,5,28,2
636766fb1a6d9265ec0177c1.java,11,3,98,2,11,1
636766f81a6d9265ec01775b.java,10,4,71,2,10,1
636767a51a6d9265ec01859d.java,24,10,200,5,24,1
636767021a6d9265ec0178bf.java,17,5,100,2,17,1
636767de1a6d9265ec01871e.java,19,6,135,3,23,1
6367677d1a6d9265ec0182fd.java,20,5,147,3,20,1
636766f01a6d9265ec017639.java,14,3,99,2,16,1
6367674b1a6d9265ec017dc0.java,30,8,169,5,30,2
636767791a6d9265ec01826d.java,37,7,265,3,41,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,15,4,89,2,16,1
636767781a6d9265ec01823e.java,24,8,116,6,24,1
636767531a6d9265ec017ef1.java,17,5,212,3,18,1
636766fe1a6d9265ec017838.java,20,6,137,2,20,1
636766851a6d9265ec01751b.java,20,8,181,2,21,1
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,5,2,28,1,6,1
6367675a1a6d9265ec018010.java,3,1,12,0,4,1
636766a91a6d9265ec0175c4.java,36,10,198,4,43,1
636766a81a6d9265ec017595.java,25,6,179,4,25,1
6367672d1a6d9265ec017c73.java,24,5,196,3,26,1
636767061a6d9265ec01794a.java,24,6,134,3,31,1
636766f81a6d9265ec017758.java,4,1,13,0,9,0
636766f81a6d9265ec01775c.java,9,3,80,2,9,1
6367670a1a6d9265ec0179cf.java,8,3,74,3,8,1
636766f01a6d9265ec01762e.java,11,3,100,2,13,1
636767dd1a6d9265ec0186e5.java,24,5,140,4,26,1
636767431a6d9265ec017c88.java,19,6,143,3,22,1
636767031a6d9265ec0178ef.java,16,4,152,3,22,1
636766851a6d9265ec017515.java,6,2,34,1,7,1
636767081a6d9265ec0179a2.java,12,3,91,2,13,1
636767121a6d9265ec017b0a.java,18,6,125,3,18,1
636767a31a6d9265ec018552.java,16,4,100,2,16,1
636766fa1a6d9265ec01779c.java,31,8,190,4,33,1
636767dd1a6d9265ec0186f3.java,9,2,75,2,14,1
636766fe1a6d9265ec017823.java,18,4,136,3,18,1
6367675c1a6d9265ec018058.java,10,2,91,2,11,1
636767a41a6d9265ec018582.java,14,3,108,6,22,1
636767581a6d9265ec017fc4.java,15,4,88,2,15,1
636767491a6d9265ec017d90.java,19,8,138,4,20,1
636767151a6d9265ec017b6b.java,17,6,159,4,17,1
636767691a6d9265ec0181aa.java,12,3,81,2,13,1
636766f81a6d9265ec01774b.java,14,4,67,1,15,1
636766fd1a6d9265ec017814.java,18,9,159,4,19,1
6367672d1a6d9265ec017c74.java,19,5,117,4,19,1
6367676a1a6d9265ec0181d4.java,14,3,110,3,14,1
636767ab1a6d9265ec018676.java,10,7,108,2,11,1
636767de1a6d9265ec01871c.java,17,4,137,4,18,1
6367670b1a6d9265ec017a00.java,13,4,135,3,14,1
636766fc1a6d9265ec0177da.java,10,9,110,2,12,1
6367670b1a6d9265ec0179fe.java,9,3,57,1,12,1
6367676a1a6d9265ec0181cd.java,15,5,93,2,15,1
636766801a6d9265ec017477.java,16,5,89,2,23,0
6367667d1a6d9265ec01741d.java,7,2,40,1,7,1
6367670a1a6d9265ec0179e7.java,6,2,37,3,6,1
6367674a1a6d9265ec017dab.java,9,3,43,2,9,1
636767781a6d9265ec018238.java,6,2,31,2,6,1
6367670c1a6d9265ec017a2a.java,21,6,142,2,21,1
6367676c1a6d9265ec018220.java,18,4,140,2,21,1
6367674a1a6d9265ec017da9.java,52,13,271,4,53,1
636767031a6d9265ec0178e6.java,17,5,119,2,18,1
6367670a1a6d9265ec0179f1.java,21,6,141,2,23,1
636767691a6d9265ec0181a6.java,21,6,155,3,24,1
6367667f1a6d9265ec017457.java,37,14,417,3,43,1
6367672d1a6d9265ec017c78.java,12,3,88,2,12,1
636766fa1a6d9265ec0177a4.java,17,5,121,2,17,1
636767841a6d9265ec0183f2.java,15,7,80,2,15,1
636767a61a6d9265ec0185b7.java,20,8,165,2,21,1
636766f11a6d9265ec017658.java,14,3,106,2,17,1
6367670b1a6d9265ec0179f2.java,18,5,127,5,18,1
6367676d1a6d9265ec018229.java,13,3,92,2,13,1
636767611a6d9265ec018116.java,5,1,40,2,5,1
636767861a6d9265ec018440.java,20,6,167,3,21,1
636766fa1a6d9265ec01779d.java,11,3,98,2,11,1
636766f21a6d9265ec017677.java,8,3,64,2,8,1
636766801a6d9265ec017482.java,12,3,67,2,17,1
636767dc1a6d9265ec0186c6.java,17,6,74,3,17,1
636767841a6d9265ec0183e8.java,12,4,51,2,12,2
636767431a6d9265ec017c8d.java,12,3,91,2,12,1
6367667c1a6d9265ec0173f7.java,12,3,88,2,13,1
636766fe1a6d9265ec017833.java,44,14,267,2,46,1
636766f91a6d9265ec01776e.java,14,6,96,2,14,1
6367677e1a6d9265ec018314.java,41,9,241,5,48,1
636767001a6d9265ec01787f.java,20,5,162,4,20,1
636767581a6d9265ec017fb4.java,15,5,95,1,20,1
6367670b1a6d9265ec017a0f.java,18,7,121,3,19,1
636767e11a6d9265ec018795.java,22,8,109,4,22,1
636767081a6d9265ec017989.java,21,6,146,2,21,1
636766f11a6d9265ec017663.java,13,4,147,3,14,1
636767461a6d9265ec017d0e.java,9,2,79,1,12,1
636767691a6d9265ec0181a7.java,14,5,86,3,16,1
6367677e1a6d9265ec01832e.java,13,4,94,2,13,1
636766fc1a6d9265ec0177ef.java,14,3,107,2,15,1
636766ff1a6d9265ec017851.java,15,6,105,2,18,1
636766a91a6d9265ec0175c2.java,19,5,114,2,19,1
