filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,17,6,89,2,17,1
636766fe1a6d9265ec01781c.java,10,3,74,2,10,1
6367675f1a6d9265ec0180cf.java,10,5,64,2,11,1
636766821a6d9265ec0174b6.java,41,7,240,3,51,1
636767dd1a6d9265ec0186de.java,9,2,67,3,9,1
6367675c1a6d9265ec01805b.java,32,7,148,2,38,2
636766f91a6d9265ec01777d.java,16,8,148,2,17,1
636767791a6d9265ec018263.java,4,1,27,1,4,1
636766f21a6d9265ec017667.java,10,4,67,2,10,1
636766fe1a6d9265ec017834.java,3,1,16,0,3,1
636766a81a6d9265ec01758e.java,36,14,192,3,39,1
6367676b1a6d9265ec0181df.java,17,5,157,3,18,1
636767611a6d9265ec018106.java,13,4,63,2,15,2
636766861a6d9265ec01755a.java,22,4,159,2,27,1
636766fb1a6d9265ec0177c1.java,3,2,17,1,3,0
636766f81a6d9265ec01775b.java,10,4,67,2,10,1
636767a51a6d9265ec01859d.java,20,10,190,5,23,1
636767021a6d9265ec0178bf.java,28,10,169,2,33,0
636767de1a6d9265ec01871e.java,20,5,125,2,20,1
6367677d1a6d9265ec0182fd.java,19,5,130,3,20,1
636766f01a6d9265ec017639.java,14,3,105,2,17,1
6367674b1a6d9265ec017dc0.java,21,6,151,3,21,1
636767791a6d9265ec01826d.java,27,5,201,3,37,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,12,3,75,1,12,0
636767781a6d9265ec01823e.java,20,7,99,5,22,1
636767531a6d9265ec017ef1.java,5,2,56,2,5,1
636766fe1a6d9265ec017838.java,15,4,122,2,15,1
636766851a6d9265ec01751b.java,11,7,88,1,11,0
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,4,1,25,1,9,0
6367675a1a6d9265ec018010.java,8,3,36,1,8,1
636766a91a6d9265ec0175c4.java,22,6,134,3,27,1
636766a81a6d9265ec017595.java,18,8,135,2,22,1
6367672d1a6d9265ec017c73.java,24,5,169,3,24,1
636767061a6d9265ec01794a.java,23,6,127,3,28,1
636766f81a6d9265ec017758.java,3,1,8,0,5,0
636766f81a6d9265ec01775c.java,9,3,87,2,10,1
6367670a1a6d9265ec0179cf.java,8,3,72,3,8,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,0
636767dd1a6d9265ec0186e5.java,14,4,73,3,17,1
636767431a6d9265ec017c88.java,16,5,109,1,22,1
636767031a6d9265ec0178ef.java,16,4,142,3,19,1
636766851a6d9265ec017515.java,6,3,36,1,6,1
636767081a6d9265ec0179a2.java,11,4,57,1,11,0
636767121a6d9265ec017b0a.java,15,8,102,2,16,0
636767a31a6d9265ec018552.java,15,2,117,0,16,1
636766fa1a6d9265ec01779c.java,19,6,101,1,27,0
636767dd1a6d9265ec0186f3.java,12,5,69,3,12,1
636766fe1a6d9265ec017823.java,10,2,61,2,10,1
6367675c1a6d9265ec018058.java,15,2,101,2,16,1
636767a41a6d9265ec018582.java,9,1,73,4,18,1
636767581a6d9265ec017fc4.java,14,4,83,2,14,1
636767491a6d9265ec017d90.java,20,7,143,4,22,1
636767151a6d9265ec017b6b.java,13,6,79,3,13,0
636767691a6d9265ec0181aa.java,11,3,74,2,11,1
636766f81a6d9265ec01774b.java,19,5,97,1,19,1
636766fd1a6d9265ec017814.java,14,8,91,3,20,0
6367672d1a6d9265ec017c74.java,16,4,104,3,16,1
6367676a1a6d9265ec0181d4.java,8,2,59,2,14,1
636767ab1a6d9265ec018676.java,5,6,39,1,5,0
636767de1a6d9265ec01871c.java,19,5,131,4,19,1
6367670b1a6d9265ec017a00.java,5,3,51,2,5,0
636766fc1a6d9265ec0177da.java,4,1,25,1,7,0
6367670b1a6d9265ec0179fe.java,8,3,40,0,8,0
6367676a1a6d9265ec0181cd.java,16,6,110,2,19,1
636766801a6d9265ec017477.java,18,4,128,1,31,1
6367667d1a6d9265ec01741d.java,26,3,137,2,30,1
6367670a1a6d9265ec0179e7.java,9,3,55,3,9,1
6367674a1a6d9265ec017dab.java,18,7,99,2,20,1
636767781a6d9265ec018238.java,3,1,15,1,3,1
6367670c1a6d9265ec017a2a.java,10,3,72,1,10,1
6367676c1a6d9265ec018220.java,17,6,128,2,22,1
6367674a1a6d9265ec017da9.java,62,12,333,6,67,2
636767031a6d9265ec0178e6.java,10,3,72,1,10,1
6367670a1a6d9265ec0179f1.java,17,5,119,2,17,1
636767691a6d9265ec0181a6.java,22,6,162,3,25,1
6367667f1a6d9265ec017457.java,42,10,388,4,46,1
6367672d1a6d9265ec017c78.java,6,2,31,1,6,1
636766fa1a6d9265ec0177a4.java,17,5,121,2,17,1
636767841a6d9265ec0183f2.java,11,5,69,2,12,1
636767a61a6d9265ec0185b7.java,12,7,71,1,16,0
636766f11a6d9265ec017658.java,12,3,75,2,14,1
6367670b1a6d9265ec0179f2.java,6,2,34,2,6,1
6367676d1a6d9265ec018229.java,21,6,141,2,21,1
636767611a6d9265ec018116.java,5,1,40,2,5,1
636767861a6d9265ec018440.java,14,6,136,2,22,0
636766fa1a6d9265ec01779d.java,3,2,17,1,3,0
636766f21a6d9265ec017677.java,8,3,64,2,8,1
636766801a6d9265ec017482.java,17,5,105,2,22,1
636767dc1a6d9265ec0186c6.java,13,4,67,3,14,1
636767841a6d9265ec0183e8.java,11,4,46,1,11,1
636767431a6d9265ec017c8d.java,11,3,50,1,11,0
6367667c1a6d9265ec0173f7.java,3,1,12,0,4,0
636766fe1a6d9265ec017833.java,34,10,167,3,37,1
636766f91a6d9265ec01776e.java,59,22,363,6,60,1
6367677e1a6d9265ec018314.java,37,13,216,4,42,1
636767001a6d9265ec01787f.java,6,2,42,3,6,0
636767581a6d9265ec017fb4.java,18,6,137,1,22,1
6367670b1a6d9265ec017a0f.java,18,8,127,3,21,1
636767e11a6d9265ec018795.java,29,8,177,4,31,1
636767081a6d9265ec017989.java,17,5,122,2,17,1
636766f11a6d9265ec017663.java,14,4,155,3,15,1
636767461a6d9265ec017d0e.java,18,3,179,2,21,1
636767691a6d9265ec0181a7.java,16,6,102,3,18,1
6367677e1a6d9265ec01832e.java,12,3,54,1,15,1
636766fc1a6d9265ec0177ef.java,19,6,131,2,22,1
636766ff1a6d9265ec017851.java,11,5,69,2,13,0
636766a91a6d9265ec0175c2.java,9,3,43,0,9,1
6367675d1a6d9265ec018082.java,50,23,316,9,51,1
636766a91a6d9265ec0175ae.java,31,11,182,4,34,1
636766821a6d9265ec0174bf.java,12,4,102,2,12,1
636766f01a6d9265ec01763e.java,22,8,136,2,24,1
636766f81a6d9265ec017748.java,9,2,62,2,9,1
636766fa1a6d9265ec0177a9.java,9,3,37,1,9,1
636767781a6d9265ec018242.java,15,5,65,2,15,1
636767041a6d9265ec0178f8.java,14,4,90,1,15,0
636767601a6d9265ec0180e2.java,32,7,283,3,45,1
636766a81a6d9265ec017586.java,23,6,157,2,24,1
6367677e1a6d9265ec01830f.java,21,5,125,4,23,1
636767a31a6d9265ec01854f.java,19,5,78,1,23,1
6367667d1a6d9265ec0173ff.java,24,7,115,3,28,1
636766a91a6d9265ec0175c1.java,14,3,91,3,14,1
636767dc1a6d9265ec0186be.java,13,2,137,3,21,1
636767191a6d9265ec017c0f.java,14,3,91,3,14,1
636766fe1a6d9265ec01782a.java,11,2,115,3,18,1
