filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,25,8,117,2,25,1
636766fe1a6d9265ec01781c.java,14,5,112,1,14,2
6367675f1a6d9265ec0180cf.java,10,5,64,2,10,1
636766821a6d9265ec0174b6.java,16,4,117,2,21,1
636767dd1a6d9265ec0186de.java,11,2,84,3,12,1
6367675c1a6d9265ec01805b.java,9,2,50,0,9,1
636766f91a6d9265ec01777d.java,19,8,193,2,20,1
636767791a6d9265ec018263.java,15,4,101,2,15,1
636766f21a6d9265ec017667.java,15,5,129,3,15,1
636766fe1a6d9265ec017834.java,6,2,38,1,6,1
636766a81a6d9265ec01758e.java,44,16,220,3,44,1
6367676b1a6d9265ec0181df.java,16,5,142,3,16,1
636767611a6d9265ec018106.java,10,3,48,2,12,1
636766861a6d9265ec01755a.java,32,8,216,5,33,2
636766fb1a6d9265ec0177c1.java,11,3,98,2,11,1
636766f81a6d9265ec01775b.java,16,4,185,2,16,1
636767a51a6d9265ec01859d.java,15,8,115,3,19,1
636767021a6d9265ec0178bf.java,20,6,117,2,20,1
636767de1a6d9265ec01871e.java,20,6,144,3,24,1
6367677d1a6d9265ec0182fd.java,20,5,127,3,20,1
636766f01a6d9265ec017639.java,14,3,99,2,15,1
6367674b1a6d9265ec017dc0.java,30,8,173,5,30,2
636767791a6d9265ec01826d.java,18,4,126,3,22,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,15,4,89,2,16,1
636767781a6d9265ec01823e.java,12,4,52,2,17,1
636767531a6d9265ec017ef1.java,12,5,128,3,12,1
636766fe1a6d9265ec017838.java,20,6,139,2,20,1
636766851a6d9265ec01751b.java,20,8,181,2,21,1
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,7,2,42,1,8,1
6367675a1a6d9265ec018010.java,6,2,28,0,10,1
636766a91a6d9265ec0175c4.java,21,5,130,3,24,1
636766a81a6d9265ec017595.java,27,7,175,4,27,1
6367672d1a6d9265ec017c73.java,22,5,164,3,24,1
636767061a6d9265ec01794a.java,23,6,129,3,29,1
636766f81a6d9265ec017758.java,4,1,13,0,9,0
636766f81a6d9265ec01775c.java,9,3,80,2,9,1
6367670a1a6d9265ec0179cf.java,8,3,74,3,8,1
636766f01a6d9265ec01762e.java,11,3,100,2,12,1
636767dd1a6d9265ec0186e5.java,18,6,101,4,20,1
636767431a6d9265ec017c88.java,8,2,53,1,12,1
636767031a6d9265ec0178ef.java,18,5,171,3,24,1
636766851a6d9265ec017515.java,8,3,49,1,10,1
636767081a6d9265ec0179a2.java,12,3,91,2,13,1
636767121a6d9265ec017b0a.java,12,5,76,2,14,0
636767a31a6d9265ec018552.java,14,3,91,1,14,1
636766fa1a6d9265ec01779c.java,30,8,181,4,32,1
636767dd1a6d9265ec0186f3.java,7,2,63,2,10,1
636766fe1a6d9265ec017823.java,19,4,139,3,19,1
6367675c1a6d9265ec018058.java,15,2,101,2,16,1
636767a41a6d9265ec018582.java,14,2,120,5,15,1
636767581a6d9265ec017fc4.java,15,4,88,2,15,1
636767491a6d9265ec017d90.java,19,8,138,4,20,1
636767151a6d9265ec017b6b.java,20,7,168,4,20,1
636767691a6d9265ec0181aa.java,12,3,81,2,13,1
636766f81a6d9265ec01774b.java,10,3,51,1,10,1
636766fd1a6d9265ec017814.java,18,9,159,4,19,1
6367672d1a6d9265ec017c74.java,19,5,117,4,19,1
6367676a1a6d9265ec0181d4.java,14,3,110,3,16,1
636767ab1a6d9265ec018676.java,11,7,111,2,13,1
636767de1a6d9265ec01871c.java,15,4,108,4,15,1
6367670b1a6d9265ec017a00.java,13,4,135,3,14,1
636766fc1a6d9265ec0177da.java,9,5,68,2,12,1
6367670b1a6d9265ec0179fe.java,22,6,135,2,25,1
6367676a1a6d9265ec0181cd.java,15,5,93,2,17,1
636766801a6d9265ec017477.java,22,5,136,1,24,1
6367667d1a6d9265ec01741d.java,7,2,40,1,7,1
6367670a1a6d9265ec0179e7.java,6,2,37,3,6,1
6367674a1a6d9265ec017dab.java,6,3,34,2,6,1
636767781a6d9265ec018238.java,6,2,31,2,6,1
6367670c1a6d9265ec017a2a.java,13,4,85,1,13,1
6367676c1a6d9265ec018220.java,16,4,102,2,19,1
6367674a1a6d9265ec017da9.java,37,9,192,4,37,1
636767031a6d9265ec0178e6.java,17,5,121,2,18,1
6367670a1a6d9265ec0179f1.java,17,5,121,2,20,1
636767691a6d9265ec0181a6.java,21,6,155,3,24,1
6367667f1a6d9265ec017457.java,32,14,399,3,32,1
