filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,18,5,99,2,22,1
636766fe1a6d9265ec01781c.java,6,2,31,1,6,1
6367675f1a6d9265ec0180cf.java,13,5,69,2,17,1
636766821a6d9265ec0174b6.java,27,6,195,2,39,1
636767dd1a6d9265ec0186de.java,5,1,31,2,6,1
6367675c1a6d9265ec01805b.java,14,5,67,0,18,1
636766f91a6d9265ec01777d.java,12,7,89,1,12,1
636767791a6d9265ec018263.java,8,2,48,1,9,1
636766f21a6d9265ec017667.java,8,2,60,2,8,1
636766fe1a6d9265ec017834.java,3,1,16,0,3,1
636766a81a6d9265ec01758e.java,25,10,135,2,29,1
6367676b1a6d9265ec0181df.java,9,4,71,2,9,1
636767611a6d9265ec018106.java,27,8,129,5,29,2
636766861a6d9265ec01755a.java,14,4,79,2,17,1
636766fb1a6d9265ec0177c1.java,3,2,17,1,3,1
636766f81a6d9265ec01775b.java,14,2,177,2,14,1
636767a51a6d9265ec01859d.java,17,9,110,4,20,1
636767021a6d9265ec0178bf.java,20,6,137,2,24,1
636767de1a6d9265ec01871e.java,16,8,128,2,20,1
6367677d1a6d9265ec0182fd.java,13,4,61,2,17,1
636766f01a6d9265ec017639.java,6,2,32,1,6,1
6367674b1a6d9265ec017dc0.java,18,5,93,2,21,2
636767791a6d9265ec01826d.java,23,6,152,2,32,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,2
636767821a6d9265ec0183a0.java,8,3,40,1,8,1
636767781a6d9265ec01823e.java,43,12,236,3,49,1
636767531a6d9265ec017ef1.java,8,4,71,2,10,1
636766fe1a6d9265ec017838.java,10,3,70,1,11,1
636766851a6d9265ec01751b.java,12,7,83,1,19,1
636766811a6d9265ec017499.java,11,5,56,2,12,1
636767781a6d9265ec01823d.java,38,11,191,2,41,1
6367675a1a6d9265ec018010.java,11,3,55,0,14,1
636766a91a6d9265ec0175c4.java,49,22,211,1,58,1
636766a81a6d9265ec017595.java,12,3,81,2,15,1
6367672d1a6d9265ec017c73.java,11,4,62,2,15,1
636767061a6d9265ec01794a.java,19,6,106,2,22,1
636766f81a6d9265ec017758.java,8,3,71,0,8,1
636766f81a6d9265ec01775c.java,3,2,20,1,3,1
6367670a1a6d9265ec0179cf.java,6,2,30,2,6,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,1
636767dd1a6d9265ec0186e5.java,10,4,63,2,10,1
636767431a6d9265ec017c88.java,18,6,152,1,23,1
636767031a6d9265ec0178ef.java,9,2,81,2,9,1
636766851a6d9265ec017515.java,21,10,81,3,24,1
636767081a6d9265ec0179a2.java,11,4,57,1,11,1
636767121a6d9265ec017b0a.java,13,5,83,2,17,1
636767a31a6d9265ec018552.java,12,3,67,1,20,1
636766fa1a6d9265ec01779c.java,12,3,74,1,17,1
636767dd1a6d9265ec0186f3.java,8,4,45,2,8,1
636766fe1a6d9265ec017823.java,60,14,345,9,72,1
6367675c1a6d9265ec018058.java,4,1,32,1,4,1
636767a41a6d9265ec018582.java,12,2,102,4,23,1
636767581a6d9265ec017fc4.java,13,5,66,1,15,1
636767491a6d9265ec017d90.java,15,7,95,3,19,1
636767151a6d9265ec017b6b.java,16,7,102,3,17,1
636767691a6d9265ec0181aa.java,6,2,28,1,6,1
636766f81a6d9265ec01774b.java,16,4,86,1,16,1
636766fd1a6d9265ec017814.java,14,7,87,3,17,1
6367672d1a6d9265ec017c74.java,6,2,34,1,6,1
6367676a1a6d9265ec0181d4.java,9,2,73,2,11,1
636767ab1a6d9265ec018676.java,5,6,39,1,5,1
636767de1a6d9265ec01871c.java,9,4,53,2,10,1
6367670b1a6d9265ec017a00.java,12,5,70,2,12,1
636766fc1a6d9265ec0177da.java,3,5,32,1,3,1
6367670b1a6d9265ec0179fe.java,10,4,60,1,13,1
6367676a1a6d9265ec0181cd.java,11,4,63,1,14,1
636766801a6d9265ec017477.java,24,8,113,2,35,1
6367667d1a6d9265ec01741d.java,21,8,136,1,27,1
6367670a1a6d9265ec0179e7.java,24,7,124,1,31,1
6367674a1a6d9265ec017dab.java,6,3,34,2,6,1
636767781a6d9265ec018238.java,12,5,55,1,13,1
6367670c1a6d9265ec017a2a.java,10,3,70,1,11,1
6367676c1a6d9265ec018220.java,14,4,73,1,19,1
6367674a1a6d9265ec017da9.java,22,5,135,2,28,2
636767031a6d9265ec0178e6.java,10,3,66,1,11,1
6367670a1a6d9265ec0179f1.java,10,3,71,1,11,1
636767691a6d9265ec0181a6.java,13,4,93,2,17,1
6367667f1a6d9265ec017457.java,31,5,336,3,43,1
6367672d1a6d9265ec017c78.java,6,2,29,1,6,1
636766fa1a6d9265ec0177a4.java,10,3,71,1,11,1
636767841a6d9265ec0183f2.java,12,5,64,2,14,1
636767a61a6d9265ec0185b7.java,12,7,67,1,12,1
636766f11a6d9265ec017658.java,8,2,49,1,10,1
6367670b1a6d9265ec0179f2.java,27,10,165,4,31,2
6367676d1a6d9265ec018229.java,14,4,89,1,17,1
636767611a6d9265ec018116.java,11,5,103,2,17,1
636767861a6d9265ec018440.java,14,7,109,2,22,1
636766fa1a6d9265ec01779d.java,3,2,17,1,3,1
636766f21a6d9265ec017677.java,3,1,18,1,3,1
636766801a6d9265ec017482.java,16,4,110,1,26,1
636767dc1a6d9265ec0186c6.java,9,3,42,1,9,1
636767841a6d9265ec0183e8.java,12,4,57,1,16,1
636767431a6d9265ec017c8d.java,6,2,32,1,8,1
6367667c1a6d9265ec0173f7.java,3,2,16,0,3,1
636766fe1a6d9265ec017833.java,24,4,135,1,29,1
636766f91a6d9265ec01776e.java,27,9,193,4,33,1
6367677e1a6d9265ec018314.java,29,9,150,1,38,2
636767001a6d9265ec01787f.java,10,3,72,3,10,1
636767581a6d9265ec017fb4.java,17,6,139,1,24,1
6367670b1a6d9265ec017a0f.java,12,6,71,2,15,1
636767e11a6d9265ec018795.java,12,4,48,2,12,1
