filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,18,5,92,3,19,1
636766fe1a6d9265ec01781c.java,13,4,91,1,13,2
6367675f1a6d9265ec0180cf.java,10,5,64,2,11,1
636766821a6d9265ec0174b6.java,57,12,393,4,68,1
636767dd1a6d9265ec0186de.java,13,3,85,3,15,1
6367675c1a6d9265ec01805b.java,10,3,41,0,10,1
636766f91a6d9265ec01777d.java,16,8,148,2,17,1
636767791a6d9265ec018263.java,6,2,33,1,6,1
636766f21a6d9265ec017667.java,10,4,67,2,10,1
636766fe1a6d9265ec017834.java,6,2,38,1,6,1
636766a81a6d9265ec01758e.java,38,14,216,3,43,1
6367676b1a6d9265ec0181df.java,15,5,129,3,15,1
636767611a6d9265ec018106.java,15,5,113,4,21,1
636766861a6d9265ec01755a.java,23,5,159,3,25,1
636766fb1a6d9265ec0177c1.java,3,2,17,1,3,0
636766f81a6d9265ec01775b.java,10,4,67,2,10,1
636767a51a6d9265ec01859d.java,21,9,168,4,27,1
636767021a6d9265ec0178bf.java,28,10,167,2,33,0
636767de1a6d9265ec01871e.java,31,10,196,3,41,1
6367677d1a6d9265ec0182fd.java,22,5,172,3,23,1
636766f01a6d9265ec017639.java,14,3,107,2,17,1
6367674b1a6d9265ec017dc0.java,8,2,55,0,8,0
636767791a6d9265ec01826d.java,24,5,183,3,35,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,15,4,89,2,16,1
636767781a6d9265ec01823e.java,39,10,179,1,39,1
636767531a6d9265ec017ef1.java,10,3,113,3,10,1
636766fe1a6d9265ec017838.java,17,5,122,2,17,1
636766851a6d9265ec01751b.java,11,7,88,1,11,0
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,3,1,20,1,5,0
6367675a1a6d9265ec018010.java,23,6,154,3,27,1
636766a91a6d9265ec0175c4.java,43,11,250,3,51,1
636766a81a6d9265ec017595.java,25,7,137,3,25,1
6367672d1a6d9265ec017c73.java,17,4,88,2,17,1
636767061a6d9265ec01794a.java,25,6,158,3,30,1
636766f81a6d9265ec017758.java,5,1,19,0,8,0
636766f81a6d9265ec01775c.java,9,3,87,2,10,1
6367670a1a6d9265ec0179cf.java,8,3,72,3,8,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,0
636767dd1a6d9265ec0186e5.java,16,6,85,3,16,1
636767431a6d9265ec017c88.java,16,5,111,1,20,1
636767031a6d9265ec0178ef.java,15,3,148,3,20,1
636766851a6d9265ec017515.java,12,4,87,1,12,1
636767081a6d9265ec0179a2.java,11,4,57,1,11,0
636767121a6d9265ec017b0a.java,11,5,68,2,11,0
636767a31a6d9265ec018552.java,15,5,84,1,15,1
636766fa1a6d9265ec01779c.java,16,5,104,1,17,0
636767dd1a6d9265ec0186f3.java,15,5,93,3,15,1
636766fe1a6d9265ec017823.java,9,2,56,2,9,1
6367675c1a6d9265ec018058.java,16,4,107,3,16,1
636767a41a6d9265ec018582.java,12,1,128,4,21,1
636767581a6d9265ec017fc4.java,14,4,83,2,14,1
636767491a6d9265ec017d90.java,12,6,83,3,13,0
636767151a6d9265ec017b6b.java,13,6,79,3,13,0
636767691a6d9265ec0181aa.java,11,3,74,2,11,1
636766f81a6d9265ec01774b.java,16,4,89,2,16,1
636766fd1a6d9265ec017814.java,20,8,151,4,20,1
6367672d1a6d9265ec017c74.java,12,4,60,3,12,1
6367676a1a6d9265ec0181d4.java,14,3,112,3,14,1
636767ab1a6d9265ec018676.java,3,6,39,1,3,0
636767de1a6d9265ec01871c.java,15,4,110,4,15,1
6367670b1a6d9265ec017a00.java,15,4,160,3,16,1
636766fc1a6d9265ec0177da.java,3,8,44,1,4,0
6367670b1a6d9265ec0179fe.java,18,5,110,2,24,1
6367676a1a6d9265ec0181cd.java,16,5,106,2,19,1
636766801a6d9265ec017477.java,16,6,95,1,18,1
6367667d1a6d9265ec01741d.java,26,3,139,2,30,1
6367670a1a6d9265ec0179e7.java,6,2,39,3,6,1
6367674a1a6d9265ec017dab.java,15,7,78,2,15,1
636767781a6d9265ec018238.java,6,2,26,1,6,1
6367670c1a6d9265ec017a2a.java,17,5,128,2,17,1
6367676c1a6d9265ec018220.java,17,6,128,2,22,1
6367674a1a6d9265ec017da9.java,60,12,329,6,68,2
636767031a6d9265ec0178e6.java,10,3,72,1,10,1
6367670a1a6d9265ec0179f1.java,17,5,119,2,17,1
636767691a6d9265ec0181a6.java,22,6,162,3,25,1
6367667f1a6d9265ec017457.java,8,1,69,3,10,1
6367672d1a6d9265ec017c78.java,6,2,31,1,6,1
636766fa1a6d9265ec0177a4.java,17,5,121,2,17,1
636767841a6d9265ec0183f2.java,13,7,86,2,13,1
636767a61a6d9265ec0185b7.java,11,7,76,1,11,0
636766f11a6d9265ec017658.java,14,3,106,2,17,1
6367670b1a6d9265ec0179f2.java,6,2,34,2,6,1
6367676d1a6d9265ec018229.java,21,6,141,2,21,1
636767611a6d9265ec018116.java,17,2,141,3,19,1
636767861a6d9265ec018440.java,10,5,70,2,14,0
636766fa1a6d9265ec01779d.java,3,2,17,1,3,0
636766f21a6d9265ec017677.java,8,3,64,2,8,1
636766801a6d9265ec017482.java,17,4,138,2,23,1
636767dc1a6d9265ec0186c6.java,25,10,142,5,25,2
636767841a6d9265ec0183e8.java,11,4,46,1,11,1
636767431a6d9265ec017c8d.java,15,4,78,2,15,1
6367667c1a6d9265ec0173f7.java,3,1,12,0,4,0
636766fe1a6d9265ec017833.java,26,8,128,2,29,1
636766f91a6d9265ec01776e.java,14,7,104,3,16,1
6367677e1a6d9265ec018314.java,31,8,156,3,35,2
636767001a6d9265ec01787f.java,6,2,42,3,6,0
636767581a6d9265ec017fb4.java,26,7,172,3,30,1
6367670b1a6d9265ec017a0f.java,17,8,122,3,18,1
636767e11a6d9265ec018795.java,6,2,33,1,9,1
636767081a6d9265ec017989.java,20,6,137,2,21,1
636766f11a6d9265ec017663.java,15,4,176,3,16,1
636767461a6d9265ec017d0e.java,15,4,127,1,21,0
636767691a6d9265ec0181a7.java,16,6,102,3,18,1
6367677e1a6d9265ec01832e.java,8,2,34,1,8,1
636766fc1a6d9265ec0177ef.java,12,4,77,1,14,1
636766ff1a6d9265ec017851.java,12,5,83,2,12,1
636766a91a6d9265ec0175c2.java,9,3,45,0,9,1
6367675d1a6d9265ec018082.java,65,26,364,8,66,1
636766a91a6d9265ec0175ae.java,35,11,219,4,40,1
636766821a6d9265ec0174bf.java,10,4,71,2,10,1
636766f01a6d9265ec01763e.java,27,9,167,2,30,1
636766f81a6d9265ec017748.java,9,2,62,2,9,1
636766fa1a6d9265ec0177a9.java,11,4,57,1,11,1
636767781a6d9265ec018242.java,15,5,65,2,15,1
636767041a6d9265ec0178f8.java,20,5,158,2,22,1
636767601a6d9265ec0180e2.java,25,7,150,3,35,2
636766a81a6d9265ec017586.java,20,7,106,2,20,1
6367677e1a6d9265ec01830f.java,12,1,84,1,14,1
636767a31a6d9265ec01854f.java,23,6,98,1,32,1
6367667d1a6d9265ec0173ff.java,3,1,13,1,6,1
636766a91a6d9265ec0175c1.java,5,1,44,1,10,0
636767dc1a6d9265ec0186be.java,11,2,106,3,17,1
636767191a6d9265ec017c0f.java,9,2,53,2,9,1
636766fe1a6d9265ec01782a.java,16,3,120,3,34,1
636767021a6d9265ec0178bb.java,14,4,118,2,15,1
636767a41a6d9265ec018572.java,13,3,80,1,13,1
636767461a6d9265ec017d17.java,19,4,120,2,24,1
636767551a6d9265ec017f3f.java,14,7,150,4,15,1
636767691a6d9265ec0181ac.java,13,2,94,3,22,1
636767531a6d9265ec017efb.java,8,2,41,1,8,1
636767521a6d9265ec017ecc.java,14,2,174,2,18,1
636767041a6d9265ec017911.java,11,4,48,2,11,1
636767001a6d9265ec01787e.java,3,1,14,0,3,0
636766f71a6d9265ec017730.java,12,4,76,1,14,1
636767a41a6d9265ec01857e.java,3,1,20,2,3,0
636767a41a6d9265ec01856c.java,15,6,135,4,16,1
636766861a6d9265ec017553.java,14,3,103,2,15,1
6367667e1a6d9265ec01743a.java,11,3,69,2,11,1
636767df1a6d9265ec01873c.java,9,2,53,2,10,1
636767e11a6d9265ec018781.java,23,7,96,4,24,1
636767ab1a6d9265ec01867b.java,34,6,276,6,36,1
636766821a6d9265ec0174b3.java,10,3,56,1,18,0
636766ff1a6d9265ec01784b.java,17,6,124,2,17,1
6367676b1a6d9265ec0181ee.java,15,5,105,2,17,1
6367670a1a6d9265ec0179e8.java,6,3,30,1,6,1
6367675f1a6d9265ec0180d3.java,11,3,101,1,16,1
636767821a6d9265ec0183ab.java,11,3,65,1,12,1
636767031a6d9265ec0178dd.java,28,6,148,2,28,1
636766ae1a6d9265ec0175dc.java,3,1,19,1,3,1
