filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,17,5,89,3,17,1
636766fe1a6d9265ec01781c.java,14,5,106,1,14,2
6367675f1a6d9265ec0180cf.java,24,7,185,3,27,1
636766821a6d9265ec0174b6.java,30,9,203,5,34,1
636767dd1a6d9265ec0186de.java,11,2,84,3,12,1
6367675c1a6d9265ec01805b.java,40,11,215,1,45,1
636766f91a6d9265ec01777d.java,19,8,188,2,20,1
636767791a6d9265ec018263.java,15,4,101,2,15,1
636766f21a6d9265ec017667.java,9,4,73,2,9,1
636766fe1a6d9265ec017834.java,6,2,38,1,6,1
636766a81a6d9265ec01758e.java,38,15,200,3,40,1
6367676b1a6d9265ec0181df.java,15,5,128,3,16,1
636767611a6d9265ec018106.java,16,5,87,3,18,1
636766861a6d9265ec01755a.java,27,7,182,5,28,2
636766fb1a6d9265ec0177c1.java,11,3,98,2,11,1
636766f81a6d9265ec01775b.java,16,4,194,2,16,1
636767a51a6d9265ec01859d.java,16,8,162,5,17,1
636767021a6d9265ec0178bf.java,12,5,94,2,12,1
636767de1a6d9265ec01871e.java,16,5,118,2,18,1
6367677d1a6d9265ec0182fd.java,19,5,113,3,19,1
636766f01a6d9265ec017639.java,14,3,99,2,16,1
6367674b1a6d9265ec017dc0.java,30,8,173,5,30,2
636767791a6d9265ec01826d.java,18,4,126,3,22,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,15,4,89,2,16,1
636767781a6d9265ec01823e.java,9,3,40,1,16,1
636767531a6d9265ec017ef1.java,12,5,128,3,12,1
636766fe1a6d9265ec017838.java,20,6,139,2,21,1
636766851a6d9265ec01751b.java,17,8,145,2,18,1
636766811a6d9265ec017499.java,8,3,45,2,8,1
636767781a6d9265ec01823d.java,6,2,35,1,8,1
6367675a1a6d9265ec018010.java,3,1,12,0,3,1
636766a91a6d9265ec0175c4.java,35,10,242,3,39,1
636766a81a6d9265ec017595.java,19,5,126,3,19,1
6367672d1a6d9265ec017c73.java,21,5,148,3,23,1
636767061a6d9265ec01794a.java,21,5,122,3,26,1
636766f81a6d9265ec017758.java,4,1,13,0,9,0
636766f81a6d9265ec01775c.java,9,3,88,2,9,1
6367670a1a6d9265ec0179cf.java,8,3,74,3,8,1
636766f01a6d9265ec01762e.java,11,3,100,2,12,1
636767dd1a6d9265ec0186e5.java,26,6,141,4,29,1
636767431a6d9265ec017c88.java,15,4,104,2,21,1
636767031a6d9265ec0178ef.java,18,5,171,3,24,1
636766851a6d9265ec017515.java,6,2,30,1,8,1
636767081a6d9265ec0179a2.java,12,3,91,2,13,1
636767121a6d9265ec017b0a.java,17,9,113,2,18,0
636767a31a6d9265ec018552.java,16,4,97,1,16,1
636766fa1a6d9265ec01779c.java,30,8,181,4,32,1
636767dd1a6d9265ec0186f3.java,18,6,123,4,18,1
636766fe1a6d9265ec017823.java,19,4,138,3,20,1
6367675c1a6d9265ec018058.java,15,2,101,2,16,1
636767a41a6d9265ec018582.java,19,3,168,5,28,1
636767581a6d9265ec017fc4.java,15,4,88,2,15,1
636767491a6d9265ec017d90.java,19,8,138,4,20,1
636767151a6d9265ec017b6b.java,20,7,168,4,20,1
636767691a6d9265ec0181aa.java,12,3,81,2,13,1
636766f81a6d9265ec01774b.java,10,3,51,1,10,1
636766fd1a6d9265ec017814.java,18,9,159,4,19,1
6367672d1a6d9265ec017c74.java,19,5,117,4,19,1
6367676a1a6d9265ec0181d4.java,14,3,110,3,16,1
636767ab1a6d9265ec018676.java,11,7,111,2,13,1
636767de1a6d9265ec01871c.java,16,4,107,3,17,1
6367670b1a6d9265ec017a00.java,13,4,135,3,14,1
636766fc1a6d9265ec0177da.java,9,7,76,2,12,1
6367670b1a6d9265ec0179fe.java,9,3,57,1,12,1
6367676a1a6d9265ec0181cd.java,15,5,93,2,15,1
636766801a6d9265ec017477.java,12,4,71,2,19,1
6367667d1a6d9265ec01741d.java,7,2,40,1,7,1
6367670a1a6d9265ec0179e7.java,6,2,37,3,6,1
6367674a1a6d9265ec017dab.java,9,3,43,2,9,1
636767781a6d9265ec018238.java,26,11,149,5,26,1
6367670c1a6d9265ec017a2a.java,21,6,144,2,21,1
6367676c1a6d9265ec018220.java,18,4,140,2,22,1
6367674a1a6d9265ec017da9.java,50,14,271,4,51,1
636767031a6d9265ec0178e6.java,18,5,139,2,19,1
6367670a1a6d9265ec0179f1.java,17,5,119,2,19,1
636767691a6d9265ec0181a6.java,21,6,155,3,24,1
6367667f1a6d9265ec017457.java,36,10,375,3,40,1
6367672d1a6d9265ec017c78.java,11,3,74,2,11,1
636766fa1a6d9265ec0177a4.java,17,5,121,2,17,1
636767841a6d9265ec0183f2.java,15,7,80,2,15,1
636767a61a6d9265ec0185b7.java,19,8,158,2,20,1
636766f11a6d9265ec017658.java,14,3,106,2,17,1
6367670b1a6d9265ec0179f2.java,18,5,126,5,18,1
6367676d1a6d9265ec018229.java,17,6,129,2,19,1
636767611a6d9265ec018116.java,5,1,40,2,5,1
636767861a6d9265ec018440.java,23,7,194,3,28,1
636766fa1a6d9265ec01779d.java,11,3,98,2,11,1
636766f21a6d9265ec017677.java,8,3,64,2,8,1
636766801a6d9265ec017482.java,13,3,92,1,20,1
636767dc1a6d9265ec0186c6.java,12,5,58,3,15,2
636767841a6d9265ec0183e8.java,12,4,49,2,12,1
636767431a6d9265ec017c8d.java,12,3,96,2,12,1
6367667c1a6d9265ec0173f7.java,12,3,88,2,13,1
636766fe1a6d9265ec017833.java,25,8,140,2,27,1
636766f91a6d9265ec01776e.java,23,9,173,4,27,1
6367677e1a6d9265ec018314.java,41,9,241,5,48,1
636767001a6d9265ec01787f.java,20,5,162,4,20,1
636767581a6d9265ec017fb4.java,10,4,63,1,15,1
6367670b1a6d9265ec017a0f.java,18,7,123,3,19,1
636767e11a6d9265ec018795.java,17,5,96,4,18,1
636767081a6d9265ec017989.java,21,6,144,2,21,1
636766f11a6d9265ec017663.java,13,4,147,3,14,1
636767461a6d9265ec017d0e.java,17,4,142,1,24,1
636767691a6d9265ec0181a7.java,25,7,136,3,28,1
6367677e1a6d9265ec01832e.java,13,4,94,2,13,1
