filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,20,5,119,2,27,1
636766fe1a6d9265ec01781c.java,9,3,61,1,9,2
6367675f1a6d9265ec0180cf.java,13,5,69,2,17,1
636766821a6d9265ec0174b6.java,26,7,205,2,36,1
636767dd1a6d9265ec0186de.java,3,1,19,2,3,1
6367675c1a6d9265ec01805b.java,12,4,57,2,13,1
636766f91a6d9265ec01777d.java,12,7,89,1,12,1
636767791a6d9265ec018263.java,8,2,48,1,9,1
636766f21a6d9265ec017667.java,7,2,58,2,7,1
636766fe1a6d9265ec017834.java,3,1,16,0,3,1
636766a81a6d9265ec01758e.java,31,10,141,2,35,1
6367676b1a6d9265ec0181df.java,9,4,71,2,9,1
636767611a6d9265ec018106.java,27,8,129,5,29,2
636766861a6d9265ec01755a.java,13,4,67,2,15,1
636766fb1a6d9265ec0177c1.java,3,2,17,1,3,1
636766f81a6d9265ec01775b.java,14,2,177,2,14,1
636767a51a6d9265ec01859d.java,20,10,121,4,24,1
636767021a6d9265ec0178bf.java,20,6,137,2,24,1
636767de1a6d9265ec01871e.java,20,7,172,1,32,1
6367677d1a6d9265ec0182fd.java,13,4,61,2,17,1
636766f01a6d9265ec017639.java,6,2,32,1,6,1
6367674b1a6d9265ec017dc0.java,19,5,147,3,26,2
636767791a6d9265ec01826d.java,22,6,148,2,32,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,2
636767821a6d9265ec0183a0.java,6,2,32,1,6,1
636767781a6d9265ec01823e.java,40,10,251,2,45,1
636767531a6d9265ec017ef1.java,9,4,81,2,11,1
636766fe1a6d9265ec017838.java,10,3,70,1,11,1
636766851a6d9265ec01751b.java,12,7,83,1,19,1
636766811a6d9265ec017499.java,11,5,60,2,12,1
636767781a6d9265ec01823d.java,37,11,187,2,40,1
6367675a1a6d9265ec018010.java,17,5,88,2,17,1
636766a91a6d9265ec0175c4.java,48,17,216,1,54,1
636766a81a6d9265ec017595.java,12,3,90,2,12,1
6367672d1a6d9265ec017c73.java,15,4,83,2,22,1
636767061a6d9265ec01794a.java,16,5,98,2,21,1
636766f81a6d9265ec017758.java,7,2,49,0,7,1
636766f81a6d9265ec01775c.java,3,2,20,1,3,1
6367670a1a6d9265ec0179cf.java,6,2,30,2,6,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,1
636767dd1a6d9265ec0186e5.java,10,4,63,2,10,1
