filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,18,5,94,3,19,1
636766fe1a6d9265ec01781c.java,13,4,84,1,13,2
6367675f1a6d9265ec0180cf.java,10,5,64,2,10,1
636766821a6d9265ec0174b6.java,40,7,234,3,48,1
636767dd1a6d9265ec0186de.java,13,3,85,3,15,1
6367675c1a6d9265ec01805b.java,10,3,57,0,10,0
636766f91a6d9265ec01777d.java,19,8,149,2,20,1
636767791a6d9265ec018263.java,4,1,27,1,4,1
636766f21a6d9265ec017667.java,10,4,67,2,10,1
636766fe1a6d9265ec017834.java,3,1,16,0,3,1
636766a81a6d9265ec01758e.java,41,16,224,3,43,1
6367676b1a6d9265ec0181df.java,15,5,129,3,16,1
636767611a6d9265ec018106.java,7,2,35,1,9,1
636766861a6d9265ec01755a.java,20,4,122,2,24,1
636766fb1a6d9265ec0177c1.java,3,2,17,1,3,0
636766f81a6d9265ec01775b.java,10,4,67,2,10,1
636767a51a6d9265ec01859d.java,14,9,105,3,14,0
636767021a6d9265ec0178bf.java,28,10,167,2,33,0
636767de1a6d9265ec01871e.java,13,4,95,1,17,1
6367677d1a6d9265ec0182fd.java,19,5,130,3,20,1
636766f01a6d9265ec017639.java,14,3,107,2,16,1
6367674b1a6d9265ec017dc0.java,15,4,104,0,15,1
636767791a6d9265ec01826d.java,23,4,173,3,28,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,12,3,75,1,12,1
636767781a6d9265ec01823e.java,23,6,132,3,23,1
636767531a6d9265ec017ef1.java,10,3,113,3,10,1
636766fe1a6d9265ec017838.java,20,6,135,2,20,1
636766851a6d9265ec01751b.java,11,7,88,1,11,0
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,3,1,20,1,6,0
6367675a1a6d9265ec018010.java,16,4,96,3,22,1
636766a91a6d9265ec0175c4.java,51,14,308,3,62,1
636766a81a6d9265ec017595.java,15,4,106,2,15,1
6367672d1a6d9265ec017c73.java,17,4,88,2,17,1
636767061a6d9265ec01794a.java,25,6,158,3,30,1
636766f81a6d9265ec017758.java,5,1,19,0,14,0
636766f81a6d9265ec01775c.java,9,3,87,2,10,1
6367670a1a6d9265ec0179cf.java,8,3,72,3,8,1
636766f01a6d9265ec01762e.java,3,2,21,1,3,0
