filename,nloc,ccn,token_count,param_count,length,top_nesting_level
6367677f1a6d9265ec018347.java,16,5,83,3,16,1
636766fe1a6d9265ec01781c.java,9,4,67,2,9,3
6367675f1a6d9265ec0180cf.java,24,7,185,3,29,1
636766821a6d9265ec0174b6.java,19,5,135,2,21,1
636767dd1a6d9265ec0186de.java,11,2,84,3,12,1
6367675c1a6d9265ec01805b.java,22,6,94,1,26,2
636766f91a6d9265ec01777d.java,19,8,193,2,20,1
636767791a6d9265ec018263.java,6,2,33,1,6,1
636766f21a6d9265ec017667.java,9,4,73,2,9,1
636766fe1a6d9265ec017834.java,6,2,38,1,6,1
636766a81a6d9265ec01758e.java,35,14,189,3,36,1
6367676b1a6d9265ec0181df.java,17,5,156,3,17,1
636767611a6d9265ec018106.java,23,7,114,3,26,2
636766861a6d9265ec01755a.java,35,10,198,7,36,2
636766fb1a6d9265ec0177c1.java,11,3,98,2,11,1
636766f81a6d9265ec01775b.java,16,4,194,2,16,1
636767a51a6d9265ec01859d.java,18,9,126,3,22,1
636767021a6d9265ec0178bf.java,12,5,94,2,12,1
636767de1a6d9265ec01871e.java,16,5,118,2,18,1
6367677d1a6d9265ec0182fd.java,20,5,127,3,20,1
636766f01a6d9265ec017639.java,14,3,101,2,16,1
6367674b1a6d9265ec017dc0.java,22,6,120,2,22,2
636767791a6d9265ec01826d.java,18,4,126,3,22,1
636767441a6d9265ec017cc1.java,14,4,79,2,16,1
636767821a6d9265ec0183a0.java,15,4,89,2,16,1
636767781a6d9265ec01823e.java,23,8,111,6,23,1
636767531a6d9265ec017ef1.java,12,5,128,3,12,1
636766fe1a6d9265ec017838.java,20,6,139,2,20,1
636766851a6d9265ec01751b.java,18,8,157,2,19,1
636766811a6d9265ec017499.java,8,3,41,2,8,1
636767781a6d9265ec01823d.java,7,2,42,1,8,1
6367675a1a6d9265ec018010.java,7,2,36,0,11,1
636766a91a6d9265ec0175c4.java,14,5,91,2,21,1
636766a81a6d9265ec017595.java,19,5,126,3,19,1
6367672d1a6d9265ec017c73.java,21,5,148,3,23,1
636767061a6d9265ec01794a.java,21,5,122,3,26,1
636766f81a6d9265ec017758.java,6,3,53,0,8,0
636766f81a6d9265ec01775c.java,9,3,80,2,9,1
6367670a1a6d9265ec0179cf.java,8,3,74,3,8,1
636766f01a6d9265ec01762e.java,11,3,100,2,12,1
636767dd1a6d9265ec0186e5.java,9,4,52,2,9,1
636767431a6d9265ec017c88.java,12,3,91,1,16,1
636767031a6d9265ec0178ef.java,18,5,171,3,24,1
636766851a6d9265ec017515.java,6,2,34,1,8,1
636767081a6d9265ec0179a2.java,12,3,91,2,13,1
636767121a6d9265ec017b0a.java,14,4,95,3,14,1
636767a31a6d9265ec018552.java,16,4,97,1,16,1
636766fa1a6d9265ec01779c.java,30,8,183,4,32,1
636767dd1a6d9265ec0186f3.java,7,2,51,3,11,1
636766fe1a6d9265ec017823.java,19,4,138,3,19,1
6367675c1a6d9265ec018058.java,15,2,101,2,16,1
636767a41a6d9265ec018582.java,22,5,150,7,31,1
636767581a6d9265ec017fc4.java,15,4,88,2,15,1
636767491a6d9265ec017d90.java,19,8,138,4,20,1
636767151a6d9265ec017b6b.java,20,7,168,4,20,1
636767691a6d9265ec0181aa.java,16,4,103,2,17,1
636766f81a6d9265ec01774b.java,16,4,86,1,16,1
636766fd1a6d9265ec017814.java,21,9,166,4,22,1
6367672d1a6d9265ec017c74.java,19,5,117,4,19,1
6367676a1a6d9265ec0181d4.java,14,3,110,3,16,1
636767ab1a6d9265ec018676.java,10,7,108,2,11,1
636767de1a6d9265ec01871c.java,16,4,107,3,17,1
