File,Comment (%),Comment Lines,Lines of Code,Statements,Cyclomatic Complexity,Cognitive Complexity,Code Smells,Vulnerabilities,Bugs,Security Hotspots
62b43425903eeb48555d3ea1,42.1,8,11,4,1,0,1,0,0,0
62b43426903eeb48555d3ea2,71.4,5,2,3,1,0,0,0,0,0
62b43427903eeb48555d3ea5,26.8,22,60,36,13,32,1,0,0,0
62b43428903eeb48555d3eaa,26.9,7,19,14,5,8,0,0,0,0
62b438a266fea644fe22cc2c,40.0,8,12,13,1,0,0,0,0,0
62b438a266fea644fe22cc2d,45.0,9,11,12,2,3,1,0,0,0
62b438a266fea644fe22cc2e,38.2,13,21,21,3,4,0,0,0,0
62b438b566fea644fe22cc70,9.1,5,50,4,1,0,0,0,0,0
62b438b666fea644fe22cc72,30.0,3,7,7,3,3,0,0,0,0
62b438b666fea644fe22cc78,29.4,5,12,12,2,2,0,0,0,0
62b438ba66fea644fe22cca2,33.3,11,22,16,7,10,0,0,0,0
62b45665d7d32e5b55cc8363,52.6,10,9,10,1,0,1,0,0,0
62b45665d7d32e5b55cc8364,45.0,9,11,12,2,3,1,0,0,0
62b45665d7d32e5b55cc8365,46.7,14,16,17,3,2,0,0,0,0
62b45679d7d32e5b55cc83a9,30.0,3,7,7,3,3,0,0,0,0
62b4567ad7d32e5b55cc83af,29.4,5,12,12,2,2,0,0,0,0
62b4567ed7d32e5b55cc83d9,33.3,11,22,16,7,10,0,0,0,0
62b45b396decaeff903e1001,29.4,5,12,11,5,6,0,0,0,0
62b45df05108cfac7f2109ce,32.6,15,31,25,9,12,1,0,0,0
62b45df15108cfac7f2109dc,53.8,7,6,7,2,1,0,0,0,0
62b45df15108cfac7f2109dd,33.3,4,8,8,4,4,0,0,0,0
62b45e135108cfac7f2109f4,66.7,4,2,3,1,0,1,0,0,0
62b45e145108cfac7f210a07,28.6,16,40,40,19,32,1,0,0,0
62b45e145108cfac7f210a09,28.0,7,18,19,8,15,0,0,0,0
62b45e165108cfac7f210a16,42.3,11,15,16,8,10,0,0,0,0
62b45e165108cfac7f210a17,59.1,13,9,10,5,10,0,0,0,0
62b45e175108cfac7f210a19,26.7,8,22,23,13,17,1,0,0,0
62b45e21e0d4551b0392c8ed,41.0,16,23,23,7,13,0,0,0,0
62b45e23e0d4551b0392c90a,32.4,12,25,19,7,14,0,0,0,0
62b45e2eb89c9fd354170232,26.9,7,19,18,5,6,0,0,0,0
62b45e515108cfac7f210a3c,28.0,7,18,10,1,0,0,0,0,0
