filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,27,6,142,2,48,0
62b4631b3879012d194814dd.py,2,1,15,1,6,0
6306091d73426c38ae68ace5.py,17,7,106,2,26,0
62b86a01b4d922cb0e688ccc.py,18,9,112,2,31,0
62b896de755ee91dce50a183.py,38,30,411,6,52,0
62b45e165108cfac7f210a16.py,17,7,132,2,36,0
62b45df05108cfac7f2109ce.py,32,10,228,2,54,0
62e4fbda85ea986430890403.py,10,1,41,1,17,0
6306092c73426c38ae68ad02.py,17,6,94,3,32,0
6306092e73426c38ae68ad09.py,8,5,57,2,24,0
62b45df15108cfac7f2109dc.py,5,2,39,2,9,0
62b43426903eeb48555d3ea2.py,7,1,16,1,7,0
62b87af99a0c4fa8b80b3524.py,2,2,23,1,6,0
62ece4992e6aefcf4aabbd78.py,21,8,101,1,45,0
62b463153879012d1948149b.py,6,3,43,2,29,0
62b8b4c1eb7e40a82d2d1139.py,23,9,123,3,42,0
62b463303879012d19481579.py,26,10,147,1,39,0
62b87af69a0c4fa8b80b351a.py,3,4,42,1,7,0
62b43427903eeb48555d3ea5.py,75,15,388,3,88,0
630629e052e177c0ba46a0c4.py,27,7,139,1,39,0
62e5dc9ed76274f8a4026b5b.py,16,3,63,4,39,2
62b45665d7d32e5b55cc8363.py,9,1,79,0,23,0
62b8a4a4755ee91dce50a3d3.py,10,4,105,2,28,0
62b8d23a48ba5a41d1c3f499.py,8,2,45,1,16,0
62e60e49d76274f8a4026d25.py,27,12,153,6,89,3
62b87d23d292efb640a55667.py,7,2,30,3,22,1
62b46746d2f69a53b4661722.py,38,37,366,2,56,0
62b8bbbfe0d34b282c18120f.py,6,2,35,2,17,0
630629e152e177c0ba46a0d2.py,32,8,171,1,53,0
62b86a9eb4d922cb0e688d25.py,4,1,18,0,17,0
62b463283879012d1948153d.py,6,3,31,2,11,0
62ece4992e6aefcf4aabbd79.py,12,5,60,1,19,0
62b463153879012d1948149c.py,7,3,45,2,33,0
62b89640755ee91dce50a114.py,13,5,68,3,27,1
62b45b396decaeff903e1001.py,12,6,85,3,20,0
62b87b199a0c4fa8b80b354c.py,9,4,75,2,20,0
62b869ebb4d922cb0e688cc6.py,33,16,224,3,48,0
62b8a4a4755ee91dce50a3d2.py,11,4,66,2,29,0
62b8bbbfe0d34b282c181210.py,12,5,65,4,33,0
630629d052e177c0ba46a0a1.py,29,6,159,3,43,0
62b463163879012d194814a6.py,6,1,33,1,15,0
62b43428903eeb48555d3eaa.py,19,9,181,3,31,0
6306091073426c38ae68acac.py,12,5,82,4,28,0
62b438b666fea644fe22cc78.py,12,2,103,1,21,0
62e60e3bd76274f8a4026d1a.py,12,4,54,2,28,0
630629e252e177c0ba46a0d6.py,20,4,109,1,37,0
62b438a266fea644fe22cc2c.py,12,1,129,0,25,0
62b45e165108cfac7f210a17.py,9,5,62,2,25,0
62b463163879012d194814a2.py,4,2,33,3,13,0
62e60f3bd76274f8a4026e10.py,16,2,66,1,27,0
6306292052e177c0ba469f09.py,14,5,69,1,21,0
62e60f37d76274f8a4026dfd.py,7,3,40,1,18,0
62ece4982e6aefcf4aabbd65.py,7,3,42,1,10,0
62e4fc3c85ea98643089041e.py,12,1,22,1,15,0
62b8b3d4eb7e40a82d2d110f.py,7,2,54,0,22,0
62ece4992e6aefcf4aabbd85.py,12,3,84,3,22,0
62e60707d76274f8a4026b69.py,27,10,202,7,61,1
6306292352e177c0ba469f1d.py,16,3,60,2,22,0
62b8d23c48ba5a41d1c3f49b.py,7,2,39,1,15,0
6306092e73426c38ae68ad0d.py,10,3,76,5,23,0
62ece4982e6aefcf4aabbd5f.py,3,2,32,2,14,0
62b87d24d292efb640a5566f.py,12,5,68,2,22,0
62ece4982e6aefcf4aabbd6b.py,7,2,39,1,10,0
62ece4992e6aefcf4aabbd7a.py,10,5,68,0,27,0
62b87b519a0c4fa8b80b3583.py,17,7,114,2,28,0
62ece4982e6aefcf4aabbd75.py,11,4,78,1,25,0
62ece4992e6aefcf4aabbd8b.py,6,4,46,1,20,0
62b8d23b48ba5a41d1c3f49a.py,27,9,176,5,103,2
62ece4982e6aefcf4aabbd61.py,8,4,55,1,28,0
62b8b99de0d34b282c1811f8.py,10,2,66,1,21,0
6306092d73426c38ae68ad04.py,28,9,164,2,47,0
62b87b859a0c4fa8b80b35d7.py,16,7,131,3,26,0
