filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,15,4,72,2,47,0
62b4631b3879012d194814dd.py,2,1,22,1,6,0
6306091d73426c38ae68ace5.py,10,5,71,5,14,0
62b86a01b4d922cb0e688ccc.py,13,8,113,2,31,0
62b896de755ee91dce50a183.py,2,1,24,6,34,0
62b45e165108cfac7f210a16.py,6,3,42,2,17,0
62b45df05108cfac7f2109ce.py,10,4,38,3,27,1
62e4fbda85ea986430890403.py,8,1,36,1,8,0
6306092c73426c38ae68ad02.py,6,3,49,3,12,0
6306092e73426c38ae68ad09.py,8,6,66,2,17,0
62b45df15108cfac7f2109dc.py,4,2,35,2,8,0
62b43426903eeb48555d3ea2.py,7,1,16,1,7,0
62b87af99a0c4fa8b80b3524.py,2,1,18,1,6,0
62ece4992e6aefcf4aabbd78.py,12,3,60,1,29,0
62b463153879012d1948149b.py,4,2,38,2,27,0
62b8b4c1eb7e40a82d2d1139.py,5,5,56,3,8,0
62b463303879012d19481579.py,9,3,68,1,17,0
62b87af69a0c4fa8b80b351a.py,3,4,41,1,7,0
62b43427903eeb48555d3ea5.py,28,4,119,3,33,0
630629e052e177c0ba46a0c4.py,25,10,120,1,29,0
62e5dc9ed76274f8a4026b5b.py,9,3,42,4,22,2
62b45665d7d32e5b55cc8363.py,8,1,85,0,20,0
62b8a4a4755ee91dce50a3d3.py,8,3,53,2,21,0
62b8d23a48ba5a41d1c3f499.py,6,2,42,1,10,0
62e60e49d76274f8a4026d25.py,8,3,35,5,48,2
62b87d23d292efb640a55667.py,7,2,30,3,22,1
62b46746d2f69a53b4661722.py,25,24,237,2,45,0
62b8bbbfe0d34b282c18120f.py,6,2,37,2,17,0
630629e152e177c0ba46a0d2.py,13,3,62,1,25,0
62b86a9eb4d922cb0e688d25.py,3,1,16,0,12,0
62b463283879012d1948153d.py,6,3,33,2,11,0
62ece4992e6aefcf4aabbd79.py,7,4,35,2,29,1
62b463153879012d1948149c.py,2,3,23,2,21,0
62b89640755ee91dce50a114.py,8,3,46,3,17,1
62b45b396decaeff903e1001.py,7,4,45,5,11,0
62b87b199a0c4fa8b80b354c.py,9,3,64,2,14,0
62b869ebb4d922cb0e688cc6.py,8,4,62,3,21,0
62b8a4a4755ee91dce50a3d2.py,9,3,69,2,28,0
62b8bbbfe0d34b282c181210.py,8,3,55,4,24,0
630629d052e177c0ba46a0a1.py,23,4,113,3,34,0
62b463163879012d194814a6.py,5,1,17,1,7,0
62b43428903eeb48555d3eaa.py,33,4,147,3,35,0
6306091073426c38ae68acac.py,7,3,46,4,20,0
62b438b666fea644fe22cc78.py,7,1,66,1,15,0
62e60e3bd76274f8a4026d1a.py,6,3,36,2,14,0
630629e252e177c0ba46a0d6.py,10,2,50,1,23,0
62b438a266fea644fe22cc2c.py,6,1,53,0,12,0
62b45e165108cfac7f210a17.py,8,3,65,2,18,0
62b463163879012d194814a2.py,4,2,33,3,12,0
62e60f3bd76274f8a4026e10.py,8,3,73,5,17,1
6306292052e177c0ba469f09.py,14,7,58,1,31,0
62e60f37d76274f8a4026dfd.py,6,2,37,1,17,0
62ece4982e6aefcf4aabbd65.py,2,3,25,1,11,0
62e4fc3c85ea98643089041e.py,11,1,42,1,16,0
62b8b3d4eb7e40a82d2d110f.py,6,2,33,0,17,0
62ece4992e6aefcf4aabbd85.py,22,6,103,3,29,0
62e60707d76274f8a4026b69.py,5,1,29,3,13,0
6306292352e177c0ba469f1d.py,16,3,63,2,19,0
62b8d23c48ba5a41d1c3f49b.py,6,2,40,1,9,0
6306092e73426c38ae68ad0d.py,5,2,56,5,17,0
62ece4982e6aefcf4aabbd5f.py,3,2,32,2,14,0
62b87d24d292efb640a5566f.py,6,2,34,2,10,0
62ece4982e6aefcf4aabbd6b.py,9,3,43,2,17,1
62ece4992e6aefcf4aabbd7a.py,3,1,20,0,12,0
62b87b519a0c4fa8b80b3583.py,13,5,90,2,38,0
62ece4982e6aefcf4aabbd75.py,11,4,93,1,23,0
62ece4992e6aefcf4aabbd8b.py,4,2,27,1,14,0
62b8d23b48ba5a41d1c3f49a.py,20,6,120,5,53,2
62ece4982e6aefcf4aabbd61.py,7,3,43,1,22,0
62b8b99de0d34b282c1811f8.py,5,2,38,1,8,0
6306092d73426c38ae68ad04.py,7,1,51,2,16,0
62b87b859a0c4fa8b80b35d7.py,9,3,83,3,33,0
62b8982f755ee91dce50a241.py,6,1,66,1,18,0
