filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,13,2,53,2,35,0
62b4631b3879012d194814dd.py,2,1,15,1,5,0
6306091d73426c38ae68ace5.py,13,6,79,2,19,0
62b86a01b4d922cb0e688ccc.py,14,6,95,2,22,0
62b896de755ee91dce50a183.py,34,19,268,6,64,0
62b45e165108cfac7f210a16.py,11,6,84,2,25,0
62b45df05108cfac7f2109ce.py,28,12,181,2,49,0
62e4fbda85ea986430890403.py,9,2,76,1,15,0
6306092c73426c38ae68ad02.py,10,5,60,3,20,0
6306092e73426c38ae68ad09.py,6,5,66,2,11,0
62b45df15108cfac7f2109dc.py,5,3,27,2,8,0
62b43426903eeb48555d3ea2.py,10,1,27,1,10,0
62b87af99a0c4fa8b80b3524.py,2,2,23,1,5,0
62ece4992e6aefcf4aabbd78.py,3,1,25,1,9,0
62b463153879012d1948149b.py,3,1,27,2,22,0
62b8b4c1eb7e40a82d2d1139.py,22,9,128,3,40,0
62b463303879012d19481579.py,29,11,174,1,45,0
62b87af69a0c4fa8b80b351a.py,3,4,41,1,6,0
62b43427903eeb48555d3ea5.py,61,13,298,3,79,0
630629e052e177c0ba46a0c4.py,48,10,277,1,63,0
62e5dc9ed76274f8a4026b5b.py,10,3,50,4,18,2
62b45665d7d32e5b55cc8363.py,10,1,91,0,23,0
62b8a4a4755ee91dce50a3d3.py,9,3,77,2,24,0
62b8d23a48ba5a41d1c3f499.py,7,2,41,1,15,0
62e60e49d76274f8a4026d25.py,16,4,83,5,38,2
62b87d23d292efb640a55667.py,8,3,46,3,23,1
62b46746d2f69a53b4661722.py,37,28,269,2,49,0
62b8bbbfe0d34b282c18120f.py,7,2,42,2,17,0
630629e152e177c0ba46a0d2.py,30,6,176,1,51,0
62b86a9eb4d922cb0e688d25.py,4,1,18,0,19,0
62b463283879012d1948153d.py,6,3,31,2,9,0
62ece4992e6aefcf4aabbd79.py,9,3,42,1,14,0
62b463153879012d1948149c.py,8,3,45,2,30,0
62b89640755ee91dce50a114.py,8,4,51,3,18,1
62b45b396decaeff903e1001.py,10,4,71,3,17,0
62b87b199a0c4fa8b80b354c.py,9,4,68,2,20,0
62b869ebb4d922cb0e688cc6.py,27,10,149,3,35,0
62b8a4a4755ee91dce50a3d2.py,15,6,114,2,38,0
62b8bbbfe0d34b282c181210.py,9,3,64,4,31,0
630629d052e177c0ba46a0a1.py,26,6,153,3,41,0
62b463163879012d194814a6.py,6,1,33,1,18,0
62b43428903eeb48555d3eaa.py,34,2,119,3,40,0
6306091073426c38ae68acac.py,8,3,61,4,24,0
62b438b666fea644fe22cc78.py,12,2,108,1,22,0
62e60e3bd76274f8a4026d1a.py,7,3,38,2,22,0
630629e252e177c0ba46a0d6.py,16,4,67,1,28,0
62b438a266fea644fe22cc2c.py,10,1,91,0,23,0
62b45e165108cfac7f210a17.py,9,5,66,2,22,0
62b463163879012d194814a2.py,7,2,57,3,23,0
62e60f3bd76274f8a4026e10.py,8,2,43,1,20,0
6306292052e177c0ba469f09.py,8,7,52,1,20,0
62e60f37d76274f8a4026dfd.py,4,2,19,1,12,0
62ece4982e6aefcf4aabbd65.py,5,2,35,1,9,0
62e4fc3c85ea98643089041e.py,9,1,21,1,13,0
62b8b3d4eb7e40a82d2d110f.py,10,3,58,0,19,0
62ece4992e6aefcf4aabbd85.py,20,6,88,3,25,0
62e60707d76274f8a4026b69.py,45,18,310,11,100,1
6306292352e177c0ba469f1d.py,17,3,60,2,19,0
62b8d23c48ba5a41d1c3f49b.py,8,2,46,1,18,0
6306092e73426c38ae68ad0d.py,26,12,172,8,72,1
62ece4982e6aefcf4aabbd5f.py,3,2,32,2,12,0
62b87d24d292efb640a5566f.py,18,11,161,2,28,0
62ece4982e6aefcf4aabbd6b.py,5,2,33,1,8,0
62ece4992e6aefcf4aabbd7a.py,8,3,36,0,18,0
62b87b519a0c4fa8b80b3583.py,15,8,115,2,27,0
62ece4982e6aefcf4aabbd75.py,8,3,64,1,19,0
62ece4992e6aefcf4aabbd8b.py,4,2,23,1,8,0
62b8d23b48ba5a41d1c3f49a.py,37,10,231,7,141,2
62ece4982e6aefcf4aabbd61.py,9,4,47,1,15,0
62b8b99de0d34b282c1811f8.py,10,2,66,1,19,0
6306092d73426c38ae68ad04.py,18,4,102,2,36,0
62b87b859a0c4fa8b80b35d7.py,16,7,141,3,26,0
62b8982f755ee91dce50a241.py,36,5,213,1,47,0
62ece4982e6aefcf4aabbd6f.py,15,2,108,2,25,0
6306299052e177c0ba469fe8.py,6,3,43,2,17,0
62e4fb6585ea98643089032b.py,5,2,32,1,6,0
62b8b416eb7e40a82d2d1129.py,6,4,48,2,13,0
62ece4992e6aefcf4aabbd7e.py,12,4,78,1,24,0
62ece4982e6aefcf4aabbd71.py,9,2,52,1,20,0
6306091c73426c38ae68acdd.py,18,8,114,2,33,0
62ece4982e6aefcf4aabbd60.py,31,2,82,1,32,0
62b87b7e9a0c4fa8b80b35bc.py,20,9,168,2,37,0
62b8b590eb7e40a82d2d1275.py,32,16,201,1,64,0
62b46740d2f69a53b466171a.py,23,8,146,3,39,0
6306092d73426c38ae68ad05.py,7,4,52,3,17,0
6306092e73426c38ae68ad0a.py,7,4,48,2,12,0
62b45e135108cfac7f2109f4.py,2,1,10,2,5,0
62ece4992e6aefcf4aabbd80.py,13,6,83,1,33,0
62e60e05d76274f8a4026cfd.py,5,3,35,2,12,0
62ece4992e6aefcf4aabbd7d.py,26,4,129,4,49,0
63060ada73426c38ae68ad31.py,24,13,199,3,46,0
62ece4982e6aefcf4aabbd70.py,3,1,15,0,9,0
62b45e515108cfac7f210a3c.py,18,1,131,1,29,0
630629b952e177c0ba46a043.py,13,3,50,2,25,0
62ece4982e6aefcf4aabbd64.py,4,2,37,2,10,0
62e60ecfd76274f8a4026d6a.py,16,5,118,2,33,0
62b86707b4d922cb0e688c2a.py,8,3,47,3,22,1
62b438b666fea644fe22cc72.py,5,2,35,1,9,0
62b45e21e0d4551b0392c8ed.py,20,7,113,1,33,0
62b8c517e0d34b282c18122e.py,15,5,110,4,37,0
62ece4992e6aefcf4aabbd84.py,15,9,86,1,33,0
6306292352e177c0ba469f1e.py,27,7,185,3,58,1
6306292252e177c0ba469f11.py,2,1,13,1,5,0
62b87b989a0c4fa8b80b35ee.py,6,3,52,1,14,0
62b87d23d292efb640a55668.py,13,1,62,0,19,0
6306092f73426c38ae68ad13.py,35,11,226,6,65,0
62b87d24d292efb640a55670.py,17,2,62,0,24,0
62e60723d76274f8a4026b75.py,10,4,60,1,23,0
62b45e2eb89c9fd354170232.py,15,7,131,1,31,0
62ece4982e6aefcf4aabbd74.py,23,4,133,3,32,0
62b438ba66fea644fe22cca2.py,21,5,111,1,37,0
62b8b59feb7e40a82d2d1291.py,7,3,45,1,11,0
62b86aa3b4d922cb0e688d36.py,26,7,150,1,40,0
62ece4982e6aefcf4aabbd63.py,7,2,34,1,7,0
62b87af19a0c4fa8b80b34f7.py,15,11,136,3,23,0
6306093273426c38ae68ad15.py,33,8,193,4,63,0
62b8d22a48ba5a41d1c3f47e.py,6,2,30,3,9,0
62b8bbbce0d34b282c18120d.py,6,2,23,1,13,0
6306092e73426c38ae68ad0b.py,10,5,70,2,16,0
6306092d73426c38ae68ad06.py,7,5,48,2,17,0
62ece4992e6aefcf4aabbd83.py,38,15,228,6,50,0
62ece4982e6aefcf4aabbd6d.py,12,3,59,2,18,0
62b45e175108cfac7f210a19.py,16,9,117,3,31,0
63060b1b73426c38ae68ad42.py,3,2,24,1,4,0
62b8b559eb7e40a82d2d11f6.py,14,7,89,2,24,0
62b87b099a0c4fa8b80b3538.py,3,4,42,1,6,0
