module,error_ids,error_messages,count
62b43425903eeb48555d3ea1,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43425903eeb48555d3ea1"" doesn't conform to snake_case naming style | Undefined variable 'Pattern' | Unused argument 'self'",5
62b43426903eeb48555d3ea2,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, protected-access, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43426903eeb48555d3ea2"" doesn't conform to snake_case naming style | Undefined variable '_converting' | Access to a protected member _Converter of a client class | Undefined variable '_converting' | Unused argument 'self'",7
62b43427903eeb48555d3ea5,"missing-final-newline, missing-module-docstring, invalid-name, redefined-builtin, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, no-else-return, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43427903eeb48555d3ea5"" doesn't conform to snake_case naming style | Redefining built-in 'format' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"" | Unused argument 'self'",21
62b43428903eeb48555d3eaa,"missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, unnecessary-comprehension, unnecessary-comprehension, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43428903eeb48555d3eaa"" doesn't conform to snake_case naming style | Missing function or method docstring | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Iterable' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Iterable' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'List' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'List' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unnecessary use of a comprehension, use dict(params.items()) instead. | Unnecessary use of a comprehension, use list(params) instead. | Unused argument 'self'",26
62b438a266fea644fe22cc2c,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2c"" doesn't conform to snake_case naming style",7
62b438a266fea644fe22cc2d,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2d"" doesn't conform to snake_case naming style",5
62b438a266fea644fe22cc2e,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2e"" doesn't conform to snake_case naming style",3
62b438b566fea644fe22cc70,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, unused-import","Line too long (109/100) | Final newline missing | Missing module docstring | Module name ""62b438b566fea644fe22cc70"" doesn't conform to snake_case naming style | Unused import sys",5
62b438b666fea644fe22cc72,"missing-final-newline, missing-module-docstring, invalid-name, protected-access","Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc72"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",4
62b438b666fea644fe22cc78,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc78"" doesn't conform to snake_case naming style",4
62b438ba66fea644fe22cca2,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-error, missing-function-docstring","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438ba66fea644fe22cca2"" doesn't conform to snake_case naming style | Unable to import 'ruamel.yaml.nodes' | Missing function or method docstring",15
62b45665d7d32e5b55cc8363,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8363"" doesn't conform to snake_case naming style",7
62b45665d7d32e5b55cc8364,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8364"" doesn't conform to snake_case naming style",5
62b45665d7d32e5b55cc8365,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8365"" doesn't conform to snake_case naming style",3
62b45679d7d32e5b55cc83a9,"missing-final-newline, missing-module-docstring, invalid-name, protected-access","Final newline missing | Missing module docstring | Module name ""62b45679d7d32e5b55cc83a9"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",4
62b4567ad7d32e5b55cc83af,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ad7d32e5b55cc83af"" doesn't conform to snake_case naming style",4
62b4567ed7d32e5b55cc83d9,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, line-too-long, trailing-whitespace, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, import-error, missing-function-docstring","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Line too long (118/100) | Trailing whitespace | Line too long (101/100) | Final newline missing | Missing module docstring | Module name ""62b4567ed7d32e5b55cc83d9"" doesn't conform to snake_case naming style | Unable to import 'ruamel.yaml.nodes' | Missing function or method docstring",14
62b45b396decaeff903e1001,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45b396decaeff903e1001"" doesn't conform to snake_case naming style | Unused argument 'self'",6
62b45df05108cfac7f2109ce,"missing-final-newline, missing-module-docstring, invalid-name, redefined-builtin, import-outside-toplevel, import-error, import-outside-toplevel, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45df05108cfac7f2109ce"" doesn't conform to snake_case naming style | Redefining built-in 'dir' | Import outside toplevel (os) | Unable to import 'fs' | Import outside toplevel (fs.open_fs) | Unused argument 'self'",8
62b45df15108cfac7f2109dc,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dc"" doesn't conform to snake_case naming style",3
62b45df15108cfac7f2109dd,"missing-final-newline, missing-module-docstring, invalid-name, duplicate-code, duplicate-code, duplicate-code, duplicate-code, duplicate-code, duplicate-code","Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dd"" doesn't conform to snake_case naming style | Similar lines in 2 files
==62b87d23d292efb640a5566b:[14:38]
==62ece4992e6aefcf4aabbd83:[14:38]
    full_command = commands + args
    stderr = subprocess.DEVNULL if hide_stderr else subprocess.PIPE

    if verbose:
        print(f""Running command: {' '.join(full_command)}"")

    process = subprocess.Popen(
        full_command,
        cwd=cwd,
        stdout=subprocess.PIPE,
        stderr=stderr,
        env=env,
        text=True
    )

    stdout, stderr = process.communicate()

    if verbose:
        if stdout:
            print(f""stdout:\n{stdout}"")
        if stderr and not hide_stderr:
            print(f""stderr:\n{stderr}"")

    return process.returncode | Similar lines in 2 files
==62e60873d76274f8a4026bd8:[19:30]
==62e60ecfd76274f8a4026d6a:[19:30]
    }

    if protocol_version is not None:
        if not isinstance(protocol_version, tuple):
            raise TypeError(""Protocol version must be a tuple."")
        if protocol_version in available_handlers:
            return {protocol_version: available_handlers[protocol_version]}
        else:
            return {}
    else:
        return available_handlers | Similar lines in 2 files
==62b438ba66fea644fe22cca2:[3:20]
==62b4567ed7d32e5b55cc83d9:[3:18]
    merged_nodes = {}

    for key_node, value_node in nodes:
        key = key_node.value

        if key in merged_nodes:
            existing_value_node = merged_nodes[key]

            if isinstance(existing_value_node, MappingNode) and isinstance(value_node, MappingNode):
                # Deep merge the MappingNodes
                existing_value = existing_value_node.value
                new_value = value_node.value

                # Create a dictionary to hold the merged key-value pairs
                merged_dict = {}

                # Add existing key-value pairs | Similar lines in 2 files
==62b438a266fea644fe22cc2c:[7:21]
==62b45665d7d32e5b55cc8363:[7:21]
    parser = argparse.ArgumentParser(description=""Top-level parser"")

    # Create subparsers for the top-level parser
    subparsers = parser.add_subparsers(dest=""command"", help=""Sub-command help"")

    # Example subparser 1
    parser_a = subparsers.add_parser('command_a', help='Command A help')
    parser_a.add_argument('--arg1', type=int, help='Argument 1 for command A')

    # Example subparser 2
    parser_b = subparsers.add_parser('command_b', help='Command B help')
    parser_b.add_argument('--arg2', type=str, help='Argument 2 for command B')

    return parser, subparsers | Similar lines in 2 files
==62b438b666fea644fe22cc72:[5:10]
==62ece4982e6aefcf4aabbd65:[5:10]
    flags = []
    for action in parser._actions:
        if action.option_strings:
            flags.extend(action.option_strings)
    return ' '.join(flags) | Similar lines in 2 files
==62b8d23a48ba5a41d1c3f499:[4:9]
==62b8d23e48ba5a41d1c3f49e:[1:6]
    if not self:
        raise KeyError(""popitem(): dictionary is empty"")
    key = next(iter(self))
    value = self.pop(key)
    return (key, value)",9
62b45e135108cfac7f2109f4,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45e135108cfac7f2109f4"" doesn't conform to snake_case naming style | Unused argument 'self' | Unused argument 'identifier'",5
62b45e145108cfac7f210a07,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a07"" doesn't conform to snake_case naming style",5
62b45e145108cfac7f210a09,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a09"" doesn't conform to snake_case naming style | Unused argument 'self'",7
62b45e165108cfac7f210a16,"trailing-whitespace, trailing-whitespace, line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Line too long (102/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e165108cfac7f210a16"" doesn't conform to snake_case naming style",7
