File,Comment (%),Comment Lines,Lines of Code,Statements,Cyclomatic Complexity,Cognitive Complexity,Code Smells,Vulnerabilities,Bugs,Security Hotspots
62b43425903eeb48555d3ea1,72.7,8,3,4,1,0,0,0,0,0
62b43426903eeb48555d3ea2,45.5,5,6,3,1,0,0,0,0,0
62b43427903eeb48555d3ea5,15.8,6,32,25,7,15,0,0,0,0
62b43428903eeb48555d3eaa,22.6,12,41,30,11,25,1,0,0,0
62b438a266fea644fe22cc2c,41.2,7,10,11,1,0,0,0,0,0
62b438a266fea644fe22cc2d,57.7,15,11,12,2,3,0,0,0,0
62b438a266fea644fe22cc2e,34.6,9,17,17,4,3,0,0,0,0
62b438b566fea644fe22cc70,0.0,0,41,2,1,0,0,0,0,0
62b438b666fea644fe22cc72,0.0,0,2,2,2,0,0,0,0,0
62b438b666fea644fe22cc78,27.8,5,13,13,4,8,0,0,0,0
62b438ba66fea644fe22cca2,31.4,11,24,17,8,10,1,0,0,0
62b45665d7d32e5b55cc8363,35.0,7,13,13,1,0,0,0,0,0
62b45665d7d32e5b55cc8364,55.6,15,12,13,3,5,0,0,0,0
62b45665d7d32e5b55cc8365,33.3,9,18,17,3,3,0,0,0,0
62b45679d7d32e5b55cc83a9,50.0,7,7,8,3,3,0,0,0,0
62b4567ad7d32e5b55cc83af,27.8,5,13,13,4,8,0,0,0,0
62b4567ed7d32e5b55cc83d9,31.3,10,22,16,7,10,0,0,0,0
62b45b396decaeff903e1001,20.0,3,12,11,4,5,0,0,0,0
62b45df05108cfac7f2109ce,23.3,7,23,22,9,12,0,0,0,0
62b45df15108cfac7f2109dc,37.5,3,5,6,3,2,0,0,0,0
62b45df15108cfac7f2109dd,27.3,3,8,8,3,4,0,0,0,0
62b45e135108cfac7f2109f4,60.0,3,2,3,1,0,1,0,0,0
62b45e145108cfac7f210a07,28.0,14,36,37,18,34,2,0,0,0
62b45e145108cfac7f210a09,31.6,6,13,14,5,5,0,0,0,0
