filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,10,3,56,2,33,0
62b4631b3879012d194814dd.py,2,1,14,1,3,0
6306091d73426c38ae68ace5.py,18,11,137,2,26,0
62b86a01b4d922cb0e688ccc.py,13,6,92,2,25,0
62b896de755ee91dce50a183.py,46,26,438,6,63,0
62b45e165108cfac7f210a16.py,12,9,94,2,24,0
62b45df05108cfac7f2109ce.py,31,11,168,2,48,0
62e4fbda85ea986430890403.py,9,2,74,1,15,0
6306092c73426c38ae68ad02.py,12,5,55,3,22,0
6306092e73426c38ae68ad09.py,8,5,58,2,14,0
62b45df15108cfac7f2109dc.py,5,3,27,2,8,0
62b43426903eeb48555d3ea2.py,11,1,33,1,11,0
62b87af99a0c4fa8b80b3524.py,2,2,23,1,5,0
62ece4992e6aefcf4aabbd78.py,22,8,93,1,37,0
62b463153879012d1948149b.py,3,1,27,2,22,0
62b8b4c1eb7e40a82d2d1139.py,27,11,132,3,46,0
62b463303879012d19481579.py,22,14,147,1,35,0
62b87af69a0c4fa8b80b351a.py,8,4,57,1,15,0
62b43427903eeb48555d3ea5.py,35,7,284,3,47,0
630629e052e177c0ba46a0c4.py,46,8,281,1,64,0
62e5dc9ed76274f8a4026b5b.py,14,3,53,4,30,2
62b45665d7d32e5b55cc8363.py,13,1,129,0,25,0
62b8a4a4755ee91dce50a3d3.py,19,6,132,2,30,0
62b8d23a48ba5a41d1c3f499.py,7,2,41,1,15,0
62e60e49d76274f8a4026d25.py,16,4,83,5,44,2
62b87d23d292efb640a55667.py,8,3,42,3,17,1
62b46746d2f69a53b4661722.py,31,17,218,2,51,0
62b8bbbfe0d34b282c18120f.py,6,2,39,2,16,0
630629e152e177c0ba46a0d2.py,36,10,203,1,60,0
62b86a9eb4d922cb0e688d25.py,4,1,18,0,16,0
62b463283879012d1948153d.py,9,4,36,2,17,0
62ece4992e6aefcf4aabbd79.py,9,3,43,1,15,0
62b463153879012d1948149c.py,8,3,44,2,16,0
62b89640755ee91dce50a114.py,11,5,67,3,24,1
62b45b396decaeff903e1001.py,12,5,74,3,18,0
62b87b199a0c4fa8b80b354c.py,12,5,90,2,20,0
62b869ebb4d922cb0e688cc6.py,29,13,170,3,41,0
62b8a4a4755ee91dce50a3d2.py,20,7,115,2,35,0
62b8bbbfe0d34b282c181210.py,12,5,65,4,31,0
630629d052e177c0ba46a0a1.py,26,5,141,3,39,0
62b463163879012d194814a6.py,7,1,38,1,16,0
62b43428903eeb48555d3eaa.py,49,21,442,3,75,0
6306091073426c38ae68acac.py,8,3,61,4,24,0
