File,Comment (%),Comment Lines,Lines of Code,Statements,Cyclomatic Complexity,Cognitive Complexity,Code Smells,Vulnerabilities,Bugs,Security Hotspots
62b43425903eeb48555d3ea1,60.0,6,4,5,1,0,0,0,0,0
62b43426903eeb48555d3ea2,71.4,5,2,3,1,0,0,0,0,0
62b43427903eeb48555d3ea5,6.9,2,27,20,7,17,1,0,2,0
62b43428903eeb48555d3eaa,11.8,2,15,10,3,5,0,0,0,0
62b438a266fea644fe22cc2c,43.8,7,9,10,1,0,0,0,0,0
62b438a266fea644fe22cc2d,47.8,11,12,13,2,3,0,0,0,0
62b438a266fea644fe22cc2e,42.1,8,11,11,2,2,1,0,0,0
62b438b566fea644fe22cc70,21.1,4,15,4,1,0,0,0,0,0
62b438b666fea644fe22cc72,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0
62b438b666fea644fe22cc78,58.3,7,5,6,1,0,0,0,0,0
62b438ba66fea644fe22cca2,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0
62b45665d7d32e5b55cc8363,43.8,7,9,10,1,0,0,0,0,0
62b45665d7d32e5b55cc8364,47.8,11,12,13,2,3,0,0,0,0
62b45665d7d32e5b55cc8365,45.0,9,11,11,2,2,1,0,0,0
62b45679d7d32e5b55cc83a9,40.0,4,6,7,3,3,0,0,0,0
62b4567ad7d32e5b55cc83af,46.2,6,7,8,2,1,0,0,0,0
62b4567ed7d32e5b55cc83d9,28.1,9,23,21,7,17,1,0,0,0
62b45b396decaeff903e1001,64.7,11,6,7,2,1,0,0,0,0
62b45df05108cfac7f2109ce,42.9,12,16,17,6,8,0,0,0,0
62b45df15108cfac7f2109dc,66.7,4,2,3,1,0,0,0,0,0
62b45df15108cfac7f2109dd,60.0,3,2,3,1,0,0,0,0,0
62b45e135108cfac7f2109f4,60.0,3,2,3,1,0,1,0,0,0
62b45e145108cfac7f210a07,50.9,29,28,31,10,12,0,0,0,0
62b45e145108cfac7f210a09,60.0,12,8,9,5,6,0,0,0,0
62b45e165108cfac7f210a16,60.0,9,6,7,4,3,0,0,0,0
62b45e165108cfac7f210a17,44.4,8,10,11,5,8,0,0,0,0
62b45e175108cfac7f210a19,35.7,5,9,10,5,5,0,0,0,0
62b45e21e0d4551b0392c8ed,48.1,13,14,15,7,10,0,0,0,0
62b45e23e0d4551b0392c90a,40.9,9,13,12,6,9,0,0,0,0
62b45e2eb89c9fd354170232,50.0,10,10,11,3,3,0,0,0,0
62b45e515108cfac7f210a3c,23.1,6,20,14,5,8,0,0,0,0
62b45e945108cfac7f210a4a,56.0,14,11,12,4,3,0,0,0,0
62b463153879012d19481498,50.0,3,3,4,2,0,0,0,0,0
62b463153879012d1948149a,66.7,22,11,12,4,6,0,0,0,0
62b463153879012d1948149b,80.0,16,4,5,1,0,0,0,0,0
62b463153879012d1948149c,85.7,18,3,4,2,0,0,0,0,0
62b463153879012d1948149d,42.9,12,16,17,4,10,0,0,0,0
62b463153879012d1948149f,60.6,20,13,10,2,3,0,0,0,0
62b463153879012d194814a1,71.4,10,4,5,2,1,0,0,0,0
62b463163879012d194814a2,64.7,11,6,7,2,1,1,0,0,0
62b463163879012d194814a4,51.7,15,14,13,3,3,0,0,0,0
62b463163879012d194814a6,80.0,16,4,4,1,0,0,0,0,0
62b4631b3879012d194814dd,60.0,3,2,3,1,0,0,0,0,0
62b463283879012d1948153d,33.3,3,6,7,3,3,0,0,0,0
62b463303879012d19481579,57.7,15,11,12,5,8,0,0,0,0
62b46740d2f69a53b466171a,23.1,3,10,10,3,4,0,0,0,0
62b46746d2f69a53b4661722,24.1,13,41,35,19,50,1,0,0,0
62b86707b4d922cb0e688c2a,0.0,0,9,9,4,2,0,0,0,0
62b86729b4d922cb0e688c2f,61.1,11,7,4,1,0,0,0,0,0
62b869eab4d922cb0e688cbf,20.7,6,23,9,5,7,0,0,0,0
62b869eab4d922cb0e688cc5,46.4,13,15,11,6,12,0,0,0,0
62b869ebb4d922cb0e688cc6,41.7,15,21,14,8,17,1,0,0,0
62b86a01b4d922cb0e688ccc,43.8,14,18,16,7,18,1,0,0,0
62b86a4fb4d922cb0e688cf7,64.7,11,6,7,2,1,1,0,0,0
62b86a4fb4d922cb0e688cf8,62.5,10,6,7,2,1,0,0,0,0
62b86a9eb4d922cb0e688d25,63.6,7,4,5,1,0,1,0,0,0
62b86aa3b4d922cb0e688d36,42.9,18,24,24,7,12,3,0,0,0
62b87af09a0c4fa8b80b34f1,62.5,5,3,4,2,1,0,0,0,0
62b87af19a0c4fa8b80b34f7,53.3,16,14,15,11,15,0,0,0,0
62b87af69a0c4fa8b80b351a,60.0,3,2,3,1,0,0,0,0,0
62b87af99a0c4fa8b80b3524,60.0,3,2,3,1,0,0,0,0,0
62b87b099a0c4fa8b80b3538,60.0,3,2,3,1,0,0,0,0,0
62b87b199a0c4fa8b80b354c,50.0,5,5,5,2,2,1,0,0,0
62b87b199a0c4fa8b80b354e,65.0,13,7,8,5,5,0,0,0,0
62b87b4f9a0c4fa8b80b3580,42.9,6,8,9,3,2,0,0,0,0
62b87b4f9a0c4fa8b80b3581,65.6,21,11,11,5,6,0,0,0,0
62b87b519a0c4fa8b80b3583,46.2,18,21,21,8,16,1,0,0,0
62b87b7e9a0c4fa8b80b35bc,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0
62b87b839a0c4fa8b80b35cb,50.0,5,5,5,2,2,0,0,0,0
62b87b859a0c4fa8b80b35d7,70.6,24,10,11,3,2,0,0,0,0
62b87b869a0c4fa8b80b35e1,44.4,20,25,25,6,8,0,0,0,0
62b87b989a0c4fa8b80b35ee,50.0,6,6,6,2,2,0,0,0,0
62b87d23d292efb640a55667,50.0,7,7,8,3,2,0,0,0,0
62b87d23d292efb640a55668,25.0,4,12,13,4,0,0,0,0,0
62b87d23d292efb640a5566b,12.5,3,21,15,7,8,0,0,0,0
62b87d24d292efb640a5566d,37.5,3,5,5,2,2,0,0,0,0
62b87d24d292efb640a5566f,41.2,7,10,10,2,4,0,0,0,0
62b87d24d292efb640a55670,20.0,3,12,13,2,4,0,0,0,0
62b89640755ee91dce50a114,40.0,6,9,10,4,6,0,0,0,0
62b8966c755ee91dce50a154,94.0,63,4,5,1,0,0,0,0,0
62b896de755ee91dce50a183,82.7,43,9,10,4,3,0,0,0,0
62b8982f755ee91dce50a241,39.0,16,25,26,1,0,1,0,0,0
62b8a4a4755ee91dce50a3d2,58.8,10,7,8,3,2,0,0,0,0
62b8a4a4755ee91dce50a3d3,77.8,14,4,5,2,1,0,0,0,0
62b8a7b2755ee91dce50a4a7,77.3,17,5,6,2,1,0,0,0,0
