module,error_ids,error_messages,count
62b43425903eeb48555d3ea1,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43425903eeb48555d3ea1"" doesn't conform to snake_case naming style | Undefined variable 'Pattern' | Unused argument 'self'",5
62b43426903eeb48555d3ea2,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, protected-access, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43426903eeb48555d3ea2"" doesn't conform to snake_case naming style | Undefined variable '_converting' | Access to a protected member _Converter of a client class | Undefined variable '_converting' | Unused argument 'self'",7
62b43427903eeb48555d3ea5,"line-too-long, line-too-long, line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, redefined-builtin, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, no-else-return, unused-argument","Line too long (105/100) | Line too long (116/100) | Line too long (123/100) | Line too long (127/100) | Final newline missing | Missing module docstring | Module name ""62b43427903eeb48555d3ea5"" doesn't conform to snake_case naming style | Redefining built-in 'format' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"" | Unused argument 'self'",25
62b43428903eeb48555d3eaa,"line-too-long, line-too-long, line-too-long, line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, unnecessary-comprehension, unnecessary-comprehension, unused-argument","Line too long (113/100) | Line too long (117/100) | Line too long (117/100) | Line too long (120/100) | Line too long (103/100) | Final newline missing | Missing module docstring | Module name ""62b43428903eeb48555d3eaa"" doesn't conform to snake_case naming style | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Iterable' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Iterable' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'List' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'List' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unnecessary use of a comprehension, use dict(params.items()) instead. | Unnecessary use of a comprehension, use list(params) instead. | Unused argument 'self'",30
62b438a266fea644fe22cc2c,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2c"" doesn't conform to snake_case naming style",7
62b438a266fea644fe22cc2d,"line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (104/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2d"" doesn't conform to snake_case naming style",6
62b438a266fea644fe22cc2e,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, unused-variable","Line too long (259/100) | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2e"" doesn't conform to snake_case naming style | Unused variable 'subparsers'",5
62b438b566fea644fe22cc70,"missing-module-docstring, invalid-name","Missing module docstring | Module name ""62b438b566fea644fe22cc70"" doesn't conform to snake_case naming style",2
62b438b666fea644fe22cc72,"line-too-long, missing-final-newline, line-too-long, missing-module-docstring, invalid-name, protected-access","Line too long (102/100) | Final newline missing | Line too long (102/100) | Missing module docstring | Module name ""62b438b666fea644fe22cc72"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",6
62b438b666fea644fe22cc78,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc78"" doesn't conform to snake_case naming style",4
62b438ba66fea644fe22cca2,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-error, missing-function-docstring, undefined-loop-variable, too-many-nested-blocks","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Line too long (111/100) | Line too long (125/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438ba66fea644fe22cca2"" doesn't conform to snake_case naming style | Unable to import 'ruamel.yaml.nodes' | Missing function or method docstring | Using possibly undefined loop variable 'key_node' | Too many nested blocks (6/5)",17
62b45665d7d32e5b55cc8363,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8363"" doesn't conform to snake_case naming style",7
62b45665d7d32e5b55cc8364,"line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (104/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8364"" doesn't conform to snake_case naming style",6
62b45665d7d32e5b55cc8365,"line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (237/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8365"" doesn't conform to snake_case naming style",11
62b45679d7d32e5b55cc83a9,"missing-final-newline, missing-module-docstring, invalid-name, protected-access","Final newline missing | Missing module docstring | Module name ""62b45679d7d32e5b55cc83a9"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",4
62b4567ad7d32e5b55cc83af,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ad7d32e5b55cc83af"" doesn't conform to snake_case naming style",6
62b4567ed7d32e5b55cc83d9,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-error, missing-function-docstring","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ed7d32e5b55cc83d9"" doesn't conform to snake_case naming style | Unable to import 'ruamel.yaml.nodes' | Missing function or method docstring",15
62b45b396decaeff903e1001,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45b396decaeff903e1001"" doesn't conform to snake_case naming style | Unused argument 'self'",4
62b45df05108cfac7f2109ce,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, broad-exception-caught, undefined-variable, undefined-variable, undefined-variable, undefined-variable, unused-argument","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45df05108cfac7f2109ce"" doesn't conform to snake_case naming style | Catching too general exception Exception | Undefined variable 'os' | Undefined variable 'os' | Undefined variable 'os' | Undefined variable 'os' | Unused argument 'self'",11
62b45df15108cfac7f2109dc,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dc"" doesn't conform to snake_case naming style",3
62b45df15108cfac7f2109dd,"missing-final-newline, missing-module-docstring, invalid-name, duplicate-code, duplicate-code, duplicate-code","Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dd"" doesn't conform to snake_case naming style | Similar lines in 2 files
==62e60873d76274f8a4026bd8:[16:25]
==62e60ecfd76274f8a4026d6a:[3:12]
        (3, 5): ""HandlerForV3_5"",
        (4, 0): ""HandlerForV4_0"",
        (4, 1): ""HandlerForV4_1"",
        (4, 2): ""HandlerForV4_2"",
    }

    if protocol_version is not None:
        if not isinstance(protocol_version, tuple):
            raise TypeError(""Protocol version must be a tuple."") | Similar lines in 2 files
==62b438a266fea644fe22cc2d:[20:26]
==62b45665d7d32e5b55cc8364:[20:26]
            parsed_args[subparser_name] = args
            remaining_args = remaining
        except argparse.ArgumentError:
            continue

    return parsed_args, remaining_args | Similar lines in 2 files
==62b45679d7d32e5b55cc83a9:[5:10]
==62ece4982e6aefcf4aabbd65:[4:9]
    flags = []
    for action in parser._actions:
        if action.option_strings:
            flags.extend(action.option_strings)
    return ' '.join(flags)",6
62b45e135108cfac7f2109f4,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45e135108cfac7f2109f4"" doesn't conform to snake_case naming style | Unused argument 'self' | Unused argument 'identifier'",5
62b45e145108cfac7f210a07,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, protected-access, protected-access, unused-argument, no-else-return, unused-argument","Line too long (111/100) | Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a07"" doesn't conform to snake_case naming style | Access to a protected member _is_valid_spec_version of a client class | Access to a protected member _validate_inventory of a client class | Unused argument 'self' | Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"" | Unused argument 'self'",9
62b45e145108cfac7f210a09,"missing-final-newline, missing-module-docstring, invalid-name, unspecified-encoding, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a09"" doesn't conform to snake_case naming style | Using open without explicitly specifying an encoding | Unused argument 'self'",5
62b45e165108cfac7f210a16,"line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (165/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e165108cfac7f210a16"" doesn't conform to snake_case naming style",7
62b45e165108cfac7f210a17,"line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (128/100) | Line too long (153/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e165108cfac7f210a17"" doesn't conform to snake_case naming style",7
62b45e175108cfac7f210a19,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unused-argument, unused-variable","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e175108cfac7f210a19"" doesn't conform to snake_case naming style | Unused argument 'self' | Unused variable 'checksum'",8
