File,Comment (%),Comment Lines,Lines of Code,Statements,Cyclomatic Complexity,Cognitive Complexity,Code Smells,Vulnerabilities,Bugs,Security Hotspots
62b43425903eeb48555d3ea1,54.5,6,5,6,1,0,1,0,0,1
62b43426903eeb48555d3ea2,70.0,7,3,4,1,0,0,0,0,0
62b43427903eeb48555d3ea5,54.5,18,15,11,4,7,0,0,0,0
62b43428903eeb48555d3eaa,17.2,5,24,19,7,13,0,0,0,0
62b438a266fea644fe22cc2c,43.8,7,9,10,1,0,0,0,0,0
62b438a266fea644fe22cc2d,56.5,13,10,11,2,3,1,0,0,0
62b438a266fea644fe22cc2e,37.5,6,10,11,1,0,0,0,0,0
62b438b566fea644fe22cc70,40.0,8,12,13,3,2,0,0,0,0
62b438b666fea644fe22cc72,75.0,6,2,3,2,0,0,0,0,0
62b438b666fea644fe22cc78,40.0,4,6,7,2,1,0,0,0,0
62b438ba66fea644fe22cca2,0.0,0,20,17,6,11,0,0,0,0
62b45665d7d32e5b55cc8363,43.8,7,9,10,1,0,0,0,0,0
62b45665d7d32e5b55cc8364,56.5,13,10,11,2,3,1,0,0,0
62b45665d7d32e5b55cc8365,60.0,9,6,7,1,0,1,0,0,0
62b45679d7d32e5b55cc83a9,66.7,4,2,3,1,0,0,0,0,0
62b4567ad7d32e5b55cc83af,40.0,4,6,7,2,1,0,0,0,0
62b4567ed7d32e5b55cc83d9,0.0,0,23,20,8,20,1,0,1,0
62b45b396decaeff903e1001,41.7,5,7,7,3,4,0,0,0,0
62b45df05108cfac7f2109ce,77.8,14,4,5,1,0,2,0,0,0
62b45df15108cfac7f2109dc,57.1,4,3,4,1,0,0,0,0,0
62b45df15108cfac7f2109dd,37.5,3,5,6,2,1,0,0,0,0
62b45e135108cfac7f2109f4,60.0,3,2,3,1,0,1,0,0,0
62b45e145108cfac7f210a07,47.6,10,11,10,4,6,0,0,0,0
62b45e145108cfac7f210a09,25.0,3,9,10,4,6,0,0,0,0
62b45e165108cfac7f210a16,66.7,8,4,5,2,1,0,0,0,0
62b45e165108cfac7f210a17,45.0,9,11,12,6,11,0,0,0,0
62b45e175108cfac7f210a19,40.0,8,12,13,7,9,0,0,0,0
62b45e21e0d4551b0392c8ed,47.8,11,12,12,5,6,0,0,0,0
62b45e23e0d4551b0392c90a,32.1,9,19,19,4,10,2,0,0,0
62b45e2eb89c9fd354170232,66.7,8,4,5,1,0,0,0,0,0
62b45e515108cfac7f210a3c,44.4,4,5,6,1,0,0,0,0,0
62b45e945108cfac7f210a4a,30.8,8,18,19,10,16,1,0,0,0
62b463153879012d19481498,50.0,3,3,4,2,0,0,0,0,0
62b463153879012d1948149a,64.5,20,11,12,5,7,1,0,0,0
62b463153879012d1948149b,81.8,18,4,5,1,0,0,0,0,0
62b463153879012d1948149c,85.7,18,3,4,2,0,0,0,0,0
62b463153879012d1948149d,50.0,12,12,13,3,3,0,0,0,0
62b463153879012d1948149f,61.8,21,13,13,2,3,0,0,0,0
62b463153879012d194814a1,60.0,6,4,5,2,1,0,0,0,0
62b463163879012d194814a2,63.2,12,7,8,2,1,0,0,0,0
62b463163879012d194814a4,48.3,14,15,14,3,3,0,0,0,0
62b463163879012d194814a6,80.0,16,4,4,1,0,0,0,0,0
62b4631b3879012d194814dd,60.0,3,2,3,1,0,0,0,0,0
62b463283879012d1948153d,33.3,3,6,7,3,3,0,0,0,0
62b463303879012d19481579,33.3,4,8,9,3,3,0,0,0,0
62b46740d2f69a53b466171a,37.5,3,5,6,2,1,0,0,0,0
62b46746d2f69a53b4661722,32.3,20,42,43,26,74,3,0,0,0
62b86707b4d922cb0e688c2a,56.3,9,7,8,3,2,0,0,0,0
62b86729b4d922cb0e688c2f,61.1,11,7,4,1,0,0,0,0,0
62b869eab4d922cb0e688cbf,31.6,6,13,7,3,3,0,0,0,0
62b869eab4d922cb0e688cc5,59.1,13,9,8,4,6,0,0,0,0
62b869ebb4d922cb0e688cc6,68.2,15,7,6,3,3,0,0,0,0
62b86a01b4d922cb0e688ccc,50.0,15,15,15,7,13,0,0,0,0
62b86a4fb4d922cb0e688cf7,58.8,10,7,8,2,1,0,0,0,0
62b86a4fb4d922cb0e688cf8,58.8,10,7,8,2,1,0,0,0,0
62b86a9eb4d922cb0e688d25,63.6,7,4,5,1,0,0,0,0,0
62b86aa3b4d922cb0e688d36,9.5,2,19,19,11,17,2,0,0,0
62b87af09a0c4fa8b80b34f1,55.6,5,4,5,2,1,0,0,0,0
62b87af19a0c4fa8b80b34f7,0.0,0,17,16,8,19,1,0,0,0
62b87af69a0c4fa8b80b351a,60.0,3,2,3,2,1,0,0,0,0
62b87af99a0c4fa8b80b3524,60.0,3,2,3,1,0,0,0,0,0
62b87b099a0c4fa8b80b3538,60.0,3,2,3,2,1,0,0,0,0
62b87b199a0c4fa8b80b354c,50.0,5,5,5,2,2,1,0,0,0
62b87b199a0c4fa8b80b354e,57.1,8,6,7,3,2,0,0,0,0
62b87b4f9a0c4fa8b80b3580,61.5,8,5,6,1,0,0,0,0,0
62b87b4f9a0c4fa8b80b3581,70.4,19,8,9,5,5,0,0,0,0
62b87b519a0c4fa8b80b3583,63.3,19,11,12,7,7,0,0,0,0
62b87b7e9a0c4fa8b80b35bc,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0
62b87b839a0c4fa8b80b35cb,50.0,5,5,5,2,2,0,0,0,0
62b87b859a0c4fa8b80b35d7,71.4,20,8,9,3,2,0,0,0,0
62b87b869a0c4fa8b80b35e1,58.0,29,21,20,4,6,1,0,0,0
62b87b989a0c4fa8b80b35ee,66.7,6,3,4,2,1,0,0,0,0
62b87d23d292efb640a55667,53.3,8,7,8,2,0,0,0,0,0
62b87d23d292efb640a55668,23.5,4,13,10,3,0,0,0,0,0
62b87d23d292efb640a5566b,18.8,3,13,14,5,4,0,0,0,0
62b87d24d292efb640a5566d,60.0,3,2,3,2,1,0,0,0,0
62b87d24d292efb640a5566f,33.3,3,6,7,2,1,0,0,0,0
62b87d24d292efb640a55670,30.0,3,7,8,1,1,0,0,0,0
62b89640755ee91dce50a114,60.0,6,4,5,2,0,0,0,0,0
62b8966c755ee91dce50a154,64.9,72,39,38,14,20,1,0,0,0
62b896de755ee91dce50a183,95.0,57,3,4,1,0,0,0,0,0
62b8982f755ee91dce50a241,61.1,11,7,8,1,0,0,0,0,0
62b8a4a4755ee91dce50a3d2,52.6,10,9,9,5,5,0,0,0,0
62b8a4a4755ee91dce50a3d3,72.7,16,6,7,2,1,0,0,0,0
62b8a7b2755ee91dce50a4a7,87.5,28,4,5,2,1,0,0,0,0
62b8b3d4eb7e40a82d2d110d,66.7,6,3,4,1,0,0,0,0,0
