filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,10,3,59,2,34,0
62b4631b3879012d194814dd.py,2,1,15,1,5,0
6306091d73426c38ae68ace5.py,20,6,125,2,28,0
62b86a01b4d922cb0e688ccc.py,13,6,91,2,25,0
62b896de755ee91dce50a183.py,35,14,256,6,70,0
62b45e165108cfac7f210a16.py,12,7,94,2,27,0
62b45df05108cfac7f2109ce.py,22,9,185,2,40,0
62e4fbda85ea986430890403.py,7,2,68,1,7,0
6306092c73426c38ae68ad02.py,12,7,77,3,22,0
6306092e73426c38ae68ad09.py,8,6,69,2,13,0
62b45df15108cfac7f2109dc.py,12,8,89,2,17,0
62b43426903eeb48555d3ea2.py,8,1,19,1,8,0
62b87af99a0c4fa8b80b3524.py,2,2,23,1,5,0
62ece4992e6aefcf4aabbd78.py,3,1,25,1,9,0
62b463153879012d1948149b.py,3,1,27,2,23,0
62b8b4c1eb7e40a82d2d1139.py,22,11,138,3,38,0
62b463303879012d19481579.py,12,3,58,1,20,0
62b87af69a0c4fa8b80b351a.py,2,2,30,1,6,0
62b43427903eeb48555d3ea5.py,27,4,139,3,34,0
630629e052e177c0ba46a0c4.py,50,7,267,1,65,0
62e5dc9ed76274f8a4026b5b.py,16,3,63,4,47,2
62b45665d7d32e5b55cc8363.py,12,1,123,0,22,0
62b8a4a4755ee91dce50a3d3.py,14,5,96,2,26,0
62b8d23a48ba5a41d1c3f499.py,7,2,49,1,16,0
62e60e49d76274f8a4026d25.py,12,3,66,5,31,2
62b87d23d292efb640a55667.py,8,3,42,3,15,1
62b46746d2f69a53b4661722.py,35,21,346,2,46,0
62b8bbbfe0d34b282c18120f.py,6,2,35,2,16,0
630629e152e177c0ba46a0d2.py,27,8,169,1,50,0
62b86a9eb4d922cb0e688d25.py,4,1,18,0,17,0
62b463283879012d1948153d.py,6,3,31,2,9,0
62ece4992e6aefcf4aabbd79.py,9,3,39,1,13,0
62b463153879012d1948149c.py,7,3,44,2,12,0
62b89640755ee91dce50a114.py,8,4,51,3,17,1
62b45b396decaeff903e1001.py,14,10,116,3,24,0
62b87b199a0c4fa8b80b354c.py,13,5,90,2,23,0
62b869ebb4d922cb0e688cc6.py,25,9,137,3,39,0
62b8a4a4755ee91dce50a3d2.py,15,4,141,2,26,0
62b8bbbfe0d34b282c181210.py,8,3,55,4,28,0
630629d052e177c0ba46a0a1.py,29,6,159,3,43,0
62b463163879012d194814a6.py,6,1,33,1,17,0
62b43428903eeb48555d3eaa.py,15,3,130,3,22,0
6306091073426c38ae68acac.py,9,4,76,4,15,0
62b438b666fea644fe22cc78.py,11,2,94,1,21,0
62e60e3bd76274f8a4026d1a.py,10,4,51,2,21,0
630629e252e177c0ba46a0d6.py,16,4,75,1,28,0
62b438a266fea644fe22cc2c.py,12,1,133,0,24,0
62b45e165108cfac7f210a17.py,9,5,65,2,14,0
62b463163879012d194814a2.py,7,2,57,3,22,0
62e60f3bd76274f8a4026e10.py,24,12,105,1,39,0
6306292052e177c0ba469f09.py,8,6,48,1,20,0
62e60f37d76274f8a4026dfd.py,4,2,20,1,12,0
62ece4982e6aefcf4aabbd65.py,7,3,40,1,19,0
62e4fc3c85ea98643089041e.py,7,1,18,1,10,0
62b8b3d4eb7e40a82d2d110f.py,7,2,54,0,19,0
62ece4992e6aefcf4aabbd85.py,13,7,115,3,24,0
62e60707d76274f8a4026b69.py,8,2,52,3,20,0
6306292352e177c0ba469f1d.py,16,3,60,2,18,0
62b8d23c48ba5a41d1c3f49b.py,8,2,54,1,19,0
6306092e73426c38ae68ad0d.py,37,15,198,11,88,2
62ece4982e6aefcf4aabbd5f.py,3,2,32,2,12,0
62b87d24d292efb640a5566f.py,20,4,166,2,30,0
62ece4982e6aefcf4aabbd6b.py,6,2,37,1,9,0
62ece4992e6aefcf4aabbd7a.py,11,5,63,0,23,0
62b87b519a0c4fa8b80b3583.py,18,9,131,2,28,0
62ece4982e6aefcf4aabbd75.py,7,3,61,1,16,0
62ece4992e6aefcf4aabbd8b.py,4,2,23,1,7,0
62b8d23b48ba5a41d1c3f49a.py,26,7,155,5,106,2
62ece4982e6aefcf4aabbd61.py,9,4,47,1,15,0
62b8b99de0d34b282c1811f8.py,6,2,43,1,16,0
6306092d73426c38ae68ad04.py,20,5,112,2,39,0
62b87b859a0c4fa8b80b35d7.py,15,7,112,3,27,0
62b8982f755ee91dce50a241.py,27,1,190,1,45,0
62ece4982e6aefcf4aabbd6f.py,11,1,80,2,18,0
6306299052e177c0ba469fe8.py,6,3,43,2,15,0
62e4fb6585ea98643089032b.py,3,2,32,1,4,0
62b8b416eb7e40a82d2d1129.py,4,4,43,2,5,0
62ece4992e6aefcf4aabbd7e.py,11,6,86,1,24,0
62ece4982e6aefcf4aabbd71.py,8,2,51,1,18,0
6306091c73426c38ae68acdd.py,20,9,123,2,35,0
62ece4982e6aefcf4aabbd60.py,15,3,86,1,21,0
62b87b7e9a0c4fa8b80b35bc.py,20,9,162,2,34,0
62b8b590eb7e40a82d2d1275.py,19,8,124,1,27,0
62b46740d2f69a53b466171a.py,4,3,50,3,7,0
6306092d73426c38ae68ad05.py,7,3,53,3,16,0
6306092e73426c38ae68ad0a.py,7,5,55,2,12,0
62b45e135108cfac7f2109f4.py,2,1,10,2,5,0
62ece4992e6aefcf4aabbd80.py,13,6,83,1,33,0
62e60e05d76274f8a4026cfd.py,5,3,35,2,12,0
62ece4992e6aefcf4aabbd7d.py,34,5,139,4,44,0
63060ada73426c38ae68ad31.py,20,10,160,3,42,0
62ece4982e6aefcf4aabbd70.py,3,1,19,0,9,0
62b45e515108cfac7f210a3c.py,20,3,147,1,30,0
630629b952e177c0ba46a043.py,15,2,52,2,31,0
62ece4982e6aefcf4aabbd64.py,7,4,57,2,15,0
62e60ecfd76274f8a4026d6a.py,15,4,105,2,23,0
62b86707b4d922cb0e688c2a.py,8,3,46,3,12,1
62b438b666fea644fe22cc72.py,7,3,40,1,15,0
62b45e21e0d4551b0392c8ed.py,22,10,139,1,34,0
62b8c517e0d34b282c18122e.py,16,5,129,4,36,0
62ece4992e6aefcf4aabbd84.py,15,9,86,1,33,0
6306292352e177c0ba469f1e.py,11,3,62,2,29,1
6306292252e177c0ba469f11.py,2,1,13,1,5,0
62b87b989a0c4fa8b80b35ee.py,6,2,47,1,14,0
62b87d23d292efb640a55668.py,10,1,46,0,17,0
6306092f73426c38ae68ad13.py,25,11,184,6,48,0
62b87d24d292efb640a55670.py,17,2,64,0,24,0
62e60723d76274f8a4026b75.py,13,5,75,1,22,0
62b45e2eb89c9fd354170232.py,20,8,130,1,34,0
62ece4982e6aefcf4aabbd74.py,24,6,164,3,33,0
62b438ba66fea644fe22cca2.py,22,9,184,1,41,0
62b8b59feb7e40a82d2d1291.py,7,3,45,1,11,0
62b86aa3b4d922cb0e688d36.py,29,8,151,3,44,1
62ece4982e6aefcf4aabbd63.py,7,2,36,1,7,0
62b87af19a0c4fa8b80b34f7.py,15,11,145,3,33,0
6306093273426c38ae68ad15.py,26,5,195,4,50,0
62b8d22a48ba5a41d1c3f47e.py,6,2,29,3,6,0
62b8bbbce0d34b282c18120d.py,6,2,23,1,14,0
6306092e73426c38ae68ad0b.py,7,5,68,2,13,0
6306092d73426c38ae68ad06.py,6,3,43,2,17,0
62ece4992e6aefcf4aabbd83.py,48,16,265,6,73,0
62ece4982e6aefcf4aabbd6d.py,12,2,48,2,15,0
