File,Comment (%),Comment Lines,Lines of Code,Statements,Cyclomatic Complexity,Cognitive Complexity,Code Smells,Vulnerabilities,Bugs,Security Hotspots
62b43425903eeb48555d3ea1,72.7,8,3,4,1,0,0,0,0,0
62b43426903eeb48555d3ea2,62.5,5,3,4,1,0,0,0,0,0
62b43427903eeb48555d3ea5,50.0,16,16,12,3,5,0,0,0,0
62b43428903eeb48555d3eaa,16.7,3,15,11,2,2,0,0,0,0
62b438a266fea644fe22cc2c,36.8,7,12,13,1,0,0,0,0,0
62b438a266fea644fe22cc2d,42.1,8,11,12,2,3,1,0,0,0
62b438a266fea644fe22cc2e,27.6,8,21,19,3,4,0,0,0,0
62b438b566fea644fe22cc70,0.0,0,67,2,1,0,0,0,0,0
62b438b666fea644fe22cc72,50.0,7,7,8,3,3,0,0,0,0
62b438b666fea644fe22cc78,35.3,6,11,11,2,2,0,0,0,0
62b438ba66fea644fe22cca2,31.3,10,22,16,7,10,0,0,0,0
62b45665d7d32e5b55cc8363,29.4,5,12,13,1,0,0,0,0,0
62b45665d7d32e5b55cc8364,42.1,8,11,12,2,3,1,0,0,0
62b45665d7d32e5b55cc8365,25.0,7,21,20,3,3,0,0,0,0
62b45679d7d32e5b55cc83a9,46.7,7,8,9,4,5,0,0,0,0
62b4567ad7d32e5b55cc83af,35.3,6,11,11,2,2,0,0,0,0
62b4567ed7d32e5b55cc83d9,30.6,11,25,18,8,10,0,0,0,0
62b45b396decaeff903e1001,26.3,5,14,15,8,8,0,0,0,0
62b45df05108cfac7f2109ce,33.3,11,22,22,9,10,0,0,0,0
62b45df15108cfac7f2109dc,20.0,3,12,13,8,8,0,0,0,0
62b45df15108cfac7f2109dd,30.0,3,7,8,4,3,0,0,0,0
62b45e135108cfac7f2109f4,60.0,3,2,3,1,0,1,0,0,0
62b45e145108cfac7f210a07,22.9,8,27,28,10,16,1,0,0,0
62b45e145108cfac7f210a09,35.0,7,13,14,5,5,0,0,0,0
62b45e165108cfac7f210a16,47.8,11,12,13,7,8,0,0,0,0
62b45e165108cfac7f210a17,25.0,3,9,9,5,10,0,0,0,0
62b45e175108cfac7f210a19,28.2,11,28,24,11,14,0,0,0,0
62b45e21e0d4551b0392c8ed,18.5,5,22,21,7,8,1,0,0,0
62b45e23e0d4551b0392c90a,41.2,14,20,20,6,12,1,0,0,0
62b45e2eb89c9fd354170232,28.6,8,20,18,7,10,0,0,0,0
62b45e515108cfac7f210a3c,20.0,5,20,12,3,2,0,0,0,0
62b45e945108cfac7f210a4a,38.7,12,19,18,7,26,1,0,0,0
62b463153879012d19481498,36.4,4,7,8,3,3,0,0,0,0
62b463153879012d1948149a,67.6,23,11,9,4,3,0,0,0,0
62b463153879012d1948149b,86.4,19,3,4,1,0,0,0,0,0
62b463153879012d1948149c,22.2,2,7,7,3,3,0,0,0,0
62b463153879012d1948149d,63.3,19,11,12,3,3,0,0,0,0
62b463153879012d1948149f,67.7,21,10,10,3,4,0,0,0,0
62b463153879012d194814a1,52.9,9,8,8,3,3,0,0,0,0
62b463163879012d194814a2,63.2,12,7,8,2,1,0,0,0,0
62b463163879012d194814a4,55.8,24,19,15,4,6,0,0,1,0
62b463163879012d194814a6,60.0,9,6,6,1,0,0,0,0,0
62b4631b3879012d194814dd,60.0,3,2,3,1,0,0,0,0,0
62b463283879012d1948153d,33.3,3,6,7,3,3,0,0,0,0
62b463303879012d19481579,29.4,5,12,12,3,4,0,0,0,0
62b46740d2f69a53b466171a,42.9,3,4,5,3,2,0,0,0,0
62b46746d2f69a53b4661722,10.3,4,35,25,19,30,1,0,0,0
62b86707b4d922cb0e688c2a,0.0,0,7,7,3,1,0,0,0,0
62b86729b4d922cb0e688c2f,45.8,11,13,4,1,0,0,0,0,0
62b869eab4d922cb0e688cbf,14.3,3,18,11,6,10,0,0,0,0
62b869eab4d922cb0e688cc5,14.3,4,24,16,6,14,0,0,0,0
62b869ebb4d922cb0e688cc6,24.2,8,25,18,8,11,0,0,0,0
62b86a01b4d922cb0e688ccc,31.6,6,13,12,4,7,0,0,0,0
62b86a4fb4d922cb0e688cf7,52.0,13,12,11,3,2,1,0,0,0
62b86a4fb4d922cb0e688cf8,53.8,14,12,14,4,3,1,0,0,0
62b86a9eb4d922cb0e688d25,73.3,11,4,5,1,0,0,0,0,0
62b86aa3b4d922cb0e688d36,18.9,7,30,22,8,10,0,0,0,0
62b87af09a0c4fa8b80b34f1,36.0,9,16,17,9,12,0,0,0,0
62b87af19a0c4fa8b80b34f7,53.1,17,15,16,8,14,0,0,0,0
62b87af69a0c4fa8b80b351a,66.7,4,2,3,2,1,0,0,0,0
62b87af99a0c4fa8b80b3524,60.0,3,2,3,2,1,0,0,0,0
62b87b099a0c4fa8b80b3538,50.0,3,3,3,4,1,0,0,0,0
62b87b199a0c4fa8b80b354c,38.1,8,13,13,4,5,1,0,0,0
62b87b199a0c4fa8b80b354e,13.6,3,19,19,4,7,0,0,0,0
62b87b4f9a0c4fa8b80b3580,57.1,8,6,7,2,1,0,0,0,0
62b87b4f9a0c4fa8b80b3581,63.6,21,12,12,5,7,0,0,0,0
62b87b519a0c4fa8b80b3583,14.3,3,18,18,8,6,0,0,0,0
62b87b7e9a0c4fa8b80b35bc,31.0,9,20,20,8,21,1,0,0,0
62b87b839a0c4fa8b80b35cb,50.0,9,9,6,2,1,0,0,0,0
62b87b859a0c4fa8b80b35d7,28.6,6,15,14,5,7,0,0,0,0
62b87b869a0c4fa8b80b35e1,22.6,7,24,18,6,7,0,0,0,0
62b87b989a0c4fa8b80b35ee,53.8,7,6,6,2,2,0,0,0,0
