module,error_ids,error_messages,count
62b43425903eeb48555d3ea1,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43425903eeb48555d3ea1"" doesn't conform to snake_case naming style | Undefined variable 'Pattern' | Undefined variable 're' | Unused argument 'self'",6
62b43426903eeb48555d3ea2,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, relative-beyond-top-level, import-outside-toplevel, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43426903eeb48555d3ea2"" doesn't conform to snake_case naming style | Undefined variable '_converting' | Attempted relative import beyond top-level package | Import outside toplevel (_converting._Converter) | Unused argument 'self'",7
62b43427903eeb48555d3ea5,"line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, redefined-builtin, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, no-else-return, unused-argument","Line too long (103/100) | Line too long (113/100) | Final newline missing | Missing module docstring | Module name ""62b43427903eeb48555d3ea5"" doesn't conform to snake_case naming style | Redefining built-in 'format' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"" | Unused argument 'self'",23
62b43428903eeb48555d3eaa,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b43428903eeb48555d3eaa"" doesn't conform to snake_case naming style | Missing function or method docstring | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Iterable' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Iterable' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'List' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'List' | Undefined variable 'Sequence' | Undefined variable 'Any'",27
62b438a266fea644fe22cc2c,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2c"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",5
62b438a266fea644fe22cc2d,"line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, bare-except","Line too long (307/100) | Line too long (224/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2d"" doesn't conform to snake_case naming style | No exception type(s) specified",8
62b438a266fea644fe22cc2e,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, import-outside-toplevel","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2e"" doesn't conform to snake_case naming style | Missing function or method docstring | Import outside toplevel (argparse)",14
62b438b566fea644fe22cc70,"missing-module-docstring, invalid-name, missing-function-docstring","Missing module docstring | Module name ""62b438b566fea644fe22cc70"" doesn't conform to snake_case naming style | Missing function or method docstring",3
62b438b666fea644fe22cc72,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, protected-access","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc72"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",5
62b438b666fea644fe22cc78,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc78"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",8
62b438ba66fea644fe22cca2,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438ba66fea644fe22cca2"" doesn't conform to snake_case naming style | Missing function or method docstring",15
62b45665d7d32e5b55cc8363,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8363"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",5
62b45665d7d32e5b55cc8364,"line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, bare-except","Line too long (307/100) | Line too long (221/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8364"" doesn't conform to snake_case naming style | No exception type(s) specified",8
62b45665d7d32e5b55cc8365,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, import-outside-toplevel","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8365"" doesn't conform to snake_case naming style | Missing function or method docstring | Import outside toplevel (argparse)",9
62b45679d7d32e5b55cc83a9,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, protected-access","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45679d7d32e5b55cc83a9"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",5
62b4567ad7d32e5b55cc83af,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ad7d32e5b55cc83af"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",8
62b4567ed7d32e5b55cc83d9,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ed7d32e5b55cc83d9"" doesn't conform to snake_case naming style | Missing function or method docstring",20
62b45b396decaeff903e1001,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45b396decaeff903e1001"" doesn't conform to snake_case naming style | Unused argument 'self'",10
62b45df05108cfac7f2109ce,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45df05108cfac7f2109ce"" doesn't conform to snake_case naming style | Undefined variable 'json'",5
62b45df15108cfac7f2109dc,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dc"" doesn't conform to snake_case naming style",5
