filename,error_ids,error_messages,count
./Data/generation/python_italian_claude/iter_7/files/62b43425903eeb48555d3ea1.py,D100 ; F821 ; E501 ; W293 ; F821 ; W292,Missing docstring in public module ; undefined name 'Pattern' ; line too long (87 > 79 characters) ; blank line contains whitespace ; undefined name 're' ; no newline at end of file,6
./Data/generation/python_italian_claude/iter_7/files/62b43426903eeb48555d3ea2.py,D100 ; F821 ; E501 ; W292,Missing docstring in public module ; undefined name '_converting' ; line too long (93 > 79 characters) ; no newline at end of file,4
./Data/generation/python_italian_claude/iter_7/files/62b43427903eeb48555d3ea5.py,D100 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; D401 ; E501 ; E501 ; E501 ; E501 ; W292,Missing docstring in public module ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; First line should be in imperative mood ; line too long (103 > 79 characters) ; line too long (93 > 79 characters) ; line too long (113 > 79 characters) ; line too long (82 > 79 characters) ; no newline at end of file,22
./Data/generation/python_italian_claude/iter_7/files/62b43428903eeb48555d3eaa.py,D100 ; D103 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; W293 ; W292,Missing docstring in public module ; Missing docstring in public function ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Iterable' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Iterable' ; undefined name 'Sequence' ; undefined name 'Any' ; line too long (86 > 79 characters) ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'List' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'List' ; undefined name 'Sequence' ; undefined name 'Any' ; line too long (81 > 79 characters) ; blank line contains whitespace ; no newline at end of file,25
./Data/generation/python_italian_claude/iter_7/files/62b438a266fea644fe22cc2c.py,D100 ; D200 ; E501 ; E501 ; E501 ; W291 ; E501 ; W292,Missing docstring in public module ; One-line docstring should fit on one line with quotes ; line too long (98 > 79 characters) ; line too long (81 > 79 characters) ; line too long (86 > 79 characters) ; trailing whitespace ; line too long (99 > 79 characters) ; no newline at end of file,8
./Data/generation/python_italian_claude/iter_7/files/62b438a266fea644fe22cc2d.py,D100 ; E501 ; E501 ; W293 ; B001 ; E722 ; W293 ; W292,"Missing docstring in public module ; line too long (307 > 79 characters) ; line too long (224 > 79 characters) ; blank line contains whitespace ; Do not use bare `except:`, it also catches unexpected events like memory errors, interrupts, system exit, and so on.  Prefer excepting specific exceptions  If you're sure what you're doing, be explicit and write `except BaseException:`. ; do not use bare 'except' ; blank line contains whitespace ; no newline at end of file",8
./Data/generation/python_italian_claude/iter_7/files/62b438a266fea644fe22cc2e.py,D100 ; D103 ; W293 ; E501 ; W293 ; E501 ; W293 ; E501 ; W293 ; W291 ; E501 ; W293 ; W293 ; W293 ; W292,Missing docstring in public module ; Missing docstring in public function ; blank line contains whitespace ; line too long (80 > 79 characters) ; blank line contains whitespace ; line too long (93 > 79 characters) ; blank line contains whitespace ; line too long (80 > 79 characters) ; blank line contains whitespace ; trailing whitespace ; line too long (86 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,15
./Data/generation/python_italian_claude/iter_7/files/62b438b566fea644fe22cc70.py,D100 ; D103 ; W293 ; E501 ; E501 ; W293 ; W292 ; E501,Missing docstring in public module ; Missing docstring in public function ; blank line contains whitespace ; line too long (109 > 79 characters) ; line too long (81 > 79 characters) ; blank line contains whitespace ; no newline at end of file ; line too long (1141 > 79 characters),8
./Data/generation/python_italian_claude/iter_7/files/62b438b666fea644fe22cc72.py,D100 ; D205 ; D400 ; E501 ; W293 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (82 > 79 characters) ; blank line contains whitespace ; no newline at end of file,6
./Data/generation/python_italian_claude/iter_7/files/62b438b666fea644fe22cc78.py,D100 ; D205 ; D400 ; E501 ; W293 ; E501 ; W293 ; E501 ; W293 ; W293 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (84 > 79 characters) ; blank line contains whitespace ; line too long (80 > 79 characters) ; blank line contains whitespace ; line too long (97 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,11
