module,error_ids,error_messages,count
62b43425903eeb48555d3ea1,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43425903eeb48555d3ea1"" doesn't conform to snake_case naming style | Undefined variable 'Pattern' | Unused argument 'self'",5
62b43426903eeb48555d3ea2,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, protected-access, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43426903eeb48555d3ea2"" doesn't conform to snake_case naming style | Undefined variable '_converting' | Access to a protected member _Converter of a client class | Undefined variable '_converting' | Unused argument 'self'",7
62b43427903eeb48555d3ea5,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, redefined-builtin, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, f-string-without-interpolation, unused-argument","Line too long (103/100) | Final newline missing | Missing module docstring | Module name ""62b43427903eeb48555d3ea5"" doesn't conform to snake_case naming style | Redefining built-in 'format' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Using an f-string that does not have any interpolated variables | Unused argument 'self'",22
62b43428903eeb48555d3eaa,"missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43428903eeb48555d3eaa"" doesn't conform to snake_case naming style | Missing function or method docstring | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Iterable' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Iterable' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'List' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'List' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unused argument 'self'",24
62b438a266fea644fe22cc2c,"missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2c"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",4
62b438a266fea644fe22cc2d,"line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (307/100) | Line too long (224/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2d"" doesn't conform to snake_case naming style",7
62b438a266fea644fe22cc2e,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (236/100) | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2e"" doesn't conform to snake_case naming style",4
62b438b566fea644fe22cc70,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, subprocess-run-check, bad-format-string, consider-using-f-string","Line too long (172/100) | Final newline missing | Missing module docstring | Module name ""62b438b566fea644fe22cc70"" doesn't conform to snake_case naming style | 'subprocess.run' used without explicitly defining the value for 'check'. | Invalid format string | Formatting a regular string which could be an f-string",7
62b438b666fea644fe22cc72,"missing-final-newline, missing-module-docstring, invalid-name, protected-access","Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc72"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",4
62b438b666fea644fe22cc78,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc78"" doesn't conform to snake_case naming style",6
62b438ba66fea644fe22cca2,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, line-too-long, line-too-long, trailing-whitespace, line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-error, missing-function-docstring","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Line too long (145/100) | Line too long (112/100) | Trailing whitespace | Line too long (123/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438ba66fea644fe22cca2"" doesn't conform to snake_case naming style | Unable to import 'ruamel.yaml.nodes' | Missing function or method docstring",14
62b45665d7d32e5b55cc8363,"missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8363"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",4
62b45665d7d32e5b55cc8364,"line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (307/100) | Line too long (221/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8364"" doesn't conform to snake_case naming style",7
62b45665d7d32e5b55cc8365,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (228/100) | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8365"" doesn't conform to snake_case naming style",4
62b45679d7d32e5b55cc83a9,"missing-final-newline, missing-module-docstring, invalid-name, protected-access","Final newline missing | Missing module docstring | Module name ""62b45679d7d32e5b55cc83a9"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",4
62b4567ad7d32e5b55cc83af,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ad7d32e5b55cc83af"" doesn't conform to snake_case naming style",6
62b4567ed7d32e5b55cc83d9,syntax-error,"Parsing failed: 'closing parenthesis ']' does not match opening parenthesis '(' (62b4567ed7d32e5b55cc83d9, line 18)'",1
62b45b396decaeff903e1001,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45b396decaeff903e1001"" doesn't conform to snake_case naming style",3
62b45df05108cfac7f2109ce,"missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, import-error, import-outside-toplevel, unused-argument, unused-import","Final newline missing | Missing module docstring | Module name ""62b45df05108cfac7f2109ce"" doesn't conform to snake_case naming style | Import outside toplevel (os) | Unable to import 'fs' | Import outside toplevel (fs.open_fs) | Unused argument 'self' | Unused import os",8
62b45df15108cfac7f2109dc,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dc"" doesn't conform to snake_case naming style",3
62b45df15108cfac7f2109dd,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, duplicate-code, duplicate-code, duplicate-code, duplicate-code, duplicate-code, duplicate-code","Line too long (110/100) | Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dd"" doesn't conform to snake_case naming style | Similar lines in 2 files
==62e60873d76274f8a4026bd8:[19:30]
==62e60ecfd76274f8a4026d6a:[15:26]
    }

    if protocol_version is not None:
        if not isinstance(protocol_version, tuple):
            raise TypeError(""La versione del protocollo deve essere una tupla."")
        if protocol_version in available_handlers:
            return {protocol_version: available_handlers[protocol_version]}
        else:
            return {}
    else:
        return available_handlers | Similar lines in 2 files
==62b8b4baeb7e40a82d2d1136:[40:47]
==62b8b4baeb7e40a82d2d1137:[50:57]
    if errors:
        if len(errors) == 1:
            raise Invalid(errors[0])
        else:
            raise Invalid(""\n"".join(errors))

    return True | Similar lines in 2 files
==62b438a266fea644fe22cc2d:[12:19]
==62b45665d7d32e5b55cc8364:[12:19]
            parsed_args[subparser_name] = args
            remaining_args = remaining
        except SystemExit:
            # Ignore SystemExit exceptions raised by argparse when parsing fails
            continue

    return parsed_args, remaining_args | Similar lines in 2 files
==62b438b666fea644fe22cc72:[5:10]
==62ece4982e6aefcf4aabbd65:[9:14]
    flags = []
    for action in parser._actions:
        if action.option_strings:
            flags.extend(action.option_strings)
    return ' '.join(flags) | Similar lines in 2 files
==62b438b666fea644fe22cc78:[7:17]
==62b4567ad7d32e5b55cc83af:[7:17]
    parser = argparse.ArgumentParser(description=""Parse command line arguments."")

    # Add arguments to the parser
    for arg in arguments:
        parser.add_argument(arg)

    # Parse the arguments
    args = parser.parse_args()

    return args | Similar lines in 2 files
==62b8d23a48ba5a41d1c3f499:[4:9]
==62b8d23e48ba5a41d1c3f49e:[4:9]
    if not self:
        raise KeyError(""popitem(): dictionary is empty"")
    key = next(iter(self))
    value = self.pop(key)
    return (key, value)",10
62b45e135108cfac7f2109f4,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45e135108cfac7f2109f4"" doesn't conform to snake_case naming style | Unused argument 'self' | Unused argument 'identifier'",5
62b45e145108cfac7f210a07,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-else-return, protected-access, protected-access, unused-argument, unused-argument","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a07"" doesn't conform to snake_case naming style | Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"" | Access to a protected member _validate_v1 of a client class | Access to a protected member _validate_v2 of a client class | Unused argument 'self' | Unused argument 'self'",9
62b45e145108cfac7f210a09,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unspecified-encoding, unused-argument","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a09"" doesn't conform to snake_case naming style | Using open without explicitly specifying an encoding | Unused argument 'self'",6
62b45e165108cfac7f210a16,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e165108cfac7f210a16"" doesn't conform to snake_case naming style | Undefined variable 'InventoryValidator'",6
62b45e165108cfac7f210a17,"line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (121/100) | Line too long (138/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e165108cfac7f210a17"" doesn't conform to snake_case naming style",7
62b45e175108cfac7f210a19,"line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Line too long (120/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Line too long (112/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e175108cfac7f210a19"" doesn't conform to snake_case naming style | Unused argument 'self'",10
