filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,13,3,73,2,38,0
62b4631b3879012d194814dd.py,2,1,15,1,5,0
6306091d73426c38ae68ace5.py,10,4,60,4,15,0
62b86a01b4d922cb0e688ccc.py,13,8,112,2,15,0
62b896de755ee91dce50a183.py,9,4,89,6,77,0
62b45e165108cfac7f210a16.py,8,5,54,2,21,0
62b45df05108cfac7f2109ce.py,9,3,43,2,22,0
62e4fbda85ea986430890403.py,6,1,36,1,6,0
6306092c73426c38ae68ad02.py,8,3,55,3,15,0
6306092e73426c38ae68ad09.py,6,3,32,2,11,0
62b45df15108cfac7f2109dc.py,3,1,17,2,7,0
62b43426903eeb48555d3ea2.py,7,1,16,1,7,0
62b87af99a0c4fa8b80b3524.py,2,2,23,1,5,0
62ece4992e6aefcf4aabbd78.py,2,1,16,1,8,0
62b463153879012d1948149b.py,4,1,27,2,25,0
62b8b4c1eb7e40a82d2d1139.py,4,3,35,3,7,0
62b463303879012d19481579.py,8,3,38,1,14,0
62b87af69a0c4fa8b80b351a.py,2,2,30,1,5,0
62b43427903eeb48555d3ea5.py,25,4,130,3,28,0
630629e052e177c0ba46a0c4.py,14,3,53,1,16,0
62e5dc9ed76274f8a4026b5b.py,9,3,41,4,15,2
62b45665d7d32e5b55cc8363.py,8,1,85,0,14,0
62b8a4a4755ee91dce50a3d3.py,9,5,80,2,25,0
62b8d23a48ba5a41d1c3f499.py,6,2,42,1,14,0
62e60e49d76274f8a4026d25.py,8,3,35,5,48,2
62b87d23d292efb640a55667.py,7,2,29,3,11,1
62b46746d2f69a53b4661722.py,19,13,248,3,50,1
62b8bbbfe0d34b282c18120f.py,6,2,37,2,16,0
630629e152e177c0ba46a0d2.py,7,2,38,1,20,0
62b86a9eb4d922cb0e688d25.py,3,1,16,0,9,0
62b463283879012d1948153d.py,6,3,31,2,9,0
62ece4992e6aefcf4aabbd79.py,9,3,40,1,18,0
62b463153879012d1948149c.py,2,3,23,2,20,0
62b89640755ee91dce50a114.py,8,3,46,3,17,1
62b45b396decaeff903e1001.py,5,3,31,3,7,0
62b87b199a0c4fa8b80b354c.py,9,3,66,2,14,0
62b869ebb4d922cb0e688cc6.py,17,6,106,3,30,0
62b8a4a4755ee91dce50a3d2.py,8,3,48,2,25,0
62b8bbbfe0d34b282c181210.py,8,3,55,4,22,0
630629d052e177c0ba46a0a1.py,17,3,99,3,32,0
62b463163879012d194814a6.py,3,1,24,1,19,0
62b43428903eeb48555d3eaa.py,25,11,221,3,31,0
6306091073426c38ae68acac.py,7,3,60,4,21,0
62b438b666fea644fe22cc78.py,4,1,24,1,14,0
62e60e3bd76274f8a4026d1a.py,6,2,56,2,16,0
630629e252e177c0ba46a0d6.py,10,2,50,1,23,0
62b438a266fea644fe22cc2c.py,8,1,85,0,18,0
62b45e165108cfac7f210a17.py,10,4,62,2,21,0
62b463163879012d194814a2.py,6,2,49,3,14,0
62e60f3bd76274f8a4026e10.py,5,2,32,1,13,0
6306292052e177c0ba469f09.py,9,4,39,1,14,0
62e60f37d76274f8a4026dfd.py,4,2,19,1,11,0
