File,Comment (%),Comment Lines,Lines of Code,Statements,Cyclomatic Complexity,Cognitive Complexity,Code Smells,Vulnerabilities,Bugs,Security Hotspots
62b43425903eeb48555d3ea1,54.5,6,5,6,1,0,0,0,0,0
62b43426903eeb48555d3ea2,71.4,5,2,3,1,0,0,0,0,0
62b43427903eeb48555d3ea5,40.0,12,18,13,3,5,0,0,0,0
62b43428903eeb48555d3eaa,13.6,3,19,15,4,5,0,0,0,0
62b438a266fea644fe22cc2c,35.7,5,9,10,1,0,0,0,0,0
62b438a266fea644fe22cc2d,37.5,6,10,11,2,3,1,0,0,0
62b438a266fea644fe22cc2e,37.5,6,10,11,1,0,0,0,0,0
62b438b566fea644fe22cc70,13.6,3,19,4,1,0,0,0,0,0
62b438b666fea644fe22cc72,66.7,4,2,3,2,0,0,0,0,0
62b438b666fea644fe22cc78,58.3,7,5,6,1,0,0,0,0,0
62b438ba66fea644fe22cca2,11.8,2,15,13,6,13,0,0,0,0
62b45665d7d32e5b55cc8363,18.2,2,9,10,1,0,0,0,0,0
62b45665d7d32e5b55cc8364,37.5,6,10,11,2,3,1,0,0,0
62b45665d7d32e5b55cc8365,37.5,6,10,11,1,0,0,0,0,0
62b45679d7d32e5b55cc83a9,66.7,4,2,3,2,0,0,0,0,0
62b4567ad7d32e5b55cc83af,58.3,7,5,6,1,0,0,0,0,0
62b4567ed7d32e5b55cc83d9,75.6,59,19,16,6,13,0,0,0,0
62b45b396decaeff903e1001,28.6,2,5,6,3,3,0,0,0,0
62b45df05108cfac7f2109ce,45.5,10,12,12,5,8,0,0,0,0
62b45df15108cfac7f2109dc,57.1,4,3,4,1,0,0,0,0,0
62b45df15108cfac7f2109dd,60.0,3,2,3,1,0,0,0,0,0
62b45e135108cfac7f2109f4,60.0,3,2,3,1,0,1,0,0,0
62b45e145108cfac7f210a07,39.1,9,14,12,5,9,0,0,0,0
62b45e145108cfac7f210a09,29.4,5,12,12,5,7,0,0,0,0
62b45e165108cfac7f210a16,55.6,10,8,9,4,3,0,0,0,0
62b45e165108cfac7f210a17,41.2,7,10,11,4,6,0,0,0,0
62b45e175108cfac7f210a19,26.3,5,14,15,7,8,0,0,0,0
62b45e21e0d4551b0392c8ed,46.2,12,14,15,7,12,0,0,0,0
