File,Comment (%),Comment Lines,Lines of Code,Statements,Cyclomatic Complexity,Cognitive Complexity,Code Smells,Vulnerabilities,Bugs,Security Hotspots
62b43425903eeb48555d3ea1,71.4,5,2,3,1,0,0,0,0,0
62b43426903eeb48555d3ea2,62.5,5,3,4,1,0,0,0,0,0
62b43427903eeb48555d3ea5,20.9,9,34,27,12,28,1,0,0,0
62b43428903eeb48555d3eaa,16.7,3,15,11,2,2,0,0,0,0
62b438a266fea644fe22cc2c,35.0,7,13,14,1,0,0,0,0,0
62b438a266fea644fe22cc2d,47.6,10,11,12,2,3,0,0,0,0
62b438a266fea644fe22cc2e,30.8,8,18,18,3,3,2,0,0,0
62b438b566fea644fe22cc70,5.9,3,48,3,1,0,0,0,0,0
62b438b666fea644fe22cc72,30.0,3,7,7,3,3,0,0,0,0
62b438b666fea644fe22cc78,35.3,6,11,12,2,1,0,0,0,0
62b438ba66fea644fe22cca2,33.3,10,20,18,9,14,0,0,1,0
62b45665d7d32e5b55cc8363,32.0,8,17,16,1,0,0,0,0,0
62b45665d7d32e5b55cc8364,47.6,10,11,12,2,3,1,0,0,0
62b45665d7d32e5b55cc8365,30.8,8,18,18,3,3,2,0,0,0
62b45679d7d32e5b55cc83a9,30.0,3,7,7,3,3,0,0,0,0
62b4567ad7d32e5b55cc83af,33.3,6,12,13,2,1,0,0,0,0
62b4567ed7d32e5b55cc83d9,24.2,8,25,17,9,10,0,0,0,0
62b45b396decaeff903e1001,16.7,3,15,13,6,7,0,0,0,0
62b45df05108cfac7f2109ce,26.0,13,37,35,13,24,1,0,0,0
62b45df15108cfac7f2109dc,20.0,3,12,13,8,8,0,0,0,0
62b45df15108cfac7f2109dd,18.8,3,13,14,6,7,0,0,0,0
62b45e135108cfac7f2109f4,60.0,3,2,3,1,0,1,0,0,0
62b45e145108cfac7f210a07,31.8,14,30,30,13,23,1,0,0,0
62b45e145108cfac7f210a09,35.0,7,13,14,5,5,0,0,0,0
62b45e165108cfac7f210a16,23.8,5,16,16,9,12,0,0,0,0
62b45e165108cfac7f210a17,30.8,4,9,9,5,10,0,0,0,0
62b45e175108cfac7f210a19,36.0,9,16,17,9,11,0,0,0,0
62b45e21e0d4551b0392c8ed,21.4,6,22,21,6,8,0,0,0,0
62b45e23e0d4551b0392c90a,38.5,15,24,23,8,17,1,0,0,0
62b45e2eb89c9fd354170232,37.0,10,17,17,6,8,0,0,0,0
62b45e515108cfac7f210a3c,25.9,7,20,12,3,2,0,0,0,0
62b45e945108cfac7f210a4a,35.7,10,18,18,8,30,1,0,0,0
62b463153879012d19481498,36.4,4,7,8,3,3,0,0,0,0
62b463153879012d1948149a,65.7,23,12,9,4,3,0,0,0,0
62b463153879012d1948149b,83.3,20,4,5,1,0,0,0,0,0
62b463153879012d1948149c,22.2,2,7,7,3,3,0,0,0,0
62b463153879012d1948149d,61.8,21,13,14,4,7,0,0,0,0
62b463153879012d1948149f,67.7,21,10,10,3,4,0,0,0,0
62b463153879012d194814a1,69.6,16,7,7,3,3,0,0,0,0
62b463163879012d194814a2,66.7,10,5,6,2,1,0,0,0,0
62b463163879012d194814a4,57.1,20,15,15,5,10,0,0,0,0
62b463163879012d194814a6,60.0,9,6,6,1,0,0,0,0,0
62b4631b3879012d194814dd,60.0,3,2,3,1,0,0,0,0,0
62b463283879012d1948153d,25.0,3,9,10,3,5,1,0,0,0
62b463303879012d19481579,39.4,13,20,20,7,12,0,0,0,0
62b46740d2f69a53b466171a,33.3,9,18,14,7,14,0,0,0,0
62b46746d2f69a53b4661722,22.2,10,35,25,30,23,6,0,0,0
62b86707b4d922cb0e688c2a,0.0,0,7,7,3,1,0,0,0,0
62b86729b4d922cb0e688c2f,45.8,11,13,4,1,0,0,0,0,0
62b869eab4d922cb0e688cbf,13.5,7,45,20,8,12,0,0,0,0
62b869eab4d922cb0e688cc5,13.6,3,19,12,5,10,0,0,0,0
62b869ebb4d922cb0e688cc6,22.2,8,28,17,9,12,0,0,0,0
62b86a01b4d922cb0e688ccc,26.3,5,14,13,5,8,0,0,0,0
62b86a4fb4d922cb0e688cf7,66.7,16,8,9,2,1,0,0,0,0
62b86a4fb4d922cb0e688cf8,60.0,15,10,11,3,2,0,0,0,0
62b86a9eb4d922cb0e688d25,75.0,12,4,5,1,0,0,0,0,0
62b86aa3b4d922cb0e688d36,22.9,8,27,21,8,9,0,0,0,0
62b87af09a0c4fa8b80b34f1,44.4,8,10,11,5,5,0,0,0,0
62b87af19a0c4fa8b80b34f7,55.6,15,12,13,7,12,0,0,0,0
62b87af69a0c4fa8b80b351a,50.0,3,3,3,4,1,0,0,0,0
62b87af99a0c4fa8b80b3524,60.0,3,2,3,2,1,0,0,0,0
62b87b099a0c4fa8b80b3538,0.0,0,3,2,4,1,0,0,0,0
62b87b199a0c4fa8b80b354c,50.0,9,9,9,4,5,0,0,0,0
62b87b199a0c4fa8b80b354e,22.2,4,14,14,6,6,0,0,0,0
62b87b4f9a0c4fa8b80b3580,53.8,7,6,7,2,1,0,0,0,0
62b87b4f9a0c4fa8b80b3581,32.0,8,17,16,7,11,0,0,0,0
62b87b519a0c4fa8b80b3583,20.0,4,16,16,9,11,0,0,0,0
62b87b7e9a0c4fa8b80b35bc,38.1,8,13,13,8,12,1,0,0,0
62b87b839a0c4fa8b80b35cb,25.0,3,9,9,2,4,0,0,0,0
62b87b859a0c4fa8b80b35d7,31.6,6,13,12,4,5,0,0,0,0
62b87b869a0c4fa8b80b35e1,18.8,6,26,23,8,12,0,0,0,0
62b87b989a0c4fa8b80b35ee,53.8,7,6,6,2,2,0,0,0,0
62b87d23d292efb640a55667,68.8,11,5,6,2,0,0,0,0,0
62b87d23d292efb640a55668,23.1,3,10,11,1,0,0,0,0,0
62b87d23d292efb640a5566b,12.5,3,21,21,7,16,1,0,0,0
62b87d24d292efb640a5566d,42.9,3,4,5,2,1,0,0,0,0
62b87d24d292efb640a5566f,20.0,3,12,12,3,6,0,0,0,0
62b87d24d292efb640a55670,16.7,4,20,10,1,1,0,0,0,0
62b89640755ee91dce50a114,40.0,6,9,9,4,6,0,0,0,0
62b8966c755ee91dce50a154,14.1,11,67,58,14,22,1,0,0,0
62b896de755ee91dce50a183,20.0,10,40,37,15,30,1,0,0,0
62b8982f755ee91dce50a241,10.6,5,42,25,10,9,0,0,0,0
62b8a4a4755ee91dce50a3d2,50.0,15,15,16,4,3,1,0,0,0
62b8a4a4755ee91dce50a3d3,46.7,14,16,17,5,5,0,0,0,0
62b8a7b2755ee91dce50a4a7,87.1,27,4,5,2,1,0,0,0,0
62b8b3d4eb7e40a82d2d110d,41.7,5,7,8,1,1,0,0,0,0
62b8b3d4eb7e40a82d2d110e,60.0,3,2,3,1,0,0,0,0,0
62b8b3d4eb7e40a82d2d110f,30.0,3,7,7,2,1,0,0,0,0
62b8b3d5eb7e40a82d2d1110,0.0,0,6,6,1,1,0,0,0,0
62b8b3d6eb7e40a82d2d111c,41.7,10,14,14,7,8,0,0,0,0
62b8b416eb7e40a82d2d1129,60.0,9,6,5,3,2,0,0,0,0
62b8b4b9eb7e40a82d2d1134,58.3,7,5,6,2,1,1,0,0,0
62b8b4baeb7e40a82d2d1136,13.2,7,46,34,12,27,2,0,0,0
62b8b4baeb7e40a82d2d1137,23.1,9,30,27,7,15,1,0,0,0
62b8b4c1eb7e40a82d2d1139,30.3,10,23,24,10,22,2,0,0,0
62b8b559eb7e40a82d2d11f6,25.9,7,20,20,9,12,1,0,0,0
62b8b559eb7e40a82d2d11f8,26.1,6,17,18,8,12,1,0,0,0
62b8b58deb7e40a82d2d1269,50.0,8,8,9,3,2,1,0,0,0
62b8b590eb7e40a82d2d1275,34.5,10,19,18,8,17,2,0,0,0
62b8b59feb7e40a82d2d1291,36.4,4,7,8,2,2,1,0,0,0
62b8b99de0d34b282c1811f8,53.8,7,6,7,2,1,1,0,0,0
62b8bbbce0d34b282c18120d,53.8,7,6,7,1,1,0,0,0,0
62b8bbbfe0d34b282c18120f,55.6,10,8,8,1,1,0,0,0,0
62b8bbbfe0d34b282c181210,69.2,18,8,8,2,2,1,0,0,0
62b8c517e0d34b282c18122e,48.4,15,16,17,4,6,2,0,0,0
62b8d22548ba5a41d1c3f472,33.3,9,18,17,5,9,0,0,0,0
62b8d22948ba5a41d1c3f47c,37.5,3,5,6,1,1,0,0,0,0
62b8d22a48ba5a41d1c3f47d,30.8,4,9,10,2,3,0,0,0,0
62b8d22a48ba5a41d1c3f47e,33.3,3,6,7,1,1,0,0,0,0
