filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,10,3,63,2,34,0
62b4631b3879012d194814dd.py,2,1,15,1,5,0
6306091d73426c38ae68ace5.py,19,6,107,2,24,0
62b86a01b4d922cb0e688ccc.py,14,6,92,2,25,0
62b896de755ee91dce50a183.py,23,9,176,6,55,0
62b45e165108cfac7f210a16.py,14,9,118,2,23,0
62b45df05108cfac7f2109ce.py,25,10,145,2,46,0
62e4fbda85ea986430890403.py,10,2,77,1,10,0
6306092c73426c38ae68ad02.py,12,7,77,3,22,0
6306092e73426c38ae68ad09.py,6,6,63,2,11,0
62b45df15108cfac7f2109dc.py,12,8,90,2,17,0
62b43426903eeb48555d3ea2.py,8,1,19,1,8,0
62b87af99a0c4fa8b80b3524.py,2,2,23,1,5,0
62ece4992e6aefcf4aabbd78.py,3,1,25,1,9,0
62b463153879012d1948149b.py,4,1,27,2,25,0
62b8b4c1eb7e40a82d2d1139.py,23,11,144,3,40,0
62b463303879012d19481579.py,23,8,142,1,42,0
62b87af69a0c4fa8b80b351a.py,3,4,41,1,6,0
62b43427903eeb48555d3ea5.py,33,13,258,3,50,0
630629e052e177c0ba46a0c4.py,47,7,265,1,60,0
62e5dc9ed76274f8a4026b5b.py,16,3,67,4,34,2
62b45665d7d32e5b55cc8363.py,17,1,179,0,31,0
62b8a4a4755ee91dce50a3d3.py,20,8,164,2,41,0
62b8d23a48ba5a41d1c3f499.py,9,2,51,1,21,0
62e60e49d76274f8a4026d25.py,24,11,135,6,88,3
62b87d23d292efb640a55667.py,6,2,28,3,19,1
62b46746d2f69a53b4661722.py,35,34,363,2,54,0
62b8bbbfe0d34b282c18120f.py,8,2,45,2,18,0
630629e152e177c0ba46a0d2.py,27,9,172,1,51,0
62b86a9eb4d922cb0e688d25.py,4,1,18,0,18,0
62b463283879012d1948153d.py,6,3,31,2,9,0
62ece4992e6aefcf4aabbd79.py,9,3,38,1,15,0
62b463153879012d1948149c.py,7,3,44,2,12,0
62b89640755ee91dce50a114.py,8,3,45,3,19,1
62b45b396decaeff903e1001.py,14,9,108,3,26,0
62b87b199a0c4fa8b80b354c.py,9,4,75,2,20,0
62b869ebb4d922cb0e688cc6.py,33,13,170,3,45,0
62b8a4a4755ee91dce50a3d2.py,17,5,137,2,41,0
62b8bbbfe0d34b282c181210.py,8,3,55,4,29,0
630629d052e177c0ba46a0a1.py,20,3,99,3,31,0
62b463163879012d194814a6.py,6,1,36,1,18,0
62b43428903eeb48555d3eaa.py,20,10,222,3,27,0
6306091073426c38ae68acac.py,8,3,60,4,12,0
62b438b666fea644fe22cc78.py,11,2,92,1,22,0
62e60e3bd76274f8a4026d1a.py,11,4,50,2,23,0
630629e252e177c0ba46a0d6.py,16,4,75,1,28,0
62b438a266fea644fe22cc2c.py,13,1,141,0,25,0
62b45e165108cfac7f210a17.py,9,5,65,2,16,0
62b463163879012d194814a2.py,4,2,33,3,15,0
62e60f3bd76274f8a4026e10.py,8,2,43,1,17,0
6306292052e177c0ba469f09.py,8,7,59,1,15,0
62e60f37d76274f8a4026dfd.py,4,2,20,1,12,0
62ece4982e6aefcf4aabbd65.py,6,4,43,1,14,0
62e4fc3c85ea98643089041e.py,7,1,21,1,10,0
62b8b3d4eb7e40a82d2d110f.py,7,2,55,0,13,0
62ece4992e6aefcf4aabbd85.py,14,4,98,3,25,0
62e60707d76274f8a4026b69.py,13,3,76,3,23,0
6306292352e177c0ba469f1d.py,16,3,60,2,18,0
62b8d23c48ba5a41d1c3f49b.py,8,2,57,1,19,0
6306092e73426c38ae68ad0d.py,19,3,85,5,35,0
62ece4982e6aefcf4aabbd5f.py,4,2,35,2,15,0
62b87d24d292efb640a5566f.py,12,5,95,2,17,0
62ece4982e6aefcf4aabbd6b.py,7,2,39,1,10,0
62ece4992e6aefcf4aabbd7a.py,8,3,38,0,18,0
62b87b519a0c4fa8b80b3583.py,16,10,131,2,28,0
62ece4982e6aefcf4aabbd75.py,7,3,61,1,17,0
62ece4992e6aefcf4aabbd8b.py,4,2,23,1,7,0
62b8d23b48ba5a41d1c3f49a.py,32,10,189,7,120,2
62ece4982e6aefcf4aabbd61.py,9,4,46,1,9,0
62b8b99de0d34b282c1811f8.py,6,2,43,1,16,0
6306092d73426c38ae68ad04.py,7,3,41,2,20,0
62b87b859a0c4fa8b80b35d7.py,13,6,109,3,24,0
62b8982f755ee91dce50a241.py,42,10,242,1,53,0
62ece4982e6aefcf4aabbd6f.py,13,3,101,2,21,0
6306299052e177c0ba469fe8.py,6,3,43,2,15,0
62e4fb6585ea98643089032b.py,5,2,32,1,6,0
62b8b416eb7e40a82d2d1129.py,6,4,48,2,14,0
