filename,nloc,ccn,token_count,param_count,length,top_nesting_level
62b463153879012d1948149f.py,13,3,73,2,39,0
62b4631b3879012d194814dd.py,2,1,15,1,5,0
6306091d73426c38ae68ace5.py,10,5,69,4,15,0
62b86a01b4d922cb0e688ccc.py,13,8,109,2,29,0
62b896de755ee91dce50a183.py,3,1,49,6,51,0
62b45e165108cfac7f210a16.py,8,4,52,2,20,0
62b45df05108cfac7f2109ce.py,8,3,29,2,19,0
62e4fbda85ea986430890403.py,8,1,36,1,8,0
6306092c73426c38ae68ad02.py,11,5,52,3,22,0
6306092e73426c38ae68ad09.py,6,3,32,2,11,0
62b45df15108cfac7f2109dc.py,3,1,16,2,6,0
62b43426903eeb48555d3ea2.py,7,1,16,1,7,0
62b87af99a0c4fa8b80b3524.py,2,2,23,1,5,0
62ece4992e6aefcf4aabbd78.py,2,1,16,1,8,0
62b463153879012d1948149b.py,4,1,27,2,26,0
62b8b4c1eb7e40a82d2d1139.py,4,5,54,3,7,0
62b463303879012d19481579.py,11,7,94,1,17,0
62b87af69a0c4fa8b80b351a.py,2,2,30,1,5,0
62b43427903eeb48555d3ea5.py,33,4,115,3,37,0
630629e052e177c0ba46a0c4.py,14,3,53,1,16,0
62e5dc9ed76274f8a4026b5b.py,9,3,41,4,15,2
62b45665d7d32e5b55cc8363.py,17,4,73,6,33,2
62b8a4a4755ee91dce50a3d3.py,8,4,62,2,23,0
62b8d23a48ba5a41d1c3f499.py,7,2,47,1,15,0
62e60e49d76274f8a4026d25.py,13,5,59,5,53,2
62b87d23d292efb640a55667.py,6,2,50,2,11,0
62b46746d2f69a53b4661722.py,32,18,249,2,45,0
62b8bbbfe0d34b282c18120f.py,6,2,37,2,16,0
630629e152e177c0ba46a0d2.py,7,2,38,1,14,0
62b86a9eb4d922cb0e688d25.py,3,1,16,0,11,0
62b463283879012d1948153d.py,6,3,31,2,9,0
62ece4992e6aefcf4aabbd79.py,9,3,44,1,20,0
