module,error_ids,error_messages,count
62b43425903eeb48555d3ea1,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43425903eeb48555d3ea1"" doesn't conform to snake_case naming style | Unused argument 'self'",4
62b43426903eeb48555d3ea2,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, protected-access, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43426903eeb48555d3ea2"" doesn't conform to snake_case naming style | Undefined variable '_converting' | Access to a protected member _Converter of a client class | Undefined variable '_converting' | Unused argument 'self'",7
62b43427903eeb48555d3ea5,"line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, redefined-builtin, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, unused-argument","Line too long (105/100) | Line too long (106/100) | Final newline missing | Missing module docstring | Module name ""62b43427903eeb48555d3ea5"" doesn't conform to snake_case naming style | Redefining built-in 'format' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unused argument 'self'",22
62b43428903eeb48555d3eaa,"missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable","Final newline missing | Missing module docstring | Module name ""62b43428903eeb48555d3eaa"" doesn't conform to snake_case naming style | Missing function or method docstring | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Iterable' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Iterable' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'List' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'List' | Undefined variable 'Sequence' | Undefined variable 'Any'",23
62b438a266fea644fe22cc2c,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2c"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",6
62b438a266fea644fe22cc2d,"line-too-long, line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, unused-import","Line too long (313/100) | Line too long (250/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2d"" doesn't conform to snake_case naming style | Import outside toplevel (argparse) | Unused import argparse",8
62b438a266fea644fe22cc2e,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, unused-import","Line too long (230/100) | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2e"" doesn't conform to snake_case naming style | Unused import sys",5
62b438b566fea644fe22cc70,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Line too long (190/100) | Final newline missing | Missing module docstring | Module name ""62b438b566fea644fe22cc70"" doesn't conform to snake_case naming style | Import outside toplevel (subprocess)",5
62b438b666fea644fe22cc72,"line-too-long, missing-final-newline, line-too-long, missing-module-docstring, invalid-name, protected-access","Line too long (125/100) | Final newline missing | Line too long (102/100) | Missing module docstring | Module name ""62b438b666fea644fe22cc72"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",6
62b438b666fea644fe22cc78,"line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (157/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc78"" doesn't conform to snake_case naming style",7
62b438ba66fea644fe22cca2,"missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, import-error, import-outside-toplevel","Final newline missing | Missing module docstring | Module name ""62b438ba66fea644fe22cca2"" doesn't conform to snake_case naming style | Missing function or method docstring | Unable to import 'ruamel.yaml.nodes' | Import outside toplevel (ruamel.yaml.nodes.ScalarNode, ruamel.yaml.nodes.MappingNode)",6
62b45665d7d32e5b55cc8363,"missing-final-newline, missing-module-docstring, invalid-name, missing-class-docstring, missing-function-docstring, too-few-public-methods, missing-class-docstring, missing-function-docstring, too-few-public-methods, missing-class-docstring, missing-function-docstring, too-few-public-methods","Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8363"" doesn't conform to snake_case naming style | Missing class docstring | Missing function or method docstring | Too few public methods (1/2) | Missing class docstring | Missing function or method docstring | Too few public methods (1/2) | Missing class docstring | Missing function or method docstring | Too few public methods (1/2)",12
62b45665d7d32e5b55cc8364,"line-too-long, line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, unused-import","Line too long (313/100) | Line too long (118/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8364"" doesn't conform to snake_case naming style | Import outside toplevel (argparse) | Unused import argparse",8
62b45665d7d32e5b55cc8365,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Line too long (242/100) | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8365"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",5
62b45679d7d32e5b55cc83a9,"missing-final-newline, line-too-long, missing-module-docstring, invalid-name, protected-access","Final newline missing | Line too long (102/100) | Missing module docstring | Module name ""62b45679d7d32e5b55cc83a9"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",5
62b4567ad7d32e5b55cc83af,"line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (157/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ad7d32e5b55cc83af"" doesn't conform to snake_case naming style",7
62b4567ed7d32e5b55cc83d9,"missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, import-error, import-outside-toplevel","Final newline missing | Missing module docstring | Module name ""62b4567ed7d32e5b55cc83d9"" doesn't conform to snake_case naming style | Missing function or method docstring | Unable to import 'ruamel.yaml.nodes' | Import outside toplevel (ruamel.yaml.nodes.ScalarNode, ruamel.yaml.nodes.MappingNode)",6
62b45b396decaeff903e1001,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45b396decaeff903e1001"" doesn't conform to snake_case naming style | Unused argument 'self'",4
62b45df05108cfac7f2109ce,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, broad-exception-caught, missing-function-docstring, unused-argument, unused-argument, missing-function-docstring, unused-argument, unused-argument","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45df05108cfac7f2109ce"" doesn't conform to snake_case naming style | Catching too general exception Exception | Missing function or method docstring | Unused argument 'self' | Unused argument 'path' | Missing function or method docstring | Unused argument 'self' | Unused argument 'path'",13
62b45df15108cfac7f2109dc,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dc"" doesn't conform to snake_case naming style | Unused argument 'self'",4
