id,iter,italian_Comment (%),italian_Comment Lines,italian_Lines of Code,italian_Statements,italian_Cyclomatic Complexity,italian_Cognitive Complexity,italian_Code Smells,italian_Vulnerabilities,italian_Bugs,italian_Security Hotspots,italian_pmd,italian_nloc,italian_ccn,italian_token_count,italian_param_count,italian_length,italian_top_nesting_level,english_Comment (%),english_Comment Lines,english_Lines of Code,english_Statements,english_Cyclomatic Complexity,english_Cognitive Complexity,english_Code Smells,english_Vulnerabilities,english_Bugs,english_Security Hotspots,english_pmd,english_nloc,english_ccn,english_token_count,english_param_count,english_length,english_top_nesting_level,chinese_Comment (%),chinese_Comment Lines,chinese_Lines of Code,chinese_Statements,chinese_Cyclomatic Complexity,chinese_Cognitive Complexity,chinese_Code Smells,chinese_Vulnerabilities,chinese_Bugs,chinese_Security Hotspots,chinese_pmd,chinese_nloc,chinese_ccn,chinese_token_count,chinese_param_count,chinese_length,chinese_top_nesting_level,hindi_Comment (%),hindi_Comment Lines,hindi_Lines of Code,hindi_Statements,hindi_Cyclomatic Complexity,hindi_Cognitive Complexity,hindi_Code Smells,hindi_Vulnerabilities,hindi_Bugs,hindi_Security Hotspots,hindi_pmd,hindi_nloc,hindi_ccn,hindi_token_count,hindi_param_count,hindi_length,hindi_top_nesting_level,spanish_Comment (%),spanish_Comment Lines,spanish_Lines of Code,spanish_Statements,spanish_Cyclomatic Complexity,spanish_Cognitive Complexity,spanish_Code Smells,spanish_Vulnerabilities,spanish_Bugs,spanish_Security Hotspots,spanish_pmd,spanish_nloc,spanish_ccn,spanish_token_count,spanish_param_count,spanish_length,spanish_top_nesting_level
6367667c1a6d9265ec0173f7,0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,1,23.1,3.0,10.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,31.0,1.0,6.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,2,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,3,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,4,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,5,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,6,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,7,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,8,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
6367667c1a6d9265ec0173f7,9,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,33.3,3.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0,13.3,2.0,13.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,56.0,1.0,9.0,1.0,22.2,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,3.0,1.0
