id,iter,italian_Comment (%),italian_Comment Lines,italian_Lines of Code,italian_Statements,italian_Cyclomatic Complexity,italian_Cognitive Complexity,italian_Code Smells,italian_Vulnerabilities,italian_Bugs,italian_Security Hotspots,italian_flake8,italian_nloc,italian_ccn,italian_token_count,italian_param_count,italian_length,italian_top_nesting_level,italian_pylint,english_Comment (%),english_Comment Lines,english_Lines of Code,english_Statements,english_Cyclomatic Complexity,english_Cognitive Complexity,english_Code Smells,english_Vulnerabilities,english_Bugs,english_Security Hotspots,english_flake8,english_nloc,english_ccn,english_token_count,english_param_count,english_length,english_top_nesting_level,english_pylint,chinese_Comment (%),chinese_Comment Lines,chinese_Lines of Code,chinese_Statements,chinese_Cyclomatic Complexity,chinese_Cognitive Complexity,chinese_Code Smells,chinese_Vulnerabilities,chinese_Bugs,chinese_Security Hotspots,chinese_flake8,chinese_nloc,chinese_ccn,chinese_token_count,chinese_param_count,chinese_length,chinese_top_nesting_level,chinese_pylint,hindi_Comment (%),hindi_Comment Lines,hindi_Lines of Code,hindi_Statements,hindi_Cyclomatic Complexity,hindi_Cognitive Complexity,hindi_Code Smells,hindi_Vulnerabilities,hindi_Bugs,hindi_Security Hotspots,hindi_flake8,hindi_nloc,hindi_ccn,hindi_token_count,hindi_param_count,hindi_length,hindi_top_nesting_level,hindi_pylint,spanish_Comment (%),spanish_Comment Lines,spanish_Lines of Code,spanish_Statements,spanish_Cyclomatic Complexity,spanish_Cognitive Complexity,spanish_Code Smells,spanish_Vulnerabilities,spanish_Bugs,spanish_Security Hotspots,spanish_flake8,spanish_nloc,spanish_ccn,spanish_token_count,spanish_param_count,spanish_length,spanish_top_nesting_level,spanish_pylint
62b43425903eeb48555d3ea1,0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,58.3,7.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,1,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,55.6,5.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,1.0,16.0,1.0,7.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,58.3,7.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,2,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,55.6,5.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,1.0,16.0,1.0,7.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,3,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,60.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,8.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,4,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,60.0,9.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,23.0,1.0,11.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,5,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,6,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,55.6,5.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,16.0,1.0,7.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,58.3,7.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,7,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,58.3,7.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
62b43425903eeb48555d3ea1,8,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,60.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,8.0,0.0,4.0
62b43425903eeb48555d3ea1,9,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,63.6,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,16.0,1.0,9.0,0.0,4.0,54.5,6.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0,58.3,7.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,19.0,1.0,9.0,0.0,4.0
