language,metric,p.value,signif,d,magnitude
chinese,nloc,0,TRUE,0.0466,negligible
chinese,ccn,0,TRUE,0.0639,negligible
chinese,Comment.Lines,0.0109,TRUE,0.0493,negligible
chinese,Comment....,0.2361,FALSE,0.0413,negligible
chinese,Cognitive.Complexity,0,TRUE,0.0607,negligible
chinese,Code.Smells,1e-04,TRUE,-0.0237,negligible
chinese,Bugs,0.6124,FALSE,-0.0052,negligible
chinese,Security.Hotspots,4e-04,TRUE,0.0065,negligible
chinese,pmd,0.6925,FALSE,0.0152,negligible
hindi,nloc,0.3326,FALSE,-0.0059,negligible
hindi,ccn,0.0038,TRUE,0.0098,negligible
hindi,Comment.Lines,0,TRUE,-0.0712,negligible
hindi,Comment....,0,TRUE,-0.0681,negligible
hindi,Cognitive.Complexity,0.0302,TRUE,0.0156,negligible
hindi,Code.Smells,0,TRUE,-0.0888,negligible
hindi,Bugs,0.1041,FALSE,-0.0053,negligible
hindi,Security.Hotspots,0.0313,TRUE,0.0026,negligible
hindi,pmd,6e-04,TRUE,-0.0231,negligible
spanish,nloc,0.9623,FALSE,-0.0091,negligible
spanish,ccn,0.8638,FALSE,-0.0141,negligible
spanish,Comment.Lines,0.0154,TRUE,-0.0105,negligible
spanish,Comment....,0.3866,FALSE,0.0071,negligible
spanish,Cognitive.Complexity,0.1442,FALSE,0.0028,negligible
spanish,Code.Smells,0.0048,TRUE,-0.027,negligible
spanish,Bugs,1e-04,TRUE,-0.0105,negligible
spanish,Security.Hotspots,0.0044,TRUE,0.0043,negligible
spanish,pmd,1e-04,TRUE,-0.0188,negligible
italian,nloc,0.1442,FALSE,0.0114,negligible
italian,ccn,0.1791,FALSE,0.0036,negligible
italian,Comment.Lines,0.0102,TRUE,-0.0115,negligible
italian,Comment....,0.1039,FALSE,-0.004,negligible
italian,Cognitive.Complexity,0.2375,FALSE,0.0196,negligible
italian,Code.Smells,0.002,TRUE,-0.0311,negligible
italian,Bugs,0.0032,TRUE,-0.0062,negligible
italian,Security.Hotspots,NA,NA,0,negligible
italian,pmd,0.0095,TRUE,-0.0024,negligible
