language,metric,p.value,signif,d,magnitude
chinese,nloc,1e-04,TRUE,0.0461,negligible
chinese,ccn,7e-04,TRUE,0.028,negligible
chinese,Comment.Lines,0.458,FALSE,0.0384,negligible
chinese,Comment....,0.2476,FALSE,0.0081,negligible
chinese,Cognitive.Complexity,0,TRUE,0.0783,negligible
chinese,Code.Smells,0,TRUE,0.0883,negligible
chinese,Bugs,0.573,FALSE,0.0035,negligible
chinese,Security.Hotspots,0.1665,FALSE,0.0079,negligible
chinese,pmd,0.3924,FALSE,0.0124,negligible
hindi,nloc,0.0429,TRUE,0.0388,negligible
hindi,ccn,0.573,FALSE,0.0018,negligible
hindi,Comment.Lines,0.948,FALSE,0.0117,negligible
hindi,Comment....,0.064,FALSE,-0.0182,negligible
hindi,Cognitive.Complexity,0.5861,FALSE,0.0062,negligible
hindi,Code.Smells,0.546,FALSE,0.0185,negligible
hindi,Bugs,0.0911,FALSE,0.0087,negligible
hindi,Security.Hotspots,0.948,FALSE,0.0026,negligible
hindi,pmd,0.948,FALSE,4e-04,negligible
spanish,nloc,0.0043,TRUE,0.0344,negligible
spanish,ccn,0.121,FALSE,0.0116,negligible
spanish,Comment.Lines,0.0017,TRUE,0.0619,negligible
spanish,Comment....,0.0362,TRUE,0.0411,negligible
spanish,Cognitive.Complexity,5e-04,TRUE,0.0498,negligible
spanish,Code.Smells,0.042,TRUE,0.0541,negligible
spanish,Bugs,0.0634,FALSE,-0.007,negligible
spanish,Security.Hotspots,0.0054,TRUE,0.0131,negligible
spanish,pmd,0.573,FALSE,-0.0105,negligible
italian,nloc,0,TRUE,0.0625,negligible
italian,ccn,7e-04,TRUE,0.042,negligible
italian,Comment.Lines,5e-04,TRUE,0.0509,negligible
italian,Comment....,0.9153,FALSE,0.0227,negligible
italian,Cognitive.Complexity,0,TRUE,0.074,negligible
italian,Code.Smells,0,TRUE,0.0984,negligible
italian,Bugs,0.9153,FALSE,0.0017,negligible
italian,Security.Hotspots,0.2517,FALSE,0.0053,negligible
italian,pmd,5e-04,TRUE,0.0378,negligible
