language,metric,p.value,signif,d,magnitude
chinese,nloc,0.0146,TRUE,-0.0034,negligible
chinese,ccn,0.8103,FALSE,0.0068,negligible
chinese,Comment.Lines,0.7048,FALSE,0.0164,negligible
chinese,Comment....,0.0548,FALSE,0.0306,negligible
chinese,Cognitive.Complexity,0.3287,FALSE,0.0233,negligible
chinese,Code.Smells,0.8919,FALSE,0.0052,negligible
chinese,Bugs,0.3287,FALSE,0.0035,negligible
chinese,Security.Hotspots,0.0506,FALSE,0.0091,negligible
chinese,pmd,0.5519,FALSE,0.0011,negligible
hindi,nloc,2e-04,TRUE,-0.0309,negligible
hindi,ccn,2e-04,TRUE,-0.0348,negligible
hindi,Comment.Lines,0.4135,FALSE,0.0061,negligible
hindi,Comment....,0.0014,TRUE,0.0318,negligible
hindi,Cognitive.Complexity,0.0083,TRUE,-0.0149,negligible
hindi,Code.Smells,0,TRUE,-0.0406,negligible
hindi,Bugs,6e-04,TRUE,-0.0074,negligible
hindi,Security.Hotspots,9e-04,TRUE,0.0097,negligible
hindi,pmd,0.0049,TRUE,-0.0316,negligible
spanish,nloc,0.1408,FALSE,-0.0114,negligible
spanish,ccn,0.0514,FALSE,-0.03,negligible
spanish,Comment.Lines,0.1534,FALSE,0.0175,negligible
spanish,Comment....,0.4335,FALSE,0.0312,negligible
spanish,Cognitive.Complexity,0.0874,FALSE,0.0119,negligible
spanish,Code.Smells,2e-04,TRUE,-0.0182,negligible
spanish,Bugs,0.142,FALSE,-0.0043,negligible
spanish,Security.Hotspots,2e-04,TRUE,0.0148,negligible
spanish,pmd,0.0011,TRUE,-0.0306,negligible
italian,nloc,0.8261,FALSE,-0.0024,negligible
italian,ccn,0.3287,FALSE,8e-04,negligible
italian,Comment.Lines,0.1408,FALSE,0.0098,negligible
italian,Comment....,0.1408,FALSE,0.0098,negligible
italian,Cognitive.Complexity,0.9877,FALSE,0.0063,negligible
italian,Code.Smells,0.0507,FALSE,-0.0026,negligible
italian,Bugs,0.142,FALSE,0.0052,negligible
italian,Security.Hotspots,0.142,FALSE,0.0052,negligible
italian,pmd,0.1534,FALSE,-0.0236,negligible
