language,metric,p.value,signif,d,magnitude
chinese,nloc,0,TRUE,0.05,negligible
chinese,ccn,0.0026,TRUE,0.0327,negligible
chinese,Comment.Lines,0,TRUE,0.109,negligible
chinese,Comment....,2e-04,TRUE,0.0223,negligible
chinese,Cognitive.Complexity,0.001,TRUE,0.028,negligible
chinese,Code.Smells,0.0044,TRUE,-0.0336,negligible
chinese,Bugs,0.0449,TRUE,0.0052,negligible
chinese,Security.Hotspots,0.5082,FALSE,0.0068,negligible
chinese,pylint,0,TRUE,0.0704,negligible
chinese,flake8,0,TRUE,0.1014,negligible
hindi,nloc,0.0303,TRUE,0.002,negligible
hindi,ccn,0.07,FALSE,0.0179,negligible
hindi,Comment.Lines,0,TRUE,-0.1547,small
hindi,Comment....,0,TRUE,-0.1732,small
hindi,Cognitive.Complexity,0.0037,TRUE,0.0224,negligible
hindi,Code.Smells,0.7351,FALSE,-0.0192,negligible
hindi,Bugs,0.265,FALSE,0.0026,negligible
hindi,Security.Hotspots,2e-04,TRUE,-0.0046,negligible
hindi,pylint,0,TRUE,0.0975,negligible
hindi,flake8,0,TRUE,0.1541,small
spanish,nloc,0.0057,TRUE,-0.0079,negligible
spanish,ccn,0.0077,TRUE,-0.0042,negligible
spanish,Comment.Lines,0,TRUE,-0.1178,negligible
spanish,Comment....,0,TRUE,-0.1074,negligible
spanish,Cognitive.Complexity,0.1636,FALSE,-0.0022,negligible
spanish,Code.Smells,0.009,TRUE,-0.0435,negligible
spanish,Bugs,0.1375,FALSE,-0.0026,negligible
spanish,Security.Hotspots,0.1317,FALSE,-0.0044,negligible
spanish,pylint,0,TRUE,0.0519,negligible
spanish,flake8,0,TRUE,0.0479,negligible
italian,nloc,0.2126,FALSE,-0.0097,negligible
italian,ccn,0.0037,TRUE,-0.0137,negligible
italian,Comment.Lines,0,TRUE,-0.1241,negligible
italian,Comment....,0,TRUE,-0.1159,negligible
italian,Cognitive.Complexity,0.0249,TRUE,-0.0051,negligible
italian,Code.Smells,5e-04,TRUE,-0.0365,negligible
italian,Bugs,8e-04,TRUE,-0.0074,negligible
italian,Security.Hotspots,0.2813,FALSE,-0.0018,negligible
italian,pylint,0,TRUE,0.0704,negligible
italian,flake8,0,TRUE,0.0723,negligible
