language,metric,p.value,signif,d,magnitude
chinese,nloc,0.0164,TRUE,0.019,negligible
chinese,ccn,0.3213,FALSE,9e-04,negligible
chinese,Comment.Lines,0.0043,TRUE,0.0479,negligible
chinese,Comment....,0.0237,TRUE,0.0293,negligible
chinese,Cognitive.Complexity,0.3032,FALSE,-4e-04,negligible
chinese,Code.Smells,0.1534,FALSE,0.0142,negligible
chinese,Bugs,0.5286,FALSE,8e-04,negligible
chinese,Security.Hotspots,0.1216,FALSE,7e-04,negligible
chinese,pylint,0,TRUE,0.0608,negligible
chinese,flake8,0,TRUE,0.1238,negligible
hindi,nloc,0,TRUE,-0.0305,negligible
hindi,ccn,0.0073,TRUE,-0.0181,negligible
hindi,Comment.Lines,0,TRUE,-0.0758,negligible
hindi,Comment....,0.0165,TRUE,-0.0352,negligible
hindi,Cognitive.Complexity,0.0095,TRUE,-0.0198,negligible
hindi,Code.Smells,0.3889,FALSE,-0.0035,negligible
hindi,Bugs,0.0653,FALSE,-0.0078,negligible
hindi,Security.Hotspots,0.0051,TRUE,-0.0096,negligible
hindi,pylint,0,TRUE,0.1023,negligible
hindi,flake8,0,TRUE,0.2878,small
spanish,nloc,0.2727,FALSE,-0.0013,negligible
spanish,ccn,0.135,FALSE,-0.0192,negligible
spanish,Comment.Lines,0,TRUE,-0.0542,negligible
spanish,Comment....,0,TRUE,-0.0414,negligible
spanish,Cognitive.Complexity,9e-04,TRUE,-0.0251,negligible
spanish,Code.Smells,0.3889,FALSE,-0.0078,negligible
spanish,Bugs,0.1637,FALSE,-0.0052,negligible
spanish,Security.Hotspots,0.1325,FALSE,-1e-04,negligible
spanish,pylint,0,TRUE,0.1308,negligible
spanish,flake8,0,TRUE,0.1234,negligible
italian,nloc,0.0918,FALSE,-0.0108,negligible
italian,ccn,0.6499,FALSE,-0.0106,negligible
italian,Comment.Lines,0,TRUE,-0.0666,negligible
italian,Comment....,0,TRUE,-0.0593,negligible
italian,Cognitive.Complexity,0.0231,TRUE,-0.0128,negligible
italian,Code.Smells,0.3369,FALSE,0.0019,negligible
italian,Bugs,0.026,TRUE,-0.007,negligible
italian,Security.Hotspots,0.0027,TRUE,-0.0036,negligible
italian,pylint,0,TRUE,0.1316,negligible
italian,flake8,0,TRUE,0.1195,negligible
