language,metric,p.value,signif,d,magnitude
chinese,nloc,0.3919,FALSE,-0.0103,negligible
chinese,ccn,0.0898,FALSE,-0.013,negligible
chinese,Comment.Lines,0,TRUE,0.1651,small
chinese,Comment....,0,TRUE,0.1281,negligible
chinese,Cognitive.Complexity,0.0067,TRUE,-0.0153,negligible
chinese,Code.Smells,0.0558,FALSE,0.0257,negligible
chinese,Bugs,0.0786,FALSE,0.0043,negligible
chinese,Security.Hotspots,0.5709,FALSE,0.0013,negligible
chinese,pylint,0.0466,TRUE,-0.007,negligible
chinese,flake8,0,TRUE,0.1119,negligible
hindi,nloc,0,TRUE,-0.0346,negligible
hindi,ccn,0,TRUE,-0.061,negligible
hindi,Comment.Lines,0.1081,FALSE,0.0233,negligible
hindi,Comment....,0,TRUE,0.0296,negligible
hindi,Cognitive.Complexity,0,TRUE,-0.043,negligible
hindi,Code.Smells,0.0282,TRUE,0.0243,negligible
hindi,Bugs,0.7153,FALSE,4e-04,negligible
hindi,Security.Hotspots,0,TRUE,-0.0096,negligible
hindi,pylint,0,TRUE,0.0312,negligible
hindi,flake8,0,TRUE,0.3347,medium
spanish,nloc,0.3919,FALSE,-0.0029,negligible
spanish,ccn,0,TRUE,-0.0426,negligible
spanish,Comment.Lines,1e-04,TRUE,0.0081,negligible
spanish,Comment....,0.7048,FALSE,0.0047,negligible
spanish,Cognitive.Complexity,0,TRUE,-0.042,negligible
spanish,Code.Smells,0.108,FALSE,0.0121,negligible
spanish,Bugs,0.0362,TRUE,-0.0035,negligible
spanish,Security.Hotspots,7e-04,TRUE,-0.0014,negligible
spanish,pylint,0,TRUE,0.1343,negligible
spanish,flake8,0,TRUE,0.1569,small
italian,nloc,0.301,FALSE,-0.004,negligible
italian,ccn,1e-04,TRUE,-0.0206,negligible
italian,Comment.Lines,0,TRUE,-0.0361,negligible
italian,Comment....,0,TRUE,-0.0449,negligible
italian,Cognitive.Complexity,0.0014,TRUE,-0.0254,negligible
italian,Code.Smells,0.9139,FALSE,0.0085,negligible
italian,Bugs,0.1177,FALSE,0.0039,negligible
italian,Security.Hotspots,0.0011,TRUE,-0.0052,negligible
italian,pylint,0,TRUE,0.0913,negligible
italian,flake8,0,TRUE,0.1512,small
