id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"public class StringArrayTrimmer {
    /**
     * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
     * @param array l'array di Stringhe originale
     * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] trimmedArray = new String[array.length];
        
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                trimmedArray[i] = array[i].trim();
            } else {
                trimmedArray[i] = null;
            }
        }
        
        return trimmedArray;
    }
}",none,english,none,
6367670b1a6d9265ec017a00,"package org.apache.commons.lang3;

public class ArrayUtils {
    /**
     * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
     * @param array1 il primo array, può essere <code>null</code>
     * @param array2 il secondo array, può essere <code>null</code>
     * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        if (array1 == null && array2 == null) {
            return true;
        }
        if (array1 == null) {
            return array2.length == 0;
        }
        if (array2 == null) {
            return array1.length == 0;
        }
        return array1.length == array2.length;
    }
}",none,english,none,
636766a91a6d9265ec0175c2,"import java.util.Stack;

public class FrameStack {
    private Stack<Integer> outputStack;

    public FrameStack() {
        outputStack = new Stack<>();
    }

    /**
     * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
     * @return il tipo astratto che è stato estratto dallo stack del frame di output.
     */
    private int pop() {
        if (!outputStack.isEmpty()) {
            return outputStack.pop();
        } else {
            throw new IllegalStateException(""Stack is empty"");
        }
    }
}",none,english,english,
636767081a6d9265ec017989,"package org.apache.commons.lang3;

/**
 * Utility class for Boolean operations.
 */
public class BooleanUtils {

    /**
     * <p>Converte un array di oggetti Boolean in primitivi.</p>
     * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
     * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
     * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
     * @throws NullPointerException se il contenuto dell'array è <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        
        final boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i].booleanValue();
        }
        return result;
    }
}",none,english,none,
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

class Logger {
    private Map<String, Integer> messageTimestamps;
    
    public Logger() {
        messageTimestamps = new HashMap<>();
    }
    
    public boolean shouldPrintMessage(int timestamp, String message) {
        // Se il messaggio non è mai stato stampato prima o sono passati 10+ secondi
        // dall'ultima volta che è stato stampato, permettiamo la stampa
        if (!messageTimestamps.containsKey(message) || 
            timestamp - messageTimestamps.get(message) >= 10) {
            
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        return false;
    }
}",italian,english,none,
636766f81a6d9265ec01775c,"package org.apache.commons.lang3;

/**
 * Utility class for Object operations.
 */
public class ObjectUtils {

    /**
     * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p>
     * <pre>
     * ObjectUtils.toString(null)         = """"
     * ObjectUtils.toString("""")           = """"
     * ObjectUtils.toString(""bat"")        = ""bat""
     * ObjectUtils.toString(Boolean.TRUE) = ""true""
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj l'oggetto da <code>toString</code>, può essere null
     * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }
}",english,english,none,
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;

public class UTF8Decoder {

    /**
     * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri ad uno oggetto StringBuffer.
     * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        int b1 = bb.get(i) & 0xFF;
        
        // Single byte character (0-127)
        if ((b1 & 0x80) == 0) {
            sb.append((char)b1);
            return i + 1;
        }
        
        // 2 byte character (128-2047)
        if ((b1 & 0xE0) == 0xC0) {
            int b2 = bb.get(i + 1) & 0xFF;
            int cp = ((b1 & 0x1F) << 6) | (b2 & 0x3F);
            sb.append((char)cp);
            return i + 2;
        }
        
        // 3 byte character (2048-65535)
        if ((b1 & 0xF0) == 0xE0) {
            int b2 = bb.get(i + 1) & 0xFF;
            int b3 = bb.get(i + 2) & 0xFF;
            int cp = ((b1 & 0x0F) << 12) | ((b2 & 0x3F) << 6) | (b3 & 0x3F);
            sb.append((char)cp);
            return i + 3;
        }
        
        // 4 byte character (65536-1114111)
        if ((b1 & 0xF8) == 0xF0) {
            int b2 = bb.get(i + 1) & 0xFF;
            int b3 = bb.get(i + 2) & 0xFF;
            int b4 = bb.get(i + 3) & 0xFF;
            int cp = ((b1 & 0x07) << 18) | ((b2 & 0x3F) << 12) | ((b3 & 0x3F) << 6) | (b4 & 0x3F);
            
            // Convert to surrogate pair for characters above U+FFFF
            sb.append(Character.highSurrogate(cp));
            sb.append(Character.lowSurrogate(cp));
            return i + 4;
        }
        
        // Invalid UTF-8 byte
        sb.append('?');
        return i + 1;
    }
}",english,english,none,
636766aa1a6d9265ec0175ce,"import java.util.ArrayList;
import java.util.List;

public class StackMapFrameVisitor {
    private Frame currentFrame;
    private List<Frame> frames;
    
    public StackMapFrameVisitor() {
        frames = new ArrayList<>();
    }
    
    private static class Frame {
        int offset;
        int numLocal;
        int numStack;
        int nextIndex;
        
        Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal;
            this.numStack = numStack;
            this.nextIndex = 0;
        }
    }
    
    int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        currentFrame = new Frame(offset, numLocal, numStack);
        frames.add(currentFrame);
        return currentFrame.nextIndex;
    }
}",none,english,none,
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int capacity;
    private int size;
    
    /**
     * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
     * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
     */
    private void enlarge(final int size) {
        if (size <= 0) {
            return;
        }
        
        int newCapacity = this.capacity + size;
        byte[] newData = Arrays.copyOf(this.data, newCapacity);
        
        this.data = newData;
        this.capacity = newCapacity;
    }
}",none,english,none,
636767821a6d9265ec0183a0,"import java.io.File;

public class FileUtils {

    /**
     * Elimina il file specificato se esiste
     */
    protected static void deleteFile(String fileName) {
        if (fileName != null) {
            File file = new File(fileName);
            if (file.exists()) {
                file.delete();
            }
        }
    }
}",none,english,none,
636767691a6d9265ec0181aa,"import java.util.Arrays;

public class ArrayUtils {
    /**
     * Restituisce un codice hash basato sul contenuto dell'array specificato. Se <code>array</code> è <code>null</code>, questo metodo restituisce 0.
     * @param array l'array di long per ottenere un codice hash
     * @return il codice hash dell'array di long, che potrebbe essere 0 se l'array è null.
     */
    public static int nullSafeHashCode(long[] array) {
        if (array == null) {
            return 0;
        }
        return Arrays.hashCode(array);
    }
}",none,english,none,
636767441a6d9265ec017cc1,"import java.util.Objects;

public class BinarySearchTree<T extends Comparable<T>> {

    private class TreeNode<T> {
        T data;
        TreeNode<T> left;
        TreeNode<T> right;
        
        TreeNode(T data) {
            this.data = data;
            this.left = null;
            this.right = null;
        }
    }

    /**
     * Esegue una rotazione a destra del nodo.
     * @param node un nodo da ruotare
     * @return un nuovo genitore del {@code node}
     */
    private TreeNode<T> rotateRight(TreeNode<T> node) {
        if (node == null || node.left == null) {
            return node;
        }
        
        TreeNode<T> newParent = node.left;
        node.left = newParent.right;
        newParent.right = node;
        
        return newParent;
    }
}",none,english,none,
6367667f1a6d9265ec01745c,"import java.io.File;
import java.net.URL;
import java.util.Vector;

public class ClassPathUtils {

    /**
     * Aggiunge tutti i file jar in una directory al classpath, rappresentato come un Vector di URL.
     */
    @SuppressWarnings(""unchecked"")
    public static void addToClassPath(Vector<URL> cpV, String dir) {
        File directory = new File(dir);
        
        // Verifica che la directory esista ed è effettivamente una directory
        if (!directory.exists() || !directory.isDirectory()) {
            return;
        }

        // Ottiene la lista di tutti i file nella directory
        File[] files = directory.listFiles();
        if (files == null) {
            return;
        }

        // Itera su tutti i file
        for (File file : files) {
            // Controlla se il file è un file JAR
            if (file.isFile() && file.getName().toLowerCase().endsWith("".jar"")) {
                try {
                    // Converte il file in URL e lo aggiunge al vector
                    URL jarUrl = file.toURI().toURL();
                    if (!cpV.contains(jarUrl)) {
                        cpV.add(jarUrl);
                    }
                } catch (Exception e) {
                    // Ignora eventuali errori di conversione
                    e.printStackTrace();
                }
            }
        }
    }
}",italian,english,none,
6367677e1a6d9265ec01830f,"import org.apache.log4j.spi.LoggingEvent;
import java.text.SimpleDateFormat;
import java.util.Date;

public class CustomFormatter {
    
    /**
     * Produce una stringa formattata come specificato dal modello di conversione.
     */
    public String format(LoggingEvent event) {
        if (event == null) {
            return """";
        }

        StringBuilder formattedMessage = new StringBuilder();
        
        // Add timestamp
        SimpleDateFormat dateFormat = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss,SSS"");
        String timestamp = dateFormat.format(new Date(event.getTimeStamp()));
        formattedMessage.append(timestamp);
        formattedMessage.append("" "");
        
        // Add log level
        formattedMessage.append(""["");
        formattedMessage.append(event.getLevel().toString());
        formattedMessage.append(""] "");
        
        // Add logger name
        formattedMessage.append(event.getLoggerName());
        formattedMessage.append("" - "");
        
        // Add message
        formattedMessage.append(event.getRenderedMessage());
        
        // Add throwable info if exists
        String[] throwableInfo = event.getThrowableStrRep();
        if (throwableInfo != null) {
            formattedMessage.append(""\n"");
            for (String line : throwableInfo) {
                formattedMessage.append(line);
                formattedMessage.append(""\n"");
            }
        }
        
        return formattedMessage.toString();
    }
}",english,english,none,
636767031a6d9265ec0178dd,"import javax.servlet.http.HttpServletRequest;

public class RequestWrapper {
    private HttpServletRequest request;

    /**
     * Recupera la lunghezza del contenuto della richiesta.
     * @return La lunghezza del contenuto della richiesta.
     * @since 1.3
     */
    public long contentLength() {
        long length = request.getContentLengthLong();
        if (length < 0) {
            // If content length header not set, try to get actual content length
            try {
                length = request.getInputStream().available();
            } catch (Exception e) {
                length = -1L;
            }
        }
        return length;
    }
}",english,english,none,
636766f11a6d9265ec017658,"public class FilenameUtils {
    /**
     * Restituisce l'indice dell'ultimo carattere separatore di directory.
     * <p>
     * Questo metodo gestirà un file sia in formato Unix che Windows.
     * Viene restituita la posizione dell'ultimo slash o backslash.
     * <p>
     * L'output sarà lo stesso indipendentemente dalla macchina su cui il codice viene eseguito.
     *
     * @param filename il nome del file in cui trovare l'ultimo separatore di percorso, null restituisce -1
     * @return l'indice dell'ultimo carattere separatore, oppure -1 se non esiste tale carattere
     */
    public static int indexOfLastSeparator(String filename) {
        if (filename == null) {
            return -1;
        }
        
        int lastUnixPos = filename.lastIndexOf('/');
        int lastWindowsPos = filename.lastIndexOf('\\');
        
        return Math.max(lastUnixPos, lastWindowsPos);
    }
}",none,english,none,
636767121a6d9265ec017b0a,"import java.util.Objects;

public class HeaderParser {

    /**
     * Salta i byte fino alla fine della riga corrente.
     * @param headerPart Le intestazioni che vengono analizzate.
     * @param end Indice dell'ultimo byte che deve ancora essere elaborato.
     * @return Indice della sequenza \r\n, che indica la fine della riga.
     */
    private int parseEndOfLine(String headerPart, int end) {
        Objects.requireNonNull(headerPart);
        
        int index = end;
        while (index < headerPart.length()) {
            // Cerca la sequenza \r\n che indica fine riga
            if (index + 1 < headerPart.length() && 
                headerPart.charAt(index) == '\r' && 
                headerPart.charAt(index + 1) == '\n') {
                return index;
            }
            index++;
        }
        
        // Se non trova \r\n ritorna l'ultimo indice valido
        return headerPart.length() - 1;
    }
}",italian,english,none,
636766f61a6d9265ec017701,"package org.apache.commons.lang3;

public class StringUtils {
    /**
     * Trova l'ultimo indice all'interno di una Stringa, gestendo <code>null</code>.
     * Questo metodo utilizza {@link String#lastIndexOf(String)}.
     *
     * @param str la Stringa da controllare, può essere null
     * @param searchStr la Stringa da trovare, può essere null
     * @return l'ultimo indice di searchStr in str, -1 se non trovato o se str è null
     */
    public static int lastIndexOf(String str, String searchStr) {
        if (str == null || searchStr == null) {
            return -1;
        }
        return str.lastIndexOf(searchStr);
    }
}",none,english,none,
6367670b1a6d9265ec0179fe,"import java.io.IOException;
import java.io.OutputStream;

public class CustomOutputStream extends OutputStream {

    @Override
    public void write(byte b[]) throws IOException {
        if (b == null) {
            throw new NullPointerException();
        }
        
        for (int i = 0; i < b.length; i++) {
            write(b[i]);
        }
    }

    @Override
    public void write(int b) throws IOException {
        // Basic implementation required by OutputStream
        // Actual implementation would depend on specific output destination
    }
}",english,english,none,
636767df1a6d9265ec01873c,"import java.util.UUID;

public class EntityIdentifier {
    /**
     * @return l'id della riga
     */
    public String id(String entityId) {
        if (entityId == null || entityId.trim().isEmpty()) {
            return UUID.randomUUID().toString();
        }
        return entityId.trim();
    }
}",none,english,none,
636766f91a6d9265ec01777f,"package org.apache.commons.lang3;

public class BooleanUtils {
    /**
     * <p>Converte un Boolean in un boolean gestendo <code>null</code> restituendo <code>false</code>.</p>
     * 
     * <pre>
     * BooleanUtils.toBoolean(Boolean.TRUE)  = true
     * BooleanUtils.toBoolean(Boolean.FALSE) = false 
     * BooleanUtils.toBoolean(null)          = false
     * </pre>
     *
     * @param bool  il boolean da convertire
     * @return <code>true</code> o <code>false</code>, <code>null</code> restituisce <code>false</code>
     */
    public static boolean toBoolean(Boolean bool) {
        return bool != null && bool.booleanValue();
    }
}",none,english,none,
6367675f1a6d9265ec0180d3,"import org.jgrapht.Graph;
import org.jgrapht.GraphMapping;
import org.jgrapht.graph.AsGraphUnion;
import org.jgrapht.alg.isomorphism.IsomorphicGraphMapping;
import java.util.HashMap;
import java.util.Map;

public class GraphUtils {

    /**
     * Calcola un automorfismo identitario (cioè una mappatura di un grafo in cui ogni vertice si mappa su se stesso).
     * @param graph il grafo di input
     * @param <V> il tipo di vertice del grafo 
     * @param <E> il tipo di arco del grafo
     * @return una mappatura da grafo a grafo
     */
    public static <V,E> IsomorphicGraphMapping<V,E> identity(Graph<V,E> graph) {
        // Create identity mappings for vertices and edges
        Map<V,V> vertexCorrespondence = new HashMap<>();
        Map<E,E> edgeCorrespondence = new HashMap<>();
        
        // Map each vertex to itself
        for(V vertex : graph.vertexSet()) {
            vertexCorrespondence.put(vertex, vertex);
        }
        
        // Map each edge to itself 
        for(E edge : graph.edgeSet()) {
            edgeCorrespondence.put(edge, edge);
        }

        return new IsomorphicGraphMapping<>(
            graph, // Graph 1 is the input graph
            graph, // Graph 2 is the same graph
            vertexCorrespondence,
            edgeCorrespondence
        );
    }
}",english,english,none,
