id,generated_code,comments,identifiers,literals,docstring
6367676d1a6d9265ec018229,"public class StringArrayTrimmer {

    /**
     * Recorta los elementos del arreglo de Strings dado, llamando a <code>String.trim()</code> en cada uno de ellos.
     * @param array arreglo de Strings original
     * @return el arreglo resultante (del mismo tamaño) con elementos recortados
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                trimmedArray[i] = array[i].trim();
            } else {
                trimmedArray[i] = null;
            }
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] array = {""  hello "", ""  world  "", null, ""  java  ""};
        String[] trimmedArray = trimArrayElements(array);
        
        for (String str : trimmedArray) {
            System.out.println(str);
        }
    }
}",none,english,english,spanish
6367670b1a6d9265ec017a00,"public class ArrayUtils {

    /**
     * <p>Verifica si dos arreglos tienen la misma longitud, tratando los arreglos <code>null</code> como longitud <code>0</code>.</p>
     * @param array1 el primer arreglo, puede ser <code>null</code>
     * @param array2 el segundo arreglo, puede ser <code>null</code>
     * @return <code>true</code> si la longitud de los arreglos coincide, tratando <code>null</code> como un arreglo vacío
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        byte[] array1 = {1, 2, 3};
        byte[] array2 = {4, 5, 6};
        byte[] array3 = null;
        byte[] array4 = {7, 8};

        System.out.println(isSameLength(array1, array2)); // true
        System.out.println(isSameLength(array1, array3)); // false
        System.out.println(isSameLength(array3, array4)); // false
    }
}",english,english,none,spanish
636766a91a6d9265ec0175c2,"import java.util.Stack;

public class FrameStack {
    private Stack<Integer> stack;

    public FrameStack() {
        stack = new Stack<>();
    }

    /**
     * Extrae un tipo abstracto de la pila de marcos de salida y devuelve su valor.
     * @return el tipo abstracto que ha sido extraído de la pila de marcos de salida.
     */
    private int pop() {
        if (stack.isEmpty()) {
            throw new IllegalStateException(""La pila de marcos de salida está vacía."");
        }
        return stack.pop();
    }

    // Método adicional para agregar elementos a la pila (solo para propósitos de prueba)
    public void push(int value) {
        stack.push(value);
    }
}",spanish,english,none,spanish
636767081a6d9265ec017989,"import java.util.Objects;

public class BooleanArrayConverter {

    /**
     * <p>Convierte un array de objetos Boolean a primitivos.</p> 
     * <p>Este método devuelve <code>null</code> para un array de entrada <code>null</code>.</p>
     * @param array  un array de <code>Boolean</code>, puede ser <code>null</code>
     * @return un array de <code>boolean</code>, <code>null</code> si el array de entrada es nulo
     * @throws NullPointerException si el contenido del array es <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        
        boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = Objects.requireNonNull(array[i], ""Array element cannot be null"");
        }
        return result;
    }

    public static void main(String[] args) {
        // Ejemplo de uso
        Boolean[] booleanArray = {true, false, true};
        boolean[] primitiveArray = toPrimitive(booleanArray);
        
        for (boolean b : primitiveArray) {
            System.out.println(b);
        }
    }
}",spanish,english,english,spanish
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

public class MessageLogger {
    private Map<String, Integer> messageTimestamps;

    public MessageLogger() {
        messageTimestamps = new HashMap<>();
    }

    /**
     * Devuelve ""true"" si el mensaje debe imprimirse en la tiempo dada, de lo contrario devuelve falso.
     * Si este método devuelve falso, el mensaje no se imprimirá. El tiempo está en segundos.
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (messageTimestamps.containsKey(message)) {
            int lastTimestamp = messageTimestamps.get(message);
            if (timestamp - lastTimestamp >= 10) {
                messageTimestamps.put(message, timestamp);
                return true;
            } else {
                return false;
            }
        } else {
            messageTimestamps.put(message, timestamp);
            return true;
        }
    }
}",none,english,none,spanish
636766f81a6d9265ec01775c,"public class ObjectUtils {

    /**
     * <p>Obtiene el <code>toString</code> de un <code>Object</code> devolviendo una cadena vacía ("""") si el argumento es <code>null</code>.</p> 
     * <pre> 
     * ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  el objeto a procesar mediante <code>toString</code>, puede ser null
     * @return el resultado de aplicar la función ""toString"" al objeto pasado, o una cadena vacía si el argumento es <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }

    public static void main(String[] args) {
        // Ejemplos de uso
        System.out.println(ObjectUtils.toString(null));         // """"
        System.out.println(ObjectUtils.toString(""""));           // """"
        System.out.println(ObjectUtils.toString(""bat""));        // ""bat""
        System.out.println(ObjectUtils.toString(Boolean.TRUE)); // ""true""
    }
}",spanish,english,none,spanish
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;
import java.nio.charset.StandardCharsets;

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
    // Obtener el primer byte
    byte b1 = bb.get(i);
    
    // Determinar el número de bytes en el carácter UTF-8
    int numBytes;
    if ((b1 & 0x80) == 0) {
        // 1 byte
        numBytes = 1;
    } else if ((b1 & 0xE0) == 0xC0) {
        // 2 bytes
        numBytes = 2;
    } else if ((b1 & 0xF0) == 0xE0) {
        // 3 bytes
        numBytes = 3;
    } else if ((b1 & 0xF8) == 0xF0) {
        // 4 bytes
        numBytes = 4;
    } else {
        // Carácter no válido
        throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
    }
    
    // Verificar si hay suficientes bytes en el buffer
    if (i + numBytes > bb.limit()) {
        throw new IllegalArgumentException(""Incomplete UTF-8 sequence"");
    }
    
    // Crear un array para almacenar los bytes del carácter
    byte[] bytes = new byte[numBytes];
    for (int j = 0; j < numBytes; j++) {
        bytes[j] = bb.get(i + j);
    }
    
    // Decodificar los bytes a un String
    String str = new String(bytes, StandardCharsets.UTF_8);
    
    // Agregar el carácter al StringBuilder
    sb.append(str);
    
    // Retornar el índice del siguiente carácter no verificado
    return i + numBytes;
}",spanish,english,english,none
636766aa1a6d9265ec0175ce,"import java.util.HashMap;
import java.util.Map;

public class FrameVisitor {
    private Map<Integer, Frame> frames = new HashMap<>();
    private Frame currentFrame;

    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Crear un nuevo frame y establecerlo como el frame actual
        currentFrame = new Frame(offset, numLocal, numStack);
        frames.put(offset, currentFrame);

        // El índice del siguiente elemento que se escribirá en este frame es 0
        return 0;
    }

    private static class Frame {
        private int offset;
        private int numLocal;
        private int numStack;
        private int nextIndex;

        public Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal;
            this.numStack = numStack;
            this.nextIndex = 0;
        }

        public int getNextIndex() {
            return nextIndex;
        }

        public void incrementNextIndex() {
            nextIndex++;
        }
    }
}",spanish,english,none,none
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int capacity;

    public ByteVector(int initialCapacity) {
        this.data = new byte[initialCapacity];
        this.capacity = initialCapacity;
    }

    private void enlarge(final int size) {
        if (size <= 0) {
            throw new IllegalArgumentException(""Size must be greater than 0"");
        }
        int newCapacity = capacity + size;
        data = Arrays.copyOf(data, newCapacity);
        capacity = newCapacity;
    }

    // Example usage
    public static void main(String[] args) {
        ByteVector vector = new ByteVector(10);
        vector.enlarge(5);
        System.out.println(""New capacity: "" + vector.capacity);
    }
}",english,english,english,none
636767821a6d9265ec0183a0,"import java.io.File;

public class FileDeleter {

    /**
     * Elimina el archivo especificado si existe
     * 
     * @param fileName El nombre del archivo a eliminar
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""Archivo eliminado: "" + fileName);
            } else {
                System.out.println(""No se pudo eliminar el archivo: "" + fileName);
            }
        } else {
            System.out.println(""El archivo no existe: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Ejemplo de uso
        deleteFile(""test.txt"");
    }
}",spanish,english,spanish,spanish
