ID,prompt,generated_code,comments,identifiers,literals
62e60ecfd76274f8a4026d6a,"def gestori_protocollo(cls, versione_protocollo=None):
""""""

Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

:param versione_protocoll: tupla che identifica una specifica versione del protocollo
    (ad esempio, (3, 5)) oppure None
:return: dizionario che associa tuple di versione alla classe del gestore per tutte
    le versioni del protocollo rilevanti e supportate
:raise TypeError: se la versione del protocollo non è passata come una tupla
""""""","def gestori_protocollo(cls, versione_protocollo=None):
    """"""
    Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

    :param versione_protocoll: tupla che identifica una specifica versione del protocollo
        (ad esempio, (3, 5)) oppure None
    :return: dizionario che associa tuple di versione alla classe del gestore per tutte
        le versioni del protocollo rilevanti e supportate
    :raise TypeError: se la versione del protocollo non è passata come una tupla
    """"""
    # Dizionario che mappa le versioni del protocollo ai relativi gestori
    gestori = {
        (3, 0): BoltProtocolV3Handler,
        (4, 0): BoltProtocolV4Handler,
        (4, 1): BoltProtocolV41Handler,
        (4, 2): BoltProtocolV42Handler,
        (4, 3): BoltProtocolV43Handler,
        (4, 4): BoltProtocolV44Handler,
        (5, 0): BoltProtocolV5Handler
    }

    # Se non viene specificata una versione, restituisce tutti i gestori
    if versione_protocollo is None:
        return gestori

    # Verifica che la versione sia passata come tupla
    if not isinstance(versione_protocollo, tuple):
        raise TypeError(""La versione del protocollo deve essere una tupla"")

    # Restituisce un dizionario con solo il gestore della versione richiesta, se supportata
    return {versione_protocollo: gestori[versione_protocollo]} if versione_protocollo in gestori else {}",i,i,i
62e60e49d76274f8a4026d25,"def unita_di_lavoro(metadato=None, tempo_limite=None):
""""""

Questa funzione è un decorator per funzioni di transazione che consente un controllo aggiuntivo su come viene eseguita la transazione.

Ad esempio, è possibile applicare un tempo_limite::

    from neo4j import unita_di_lavoro

    @ unita_di_lavoro(tempo_limite=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadato:  
    un dizionario con metadati.  
    I metadati specificati saranno associati alla transazione in esecuzione e visibili nell'output delle procedure ``dbms.listQueries`` e ``dbms.listTransactions``.  
    Saranno inoltre registrati nel file ``query.log``.  
    Questa funzionalità semplifica l'etichettatura delle transazioni ed è equivalente alla procedura ``dbms.setTXMetaData``. Per riferimento alla procedura, consultare https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
:type metadata: dict  

:param timeout:  
    il timeout della transazione in secondi.  
    Le transazioni che vengono eseguite per un tempo superiore al tempo_limite configurato saranno terminate dal database.  
    Questa funzionalità consente di limitare il tempo di esecuzione delle query/transazioni.  
    Il tempo_limite specificato sovrascrive il tempo_limite predefinito configurato nel database utilizzando l'impostazione ``dbms.transaction.timeout``.  
    Il valore non deve rappresentare una durata negativa.  
    Una durata pari a zero consentirà alla transazione di essere eseguita indefinitamente.  
    Un valore ``None`` utilizzerà il timeout predefinito configurato nel database.  
:type timeout: float o :const:`None`  
""""""","def unita_di_lavoro(metadato=None, tempo_limite=None):
    def decorator(f):
        def wrapper(*args, **kwargs):
            # Validate timeout
            if tempo_limite is not None:
                if not isinstance(tempo_limite, (int, float)):
                    raise TypeError(""tempo_limite deve essere un numero"")
                if tempo_limite < 0:
                    raise ValueError(""tempo_limite non può essere negativo"")
                
            # Validate metadata
            if metadato is not None:
                if not isinstance(metadato, dict):
                    raise TypeError(""metadato deve essere un dizionario"")
                
            # Store original function attributes
            wrapper.__name__ = f.__name__
            wrapper.__doc__ = f.__doc__
            
            def transaction_function(tx, *args, **kwargs):
                # Set transaction metadata if provided
                if metadato:
                    tx.run(""CALL dbms.setTXMetaData($metadata)"", 
                          parameters={""metadata"": metadato})
                
                # Set transaction timeout if provided
                if tempo_limite is not None:
                    tx.run(""CALL dbms.setTransactionTimeout($timeout)"", 
                          parameters={""timeout"": int(tempo_limite * 1000)})  # Convert to milliseconds
                    
                # Execute original function
                return f(tx, *args, **kwargs)
            
            return transaction_function(*args, **kwargs)
        
        return wrapper
    return decorator",i,b,i
62e60707d76274f8a4026b69,"
def tipo_di_punto(nome, campi, srid_map):
""""""

Crea dinamicamente una sottoclasse di Point.
""""""","def tipo_di_punto(nome, campi, srid_map):
    """"""
    Crea dinamicamente una sottoclasse di Point.
    """"""
    from django.contrib.gis.db import models
    from django.contrib.gis.geos import Point
    
    # Create class attributes dictionary
    attrs = {
        '__module__': __name__,
        'objects': models.GeoManager()
    }
    
    # Add fields from campi parameter
    for campo, tipo in campi.items():
        attrs[campo] = tipo
        
    # Add geometry field
    attrs['geom'] = models.PointField(srid=srid_map)
    
    # Create new class dynamically
    new_class = type(nome, (Point,), attrs)
    
    return new_class",e,b,n
62e5dc9ed76274f8a4026b5b,"def deprecato(messaggio):
""""""

Decorator per deprecare funzioni e metodi.

Esempio di utilizzo:

```python
@deprecato(“'foo' è stato deprecato a favore di 'bar'"")
def foo(x):
    pass
""""""","def deprecato(messaggio):
    def decorator(func):
        def wrapper(*args, **kwargs):
            import warnings
            warnings.warn(
                f""{func.__name__}: {messaggio}"",
                category=DeprecationWarning,
                stacklevel=2
            )
            return func(*args, **kwargs)
        return wrapper
    return decorator",n,b,n
62e4fbda85ea986430890403,"
def _mischia(seq: Sequenza[str]) -> list[str]:

""""""Mescolamento deterministico""""""","def _mischia(seq: Sequenza[str]) -> list[str]:
    """"""Mescolamento deterministico""""""
    result = []
    length = len(seq)
    
    # Split sequence into two halves
    mid = length // 2
    first_half = seq[:mid]
    second_half = seq[mid:]
    
    # Interleave elements from both halves
    for i in range(max(len(first_half), len(second_half))):
        if i < len(first_half):
            result.append(first_half[i])
        if i < len(second_half):
            result.append(second_half[i])
            
    return result",e,e,n
62b8bbbfe0d34b282c181210,"def aggiungi_testo_al_file(nome_file, buffer_testo, codifica, sovrascrivi=False):
""""""

Scrive nel file specificato il buffer di testo fornito.  
Crea il file se necessario.  
:param nome_file: Nome del file.  
:type nome_file: str  
:param buffer_testo: Buffer di testo da scrivere.  
:type buffer_testo: str  
:param codifica: La codifica da utilizzare.  
:type codifica: str  
:param sovrascrivi: Se impostato a True, il file viene sovrascritto.  
:type sovrascrivi: bool  
:return: Il numero di byte scritti o un valore inferiore a 0 in caso di errore.  
:rtype int  
""""""","def aggiungi_testo_al_file(nome_file, buffer_testo, codifica, sovrascrivi=False):
    """"""
    Scrive nel file specificato il buffer di testo fornito.  
    Crea il file se necessario.  
    :param nome_file: Nome del file.  
    :type nome_file: str  
    :param buffer_testo: Buffer di testo da scrivere.  
    :type buffer_testo: str  
    :param codifica: La codifica da utilizzare.  
    :type codifica: str  
    :param sovrascrivi: Se impostato a True, il file viene sovrascritto.  
    :type sovrascrivi: bool  
    :return: Il numero di byte scritti o un valore inferiore a 0 in caso di errore.  
    :rtype int  
    """"""
    try:
        # Determina la modalità di apertura del file
        mode = 'w' if sovrascrivi else 'a'
        
        # Apre il file nella modalità specificata con la codifica richiesta
        with open(nome_file, mode, encoding=codifica) as file:
            # Scrive il buffer nel file
            bytes_written = file.write(buffer_testo)
            return bytes_written
            
    except IOError:
        # Errore di I/O durante la scrittura
        return -1
    except UnicodeEncodeError:
        # Errore di codifica
        return -2
    except Exception:
        # Altri errori
        return -3",i,b,n
62b8bbbce0d34b282c18120d,"
def se_file_esiste(nome_file):
""""""
Controlla se il nome del file esiste.
:param nome_file: Nome del file.
:type nome_file: str
:return: Restituisce True (esiste), False (non esiste o nome del file non valido).
:rtype: bool
""""""","def se_file_esiste(nome_file):
    """"""
    Controlla se il nome del file esiste.
    :param nome_file: Nome del file.
    :type nome_file: str 
    :return: Restituisce True (esiste), False (non esiste o nome del file non valido).
    :rtype: bool
    """"""
    import os
    
    try:
        return os.path.exists(nome_file)
    except:
        return False",n,i,n
62b8b58deb7e40a82d2d1269,"
def direttamenteFornitoDa(oggetto):  # pylint:disable=redefined-builtin
    """"""Restituisce le interfacce direttamente fornite dall'oggetto dato.

    Il valore restituito è un `~zope.interface.interfaces.IDeclaration`.
    """"""
    fornisce = getattr(oggetto, ""__provides__"", None)
    if (
            fornisce is None  # nessuna specifica
            # Potremmo aver ottenuto la specifica ""implements"", come
            # ottimizzazione. In tal caso, è come avere una sola base, che
            # escludiamo per evitare dichiarazioni fornite dalla classe:
""""""","def direttamenteFornitoDa(oggetto):  # pylint:disable=redefined-builtin
    """"""Restituisce le interfacce direttamente fornite dall'oggetto dato.

    Il valore restituito è un `~zope.interface.interfaces.IDeclaration`.
    """"""
    fornisce = getattr(oggetto, ""__provides__"", None)
    if (fornisce is None or
        not getattr(fornisce, ""_delegated"", False)):
        # Se non ci sono specifiche o non sono delegate, restituisci un IDeclaration vuoto
        from zope.interface.declarations import Provides
        return Provides(type(oggetto))
        
    # Altrimenti restituisci le interfacce fornite direttamente
    return fornisce",i,i,e
62b8b4b9eb7e40a82d2d1134,"
def nomi_e_descrizioni(self, tutti=False): # pylint:disable=redefined-builtin
    """"""Restituisce i nomi e le descrizioni degli attributi definiti dall'interfaccia.""""""
    if not all:


","def nomi_e_descrizioni(self, tutti=False): # pylint:disable=redefined-builtin
    """"""Restituisce i nomi e le descrizioni degli attributi definiti dall'interfaccia.""""""
    if not tutti:
        return [(nome, desc) for nome, desc in self.attributi.items() if desc.get('obbligatorio', False)]
    else:
        return list(self.attributi.items())",n,i,n
62b8b3d6eb7e40a82d2d111c,"def _normalizza_argomenti(sequenza, output=None):
    """"""
    Normalizza gli argomenti della dichiarazione

    Gli argomenti di normalizzazione possono contenere Dichiarazioni, tuple o singole
    interfacce.

    Qualsiasi cosa diversa da interfacce individuali o specifiche di implementazione verrà espansa.
    """"""
","def _normalizza_argomenti(sequenza, output=None):
    """"""
    Normalizza gli argomenti della dichiarazione

    Gli argomenti di normalizzazione possono contenere Dichiarazioni, tuple o singole
    interfacce.

    Qualsiasi cosa diversa da interfacce individuali o specifiche di implementazione verrà espansa.
    """"""
    if output is None:
        output = []
        
    for item in sequenza:
        if isinstance(item, (list, tuple)):
            _normalizza_argomenti(item, output)
        elif hasattr(item, 'interfacce'):
            _normalizza_argomenti(item.interfacce, output)
        else:
            output.append(item)
            
    return output",n,b,i
62b87b839a0c4fa8b80b35cb,"
def _ottieni_indici_errore(self, nome_coordinata):
    """"""
    Ottieni gli indici di errore corrispondenti a una coordinata.
    """"""
","def _ottieni_indici_errore(self, nome_coordinata):
    """"""
    Ottieni gli indici di errore corrispondenti a una coordinata.
    """"""
    indici_errore = []
    
    # Itera attraverso tutti gli indici delle coordinate
    for i in range(len(self.coordinate)):
        # Se il nome della coordinata corrisponde, aggiungi l'indice
        if self.coordinate[i].nome == nome_coordinata:
            indici_errore.append(i)
            
    return indici_errore",i,i,n
62b87b7e9a0c4fa8b80b35bc,"def _aggiorna_contesto(self, contesto):
""""""

Aggiorna il *contesto* con le proprietà di questo grafo.

*context.error* viene aggiornato aggiungendo gli indici degli errori.
Esempio di subcontext per un grafo con i campi ""E,t,error_E_low"":
`{""error"": {""x_low"": {""index"": 2}}}`.
Nota che i nomi degli errori sono chiamati ""x"", ""y"" e ""z""
(questo corrisponde alle prime tre coordinate, se presenti),
il che consente di semplificare la rappresentazione grafica.
I valori esistenti non vengono rimossi
da *context.value* e dai suoi subcontesti.

Viene chiamato durante la ""distruzione"" del grafo (ad esempio,
nella classe :class:`.ToCSV`). Per ""distruzione"" si intende la conversione
in un'altra struttura (come il testo) nel flusso di lavoro.
L'oggetto grafo non viene realmente distrutto in questo processo.""""""","def _aggiorna_contesto(self, contesto):
    # Dictionary mapping coordinate names to x,y,z labels
    coord_map = {0: 'x', 1: 'y', 2: 'z'}
    
    # Initialize error subcontext if it doesn't exist
    if 'error' not in contesto:
        contesto['error'] = {}
        
    # Iterate through fields looking for error fields
    for i, field in enumerate(self.fields):
        # Check for error fields (containing 'error' in name)
        if 'error' in field.lower():
            # Extract coordinate index from field name
            for coord_idx, coord_name in coord_map.items():
                if f'error_{coord_name}' in field.lower():
                    # Add low/high error indices
                    if '_low' in field.lower():
                        contesto['error'][f'{coord_name}_low'] = {'index': i}
                    elif '_high' in field.lower():
                        contesto['error'][f'{coord_name}_high'] = {'index': i}
                    break
                    
    return contesto",e,b,e
62b87b4f9a0c4fa8b80b3580,"def integrale(gruppi, limiti):
""""""

Calcola l'integrale (scala per un istogramma).

*i gruppi* contengono i valori, mentre *i limiti* formano la griglia  
per l'integrazione.  
Il loro formato è definito nella descrizione della classe :class:`.histogram`.
""""""","def integrale(gruppi, limiti):
    """"""
    Calcola l'integrale (scala per un istogramma).
    
    *i gruppi* contengono i valori, mentre *i limiti* formano la griglia  
    per l'integrazione.  
    Il loro formato è definito nella descrizione della classe :class:`.histogram`.
    """"""
    # Verifica che i gruppi e i limiti abbiano dimensioni compatibili
    if len(gruppi) != len(limiti) - 1:
        raise ValueError(""Il numero di gruppi deve essere uguale al numero di limiti - 1"")
        
    integrale = 0.0
    
    # Calcola l'integrale come somma delle aree dei rettangoli
    for i in range(len(gruppi)):
        # Area = altezza (valore del gruppo) * base (larghezza dell'intervallo)
        larghezza = limiti[i+1] - limiti[i]
        area = gruppi[i] * larghezza
        integrale += area
        
    return integrale",i,i,i
62b87af19a0c4fa8b80b34f7,"def differenza(d1, d2, livello=-1):
""""""

Restituisce un dizionario con gli elementi di *d1* che non sono contenuti in *d2*.

Il parametro *livello* definisce la profondità massima della ricorsione. Per una ricorsione infinita, impostare *livello* a -1. Per livello 1, se una chiave è presente sia in *d1* che in *d2* ma ha valori diversi, viene inclusa nella differenza. Consulta la funzione :func:`intersection` per ulteriori dettagli.

*d1* e *d2* rimangono invariati. Tuttavia, *d1* o alcuni dei suoi sottodizionari potrebbero essere restituiti direttamente. Effettua una copia profonda (deep copy) del risultato quando appropriato.

.. versione aggiunta:: 0.5
   Aggiunto il parametro *livello*.
""""""","def differenza(d1, d2, livello=-1):
    """"""
    Restituisce un dizionario con gli elementi di *d1* che non sono contenuti in *d2*.
    
    Il parametro *livello* definisce la profondità massima della ricorsione. Per una ricorsione infinita, 
    impostare *livello* a -1. Per livello 1, se una chiave è presente sia in *d1* che in *d2* ma ha valori diversi,
    viene inclusa nella differenza.
    
    Args:
        d1: Primo dizionario
        d2: Secondo dizionario
        livello: Profondità massima della ricorsione (-1 per ricorsione infinita)
        
    Returns:
        Dizionario contenente gli elementi di d1 non presenti in d2
    """"""
    result = {}
    
    # Se livello è 0, non fare ulteriori ricorsioni
    if livello == 0:
        return {}
        
    # Decrementa livello se non è -1 (ricorsione infinita)
    next_level = livello - 1 if livello > 0 else -1
    
    for key in d1:
        # Se la chiave non è in d2, aggiungi l'intero valore
        if key not in d2:
            result[key] = d1[key]
        # Se entrambi i valori sono dizionari e il livello lo permette, ricorri
        elif isinstance(d1[key], dict) and isinstance(d2[key], dict) and livello != 1:
            diff = differenza(d1[key], d2[key], next_level)
            if diff:
                result[key] = diff
        # Se i valori sono diversi e siamo al livello 1 o superiore
        elif d1[key] != d2[key] and livello >= 1:
            result[key] = d1[key]
            
    return result",i,b,n
62b86aa3b4d922cb0e688d36,"def _valida_etichette(etichette):
""""""

Verifica che le chiavi e i valori nelle etichette fornite corrispondano alle rispettive espressioni regolari.

### Argomenti:
- **etichette (dict)**: il dizionario contenente le diverse etichette da validare.

### Eccezioni:
- **ValidationError**: viene sollevata se una qualsiasi delle chiavi o dei valori delle etichette non corrisponde alla rispettiva espressione regolare. L'errore contiene come messaggio la lista di tutti gli errori che si sono verificati nelle etichette. Ogni elemento della lista è un dizionario con una coppia chiave-valore:
  - **key**: la chiave dell'etichetta o il valore dell'etichetta per cui si è verificato un errore, come stringa.
  - **value**: il messaggio di errore.

#### Esempio di codice:
```python
# Esempio:
labels = {
    ""key1"": ""valid"",
    ""key2"": [""invalid""],
    ""$$"": ""invalid"",
    True: True,
}
try:
    _validate_labels(etichette)
except ValidationError as err:
    assert err.messages == [
        {""['invalid']"": 'expected string or bytes-like object'},
        {'$$': ""Label key '$$' does not match the regex [...]""},
        {'True': 'expected string or bytes-like object'},
        {'True': 'expected string or bytes-like object'},
    ]
""""""","def _valida_etichette(etichette):
    import re
    
    # Regex patterns for validation
    key_pattern = r'^[a-zA-Z][a-zA-Z0-9_-]*$'
    value_pattern = r'^[a-zA-Z0-9_-]+$'
    
    errors = []
    
    # Validate each key-value pair
    for key, value in etichette.items():
        
        # Validate key type
        if not isinstance(key, str):
            errors.append({
                str(key): 'expected string or bytes-like object'
            })
            continue
            
        # Validate key format
        if not re.match(key_pattern, key):
            errors.append({
                key: f""Label key '{key}' does not match the regex {key_pattern}""
            })
            
        # Validate value type
        if not isinstance(value, str):
            errors.append({
                str(value): 'expected string or bytes-like object'
            })
            continue
            
        # Validate value format
        if not re.match(value_pattern, value):
            errors.append({
                value: f""Label value '{value}' does not match the regex {value_pattern}""
            })
    
    # If any errors occurred, raise ValidationError
    if errors:
        raise ValidationError(errors)",e,b,e
62b86a4fb4d922cb0e688cf7,"
def valida_chiave(chiave):
    """"""
    Valida la chiave fornita rispetto alla corrispondente espressione regolare.

    Argomenti:
        chiave: la stringa da validare

    Eccezioni:
        ValidationError: se la chiave fornita non è conforme all'espressione regolare.
    """"""
","def valida_chiave(chiave):
    """"""
    Valida la chiave fornita rispetto alla corrispondente espressione regolare.

    Argomenti:
        chiave: la stringa da validare

    Eccezioni:
        ValidationError: se la chiave fornita non è conforme all'espressione regolare.
    """"""
    import re

    class ValidationError(Exception):
        pass

    # Pattern regex per validare la chiave
    pattern = r'^[A-Z]{6}\d{2}[A-Z]\d{2}[A-Z]\d{3}[A-Z]$'

    # Verifica se la chiave corrisponde al pattern
    if not re.match(pattern, chiave):
        raise ValidationError(""La chiave fornita non è valida"")

    return True",i,b,i
62b43427903eeb48555d3ea5,"def formatta(
                self,
                sql: AnyStr,
                parametri: Union[Dict[Union[str, int], Any], Sequence[Any]],
        ) -> Tuple[AnyStr, Union[Dict[Union[str, int], Any], Sequence[Any]]]:
""""""

Converte la query SQL per utilizzare i parametri in stile ""out"" invece dei parametri in stile ""in"".

**sql** (:class:`str` o :class:`bytes`) è la query SQL.

dddd
Restituisce una :class:`tuple` contenente:

- La query SQL formattata (:class:`str` o :class:`bytes`).

- L'insieme dei parametri convertiti in stile ""out"" (:class:`dict` o :class:`list`).
""""""","def formatta(
    self,
    sql: AnyStr,
    parametri: Union[Dict[Union[str, int], Any], Sequence[Any]],
) -> Tuple[AnyStr, Union[Dict[Union[str, int], Any], Sequence[Any]]]:
    """"""
    Converte la query SQL per utilizzare i parametri in stile ""out"" invece dei parametri in stile ""in"".

    Args:
        sql (AnyStr): La query SQL.
        parametri (Union[Dict[Union[str, int], Any], Sequence[Any]]): I parametri da convertire.

    Returns:
        Tuple[AnyStr, Union[Dict[Union[str, int], Any], Sequence[Any]]]: Tupla contenente la query SQL formattata
        e l'insieme dei parametri convertiti.
    """"""
    # Se i parametri sono una sequenza
    if isinstance(parametri, (list, tuple)):
        # Converte ogni ? in %s
        sql = sql.replace('?', '%s')
        return sql, parametri
        
    # Se i parametri sono un dizionario
    elif isinstance(parametri, dict):
        # Converte ogni :nome in %(nome)s
        for key in parametri:
            if isinstance(sql, str):
                sql = sql.replace(f':{key}', f'%({key})s')
            else:
                sql = sql.replace(f':{key}'.encode(), f'%({key})s'.encode())
        return sql, parametri
        
    else:
        raise TypeError(""I parametri devono essere una sequenza o un dizionario"")",i,b,i
62b45e165108cfac7f210a16,"def valida_come_versione_precedente_version(self, precedente):
    """"""
    Verifica che ""precedente"" sia una versione precedente valida dell'oggetto inventario corrente.

    La variabile di input ""precedente"" deve essere un oggetto di tipo InventoryValidator
    e si presume che sia l'inventario corrente (self) sia l'inventario ""prior"" siano stati
    verificati per coerenza interna.
    """"""
","def valida_come_versione_precedente_version(self, precedente):
    """"""
    Verifica che ""precedente"" sia una versione precedente valida dell'oggetto inventario corrente.

    La variabile di input ""precedente"" deve essere un oggetto di tipo InventoryValidator
    e si presume che sia l'inventario corrente (self) sia l'inventario ""prior"" siano stati
    verificati per coerenza interna.
    """"""
    # Verifica che precedente sia un oggetto InventoryValidator
    if not isinstance(precedente, type(self)):
        raise TypeError(""L'oggetto precedente deve essere dello stesso tipo dell'inventario corrente"")

    # Verifica che la versione precedente sia effettivamente precedente
    if precedente.version >= self.version:
        raise ValueError(""La versione precedente deve avere un numero di versione minore"")

    # Verifica che tutti gli elementi presenti nella versione precedente 
    # siano ancora presenti nella versione corrente (a meno di eliminazioni)
    for item_id in precedente.items:
        if item_id in self.items:
            # Se l'item esiste in entrambe le versioni, verifica che la quantità non sia diminuita
            # a meno che non sia stato registrato un consumo
            if (self.items[item_id].quantity < precedente.items[item_id].quantity and
                not self.items[item_id].consumed):
                raise ValueError(f""Quantità diminuita per item {item_id} senza registrazione di consumo"")
            
            # Verifica che le proprietà immutabili non siano cambiate
            if self.items[item_id].item_type != precedente.items[item_id].item_type:
                raise ValueError(f""Tipo dell'item {item_id} modificato tra le versioni"")

    # Se tutte le verifiche sono passate, la versione precedente è valida
    return True",i,b,i
62b45e165108cfac7f210a17,"def ottieni_mappa_percorsi_logici(inventario, versione):`
""""""
Ottiene una mappa dei percorsi logici nello stato verso i file su disco per una determinata versione nell'inventario.

Restituisce un dizionario: `logical_path_in_state -> set(content_files)`

Il set di `content_files` può includere riferimenti a file duplicati presenti in versioni successive rispetto alla versione descritta.
""""""","def ottieni_mappa_percorsi_logici(inventario, versione):
    mappa_percorsi = {}
    
    # Itera su tutte le versioni fino a quella specificata
    for v in range(versione + 1):
        if v in inventario:
            # Per ogni file nella versione
            for file_info in inventario[v]:
                percorso_logico = file_info['percorso_logico']
                file_contenuto = file_info['file_contenuto']
                
                # Aggiungi o aggiorna il set di file per questo percorso logico
                if percorso_logico not in mappa_percorsi:
                    mappa_percorsi[percorso_logico] = set()
                mappa_percorsi[percorso_logico].add(file_contenuto)
                
    return mappa_percorsi",i,i,n
62b463153879012d1948149a,"
def _raggruppa_file_per_nome_file_xml(sorgente, nome_xml, lista_file):
""""""
Raggruppa i file per il nome base degli XML

Raggruppa i file in base al nome base degli XML e restituisce i dati in formato dizionario.

 Parametri
----------
    nome_xml : str  
    Nomi dei file XML.  

lista_file: list  
    Lista dei file presenti nella cartella o nell'archivio zip.  
Ritorna
-------
dict  
    - chiave: nome dei file XML.  
    - valore: Package.  
""""""","def _raggruppa_file_per_nome_file_xml(sorgente, nome_xml, lista_file):
    """"""
    Raggruppa i file per il nome base degli XML

    Raggruppa i file in base al nome base degli XML e restituisce i dati in formato dizionario.

    Parametri
    ----------
        nome_xml : str  
        Nomi dei file XML.  

    lista_file: list  
        Lista dei file presenti nella cartella o nell'archivio zip.  
    Ritorna
    -------
    dict  
        - chiave: nome dei file XML.  
        - valore: Package.  
    """"""
    risultato = {}
    
    # Itera sui nomi XML
    for xml in nome_xml:
        file_correlati = []
        
        # Cerca i file correlati nella lista dei file
        for file in lista_file:
            if xml in file:
                file_correlati.append(file)
                
        # Se ci sono file correlati, crea un package
        if file_correlati:
            package = {
                'xml': xml,
                'files': file_correlati,
                'source': sorgente
            }
            risultato[xml] = package
            
    return risultato",i,b,e
