filename,nloc,ccn,token_count,param_count,length,top_nesting_level
ClassEval_67__add_dish.py,21,7,121,2,43,1
ClassEval_72__findall.py,2,1,19,3,11,2
ClassEval_90__get_query_params.py,16,7,134,4,36,2
ClassEval_92__delete_user_by_username.py,4,1,35,2,13,1
ClassEval_54__create_board.py,21,5,154,1,42,1
ClassEval_99__create_zip_file.py,16,7,111,3,34,1
ClassEval_36__fetch.py,6,3,31,1,15,1
ClassEval_62__construct_stop_word_list.py,2,1,14,1,8,1
ClassEval_12__check_winner.py,13,5,59,3,28,1
ClassEval_75__add_item.py,4,2,41,5,14,2
ClassEval_17__is_available.py,9,5,53,4,24,2
ClassEval_25__load_cookies.py,13,4,92,3,26,2
ClassEval_26__process_csv_data.py,33,11,231,5,58,2
ClassEval_21__is_free_at.py,13,5,96,6,32,2
ClassEval_57__mrr.py,18,7,119,3,46,2
ClassEval_1__calculate_circle_area.py,4,2,28,3,11,2
ClassEval_35__solve.py,22,7,153,3,58,1
ClassEval_73__heal.py,3,1,24,1,10,1
ClassEval_3__factorial.py,9,5,48,1,17,1
ClassEval_82__add_stock.py,2,1,16,2,11,1
ClassEval_47__get_octets.py,15,11,101,1,34,1
ClassEval_75__total_price.py,5,2,33,1,14,1
ClassEval_67__checkout.py,4,2,20,1,15,1
ClassEval_85__simulate_operation.py,21,9,123,6,51,2
ClassEval_11__check.py,6,4,35,1,16,1
ClassEval_11__remove.py,2,1,13,2,12,1
ClassEval_51__kappa.py,11,8,147,2,31,1
ClassEval_50__write_json.py,10,4,81,3,25,1
ClassEval_95__add_product.py,5,2,48,4,15,1
ClassEval_73__level_up.py,8,2,56,1,16,1
ClassEval_87__get_format_time.py,2,1,21,7,14,1
ClassEval_54__remove_icons.py,5,1,42,3,13,1
ClassEval_74__del_white_list.py,8,3,46,2,17,1
ClassEval_31__correlation_coefficient.py,13,7,133,2,32,1
ClassEval_8__view_balance.py,2,1,10,1,5,1
ClassEval_7__check_balanced_brackets.py,11,6,77,1,21,1
ClassEval_64__octal_to_decimal.py,8,2,54,1,18,1
ClassEval_40__get_BMI.py,2,1,18,1,10,1
ClassEval_90__get_scheme.py,4,1,24,1,12,1
ClassEval_34__add_heading.py,12,6,73,4,26,2
ClassEval_39__prepare.py,35,19,243,2,63,1
ClassEval_22__register_student.py,8,4,47,2,15,1
ClassEval_38__process_excel_data.py,27,9,173,6,53,2
ClassEval_13__remove_book.py,14,9,119,3,26,1
ClassEval_43__list_employees.py,6,2,44,1,15,1
ClassEval_79__select_female_under_age.py,2,1,11,2,9,1
ClassEval_39__compare.py,14,1,69,3,29,1
ClassEval_74__send.py,12,5,52,2,22,1
ClassEval_36__send_to.py,19,3,113,7,44,2
ClassEval_95__track_order.py,4,2,28,2,13,1
ClassEval_0__set_current_user_info_and_log.py,9,2,64,2,23,1
ClassEval_47__get_binary.py,16,8,93,1,33,1
ClassEval_3__select_all.py,8,4,62,3,16,2
ClassEval_94__purchase_item.py,11,4,66,2,34,1
