filename,nloc,ccn,token_count,param_count,length,top_nesting_level
ClassEval_67__add_dish.py,10,5,69,2,26,1
ClassEval_72__findall.py,2,1,19,3,11,1
ClassEval_90__get_query_params.py,8,3,69,1,19,1
ClassEval_92__delete_user_by_username.py,4,1,35,2,13,1
ClassEval_54__create_board.py,20,4,133,1,40,1
ClassEval_99__create_zip_file.py,18,7,116,3,35,1
ClassEval_36__fetch.py,6,3,31,1,16,1
ClassEval_62__construct_stop_word_list.py,2,1,14,1,8,1
ClassEval_12__check_winner.py,13,5,59,3,27,1
ClassEval_75__add_item.py,2,1,30,4,12,1
ClassEval_17__is_available.py,7,4,42,3,22,1
ClassEval_25__load_cookies.py,13,5,84,1,24,1
ClassEval_26__process_csv_data.py,26,8,149,3,53,1
ClassEval_21__is_free_at.py,9,3,66,2,27,1
ClassEval_57__mrr.py,18,7,114,2,43,2
ClassEval_1__calculate_circle_area.py,3,1,18,1,10,1
ClassEval_35__solve.py,22,5,152,1,57,1
ClassEval_73__heal.py,3,1,24,1,10,1
ClassEval_3__factorial.py,9,5,48,1,17,1
ClassEval_82__add_stock.py,2,1,16,2,11,1
ClassEval_47__get_octets.py,14,11,101,1,32,1
ClassEval_75__total_price.py,5,2,33,1,14,1
ClassEval_67__checkout.py,5,2,22,1,17,1
ClassEval_85__simulate_operation.py,12,5,62,1,30,1
ClassEval_11__check.py,6,4,35,1,16,1
ClassEval_11__remove.py,6,5,49,2,19,1
ClassEval_51__kappa.py,10,8,144,2,31,1
ClassEval_50__write_json.py,7,2,38,3,18,1
ClassEval_95__add_product.py,5,2,48,4,15,1
ClassEval_73__level_up.py,8,2,56,1,16,1
ClassEval_87__get_format_time.py,2,1,21,7,14,1
ClassEval_54__remove_icons.py,5,1,42,3,12,1
ClassEval_74__del_white_list.py,8,3,46,2,17,1
ClassEval_31__correlation_coefficient.py,9,4,106,2,26,1
ClassEval_8__view_balance.py,2,1,10,1,5,1
ClassEval_7__check_balanced_brackets.py,15,6,98,1,25,1
ClassEval_64__octal_to_decimal.py,8,2,54,1,18,1
ClassEval_40__get_BMI.py,2,1,18,1,10,1
ClassEval_90__get_scheme.py,4,1,24,1,11,1
ClassEval_34__add_heading.py,10,5,59,3,19,1
ClassEval_39__prepare.py,34,19,248,2,60,1
ClassEval_22__register_student.py,6,2,29,2,9,1
ClassEval_38__process_excel_data.py,10,7,104,3,26,1
ClassEval_13__remove_book.py,14,8,110,3,26,1
ClassEval_43__list_employees.py,5,2,38,1,14,1
ClassEval_79__select_female_under_age.py,2,1,11,2,9,1
ClassEval_39__compare.py,5,1,57,3,19,1
ClassEval_74__send.py,9,5,47,2,19,1
ClassEval_36__send_to.py,21,8,180,4,46,1
ClassEval_95__track_order.py,4,2,28,2,13,1
ClassEval_0__set_current_user_info_and_log.py,3,1,19,2,12,1
ClassEval_47__get_binary.py,16,8,93,1,33,1
ClassEval_3__select_all.py,8,3,57,1,20,1
ClassEval_94__purchase_item.py,11,4,66,2,34,1
ClassEval_8__transfer.py,3,1,20,3,13,1
ClassEval_34__add_table.py,22,12,155,2,39,1
ClassEval_49__search_jobs.py,6,4,39,2,16,1
ClassEval_14__remove_book.py,7,1,48,2,16,1
ClassEval_44__extract_code_from_html_text.py,34,12,194,10,76,3
ClassEval_8__deposit.py,5,2,27,2,10,1
ClassEval_12__calculate_hand_value.py,16,6,77,2,33,1
ClassEval_24__multiply.py,2,1,12,2,12,1
ClassEval_38__write_excel.py,12,3,54,3,34,1
ClassEval_65__trans_three.py,24,9,230,2,41,1
ClassEval_76__add_user.py,6,2,29,2,16,1
ClassEval_9__add.py,13,4,119,2,33,1
ClassEval_72__generate_phone_number_pattern.py,2,1,9,1,9,1
ClassEval_79__select_by_age_range.py,2,1,13,3,10,1
