module,error_ids,error_messages,count
ClassEval_0__filter,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__filter"" doesn't conform to snake_case naming style | Too few public methods (1/2)",8
ClassEval_0__get_jwt_user,"trailing-whitespace, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, too-few-public-methods","Trailing whitespace | Line too long (135/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__get_jwt_user"" doesn't conform to snake_case naming style | Import outside toplevel (datetime) | Too few public methods (1/2)",13
ClassEval_0__is_start_with,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__is_start_with"" doesn't conform to snake_case naming style | Too few public methods (1/2)",5
ClassEval_0__set_current_user_info_and_log,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, attribute-defined-outside-init, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__set_current_user_info_and_log"" doesn't conform to snake_case naming style | Instance of '_M' has no 'log_access' member | Attribute 'current_user' defined outside __init__ | Too few public methods (1/2)",7
ClassEval_10__calculate_binary_info,"trailing-whitespace, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, no-member, no-member, too-few-public-methods","Trailing whitespace | Line too long (128/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__calculate_binary_info"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",13
ClassEval_10__clean_non_binary_chars,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, attribute-defined-outside-init, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__clean_non_binary_chars"" doesn't conform to snake_case naming style | Attribute 'binary_string' defined outside __init__ | Too few public methods (1/2)",6
ClassEval_10__convert_to_ascii,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, no-member, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__convert_to_ascii"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",7
ClassEval_10__convert_to_utf8,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, too-few-public-methods","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__convert_to_utf8"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",8
ClassEval_11__add,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-self-argument, too-few-public-methods","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_11__add"" doesn't conform to snake_case naming style | Method should have ""self"" as first argument | Too few public methods (1/2)",8
ClassEval_11__check,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Line too long (124/100) | Final newline missing | Missing module docstring | Module name ""ClassEval_11__check"" doesn't conform to snake_case naming style | Too few public methods (1/2)",5
