filename,nloc,ccn,token_count,param_count,length,top_nesting_level
ClassEval_67__add_dish.py,10,4,62,2,27,1
ClassEval_72__findall.py,3,1,21,3,12,1
ClassEval_90__get_query_params.py,8,3,69,1,19,1
ClassEval_92__delete_user_by_username.py,4,1,35,2,13,1
ClassEval_54__create_board.py,22,5,162,1,46,1
ClassEval_99__create_zip_file.py,18,7,116,3,38,1
ClassEval_36__fetch.py,6,3,31,1,16,1
ClassEval_62__construct_stop_word_list.py,2,1,14,1,8,1
ClassEval_12__check_winner.py,17,8,77,3,35,1
ClassEval_75__add_item.py,4,2,45,4,15,1
ClassEval_17__is_available.py,7,4,42,3,22,1
ClassEval_25__load_cookies.py,13,5,88,1,24,1
ClassEval_26__process_csv_data.py,23,7,148,3,55,1
ClassEval_21__is_free_at.py,9,3,66,2,29,1
ClassEval_57__mrr.py,18,7,120,3,58,2
ClassEval_1__calculate_circle_area.py,2,1,16,1,9,1
ClassEval_35__solve.py,17,5,115,1,55,1
ClassEval_73__heal.py,3,1,24,1,10,1
ClassEval_3__factorial.py,9,5,48,1,17,1
ClassEval_82__add_stock.py,2,1,16,2,11,1
ClassEval_47__get_octets.py,16,10,93,1,33,1
ClassEval_75__total_price.py,5,2,33,1,14,1
ClassEval_67__checkout.py,5,2,22,1,17,1
ClassEval_85__simulate_operation.py,10,4,52,1,27,1
ClassEval_11__check.py,6,4,35,1,16,1
ClassEval_11__remove.py,2,1,13,2,13,1
ClassEval_51__kappa.py,10,8,144,2,29,1
ClassEval_50__write_json.py,7,2,52,3,18,1
ClassEval_95__add_product.py,5,2,48,4,15,1
ClassEval_73__level_up.py,8,2,56,1,26,1
ClassEval_87__get_format_time.py,2,1,21,7,14,1
ClassEval_54__remove_icons.py,5,1,42,3,22,1
ClassEval_74__del_white_list.py,8,3,46,2,17,1
ClassEval_31__correlation_coefficient.py,11,5,113,2,29,1
ClassEval_8__view_balance.py,2,1,10,1,5,1
ClassEval_7__check_balanced_brackets.py,11,6,77,1,21,1
ClassEval_64__octal_to_decimal.py,8,2,54,1,18,1
ClassEval_40__get_BMI.py,2,1,18,1,10,1
ClassEval_90__get_scheme.py,4,1,24,1,11,1
ClassEval_34__add_heading.py,13,6,71,3,23,1
ClassEval_39__prepare.py,34,19,248,2,59,1
ClassEval_22__register_student.py,6,2,29,2,9,1
ClassEval_38__process_excel_data.py,11,3,101,3,29,1
ClassEval_13__remove_book.py,16,8,118,3,35,1
ClassEval_43__list_employees.py,6,2,44,1,15,1
ClassEval_79__select_female_under_age.py,2,1,11,2,9,1
ClassEval_39__compare.py,13,1,65,3,28,1
ClassEval_74__send.py,10,5,49,2,19,1
ClassEval_36__send_to.py,14,2,81,4,28,1
ClassEval_95__track_order.py,4,2,28,2,14,1
ClassEval_0__set_current_user_info_and_log.py,3,1,18,2,12,1
ClassEval_47__get_binary.py,17,8,107,1,36,1
ClassEval_3__select_all.py,8,3,57,1,20,1
ClassEval_94__purchase_item.py,11,4,73,2,34,1
ClassEval_8__transfer.py,4,2,27,3,14,1
ClassEval_34__add_table.py,20,13,159,2,38,1
ClassEval_49__search_jobs.py,6,4,39,2,16,1
ClassEval_14__remove_book.py,7,1,48,2,16,1
ClassEval_44__extract_code_from_html_text.py,36,13,204,10,68,3
ClassEval_8__deposit.py,5,2,27,2,11,1
ClassEval_12__calculate_hand_value.py,16,6,77,2,33,1
ClassEval_24__multiply.py,2,1,12,2,12,1
ClassEval_38__write_excel.py,12,3,54,3,34,1
ClassEval_65__trans_three.py,24,10,234,2,41,1
ClassEval_76__add_user.py,6,2,30,2,16,1
ClassEval_9__add.py,13,4,119,2,33,1
ClassEval_72__generate_phone_number_pattern.py,2,1,9,1,9,1
ClassEval_79__select_by_age_range.py,2,1,13,3,10,1
ClassEval_98__write_xml.py,14,6,103,2,25,1
ClassEval_4__get_gpa.py,11,5,80,2,32,1
ClassEval_80__select.py,15,7,103,3,30,1
ClassEval_84__read_file.py,3,1,28,1,10,1
ClassEval_60__search_tickets_by_customer.py,5,1,37,2,15,1
ClassEval_37__rail_fence_cipher.py,17,9,107,3,39,1
ClassEval_82__sell_stock.py,14,5,89,2,39,1
ClassEval_59__available_movies.py,15,6,111,4,37,2
ClassEval_85__get_mode.py,2,3,29,1,6,1
ClassEval_71__move.py,38,17,290,2,74,1
ClassEval_11__add.py,6,5,48,2,23,1
ClassEval_18____setitem__.py,7,3,65,4,24,2
ClassEval_0__get_jwt_user.py,16,6,109,2,36,1
ClassEval_61__add_song.py,2,1,16,2,11,1
ClassEval_54__is_valid_move.py,52,34,537,13,90,1
ClassEval_23__select_all.py,6,3,58,1,13,1
ClassEval_43__add_employee.py,12,3,66,6,29,1
ClassEval_30__get_min.py,2,1,13,1,9,1
ClassEval_20__get_messages.py,5,2,27,2,17,1
ClassEval_85__get_target_temperature.py,2,1,10,1,8,1
ClassEval_4__get_all_students_with_fail_course.py,8,4,48,1,17,1
ClassEval_50__read_json.py,9,3,53,2,18,1
ClassEval_61__shuffle.py,6,2,26,1,17,1
ClassEval_52__remove_punctuation.py,2,1,26,2,11,1
ClassEval_37__caesar_cipher.py,12,4,94,3,28,1
ClassEval_79__update.py,10,3,63,3,24,1
ClassEval_64__decimal_to_hex.py,2,1,15,1,9,1
ClassEval_4__get_course_average.py,10,4,54,2,18,1
ClassEval_43__remove_employee.py,6,2,28,2,18,1
ClassEval_79__delete.py,2,1,11,2,9,1
ClassEval_28__search_database.py,12,3,59,3,22,1
ClassEval_59__add_movie.py,12,1,109,6,33,1
ClassEval_49__remove_job.py,3,2,23,2,14,1
ClassEval_42__book_room.py,15,6,104,4,39,1
ClassEval_55__palindromic_string.py,27,8,188,1,53,1
ClassEval_36__clear_inbox.py,9,5,66,2,29,1
ClassEval_35__move.py,27,14,257,3,46,1
ClassEval_82__remove_stock.py,6,3,43,2,17,1
ClassEval_29__mode.py,10,5,75,2,29,1
ClassEval_59__book_ticket.py,13,9,100,3,36,1
ClassEval_74__show.py,7,3,30,2,16,1
ClassEval_49__submit_resume.py,7,1,35,4,19,1
ClassEval_29__mean.py,6,2,37,2,17,1
