filename,nloc,ccn,token_count,param_count,length,top_nesting_level
ClassEval_67__add_dish.py,10,4,62,2,27,1
ClassEval_72__findall.py,2,1,19,3,11,1
ClassEval_90__get_query_params.py,8,3,69,1,19,1
ClassEval_92__delete_user_by_username.py,4,1,35,2,13,1
ClassEval_54__create_board.py,20,4,127,1,37,1
ClassEval_99__create_zip_file.py,16,7,112,3,33,1
ClassEval_36__fetch.py,6,3,31,1,16,1
ClassEval_62__construct_stop_word_list.py,2,1,14,1,8,1
ClassEval_12__check_winner.py,30,11,131,4,70,2
ClassEval_75__add_item.py,4,2,45,4,15,1
ClassEval_17__is_available.py,7,4,42,3,22,1
ClassEval_25__load_cookies.py,13,5,88,1,24,1
ClassEval_26__process_csv_data.py,21,9,139,3,48,1
ClassEval_21__is_free_at.py,9,3,66,2,27,1
ClassEval_57__mrr.py,18,7,119,3,47,2
ClassEval_1__calculate_circle_area.py,2,1,16,1,9,1
ClassEval_35__solve.py,22,5,150,1,52,1
ClassEval_73__heal.py,3,1,24,1,10,1
ClassEval_3__factorial.py,9,5,48,1,18,1
ClassEval_82__add_stock.py,2,1,16,2,11,1
ClassEval_47__get_octets.py,14,8,75,1,25,1
ClassEval_75__total_price.py,5,2,33,1,14,1
ClassEval_67__checkout.py,4,2,20,1,16,1
ClassEval_85__simulate_operation.py,10,4,52,1,26,1
ClassEval_11__check.py,6,4,35,1,16,1
ClassEval_11__remove.py,2,1,13,2,12,1
ClassEval_51__kappa.py,12,7,133,2,30,1
ClassEval_50__write_json.py,7,2,50,3,18,1
ClassEval_95__add_product.py,5,2,48,4,15,1
ClassEval_73__level_up.py,8,2,56,1,18,1
ClassEval_87__get_format_time.py,2,1,21,7,14,1
ClassEval_54__remove_icons.py,5,1,42,3,11,1
ClassEval_74__del_white_list.py,8,3,46,2,17,1
ClassEval_31__correlation_coefficient.py,9,4,112,2,26,1
ClassEval_8__view_balance.py,2,1,10,1,5,1
ClassEval_7__check_balanced_brackets.py,10,6,76,1,20,1
ClassEval_64__octal_to_decimal.py,2,1,13,1,9,1
ClassEval_40__get_BMI.py,2,1,18,1,10,1
ClassEval_90__get_scheme.py,4,1,24,1,11,1
ClassEval_34__add_heading.py,10,5,59,3,20,1
ClassEval_39__prepare.py,34,19,248,2,61,1
ClassEval_22__register_student.py,6,2,29,2,9,1
ClassEval_38__process_excel_data.py,18,5,146,3,39,1
ClassEval_13__remove_book.py,21,10,129,3,37,1
ClassEval_43__list_employees.py,5,2,38,1,14,1
ClassEval_79__select_female_under_age.py,2,1,11,2,9,1
ClassEval_39__compare.py,12,1,61,3,27,1
ClassEval_74__send.py,11,5,50,2,22,1
