module,error_ids,error_messages,count
ClassEval_0__filter,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__filter"" doesn't conform to snake_case naming style | Too few public methods (1/2)",9
ClassEval_0__get_jwt_user,"trailing-whitespace, line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, broad-except, too-many-return-statements, too-few-public-methods","Trailing whitespace | Line too long (102/100) | Line too long (135/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__get_jwt_user"" doesn't conform to snake_case naming style | Catching too general exception Exception | Too many return statements (7/6) | Too few public methods (1/2)",17
ClassEval_0__is_start_with,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__is_start_with"" doesn't conform to snake_case naming style | Too few public methods (1/2)",5
ClassEval_0__set_current_user_info_and_log,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, attribute-defined-outside-init, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__set_current_user_info_and_log"" doesn't conform to snake_case naming style | Instance of '_M' has no 'log_access' member | Attribute 'current_user_info' defined outside __init__ | Too few public methods (1/2)",7
ClassEval_10__calculate_binary_info,"trailing-whitespace, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, too-few-public-methods","Trailing whitespace | Line too long (130/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__calculate_binary_info"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",11
ClassEval_10__clean_non_binary_chars,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, attribute-defined-outside-init, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__clean_non_binary_chars"" doesn't conform to snake_case naming style | Attribute 'binary_string' defined outside __init__ | Too few public methods (1/2)",6
ClassEval_10__convert_to_ascii,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, no-member, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__convert_to_ascii"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",7
ClassEval_10__convert_to_utf8,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unsubscriptable-object, too-few-public-methods","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__convert_to_utf8"" doesn't conform to snake_case naming style | Value 'binary_str' is unsubscriptable | Too few public methods (1/2)",8
ClassEval_11__add,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-self-argument, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_11__add"" doesn't conform to snake_case naming style | Method should have ""self"" as first argument | Too few public methods (1/2)",6
ClassEval_11__check,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Line too long (137/100) | Final newline missing | Missing module docstring | Module name ""ClassEval_11__check"" doesn't conform to snake_case naming style | Too few public methods (1/2)",5
ClassEval_11__has,"trailing-whitespace, line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, no-self-argument, too-few-public-methods","Trailing whitespace | Line too long (111/100) | Line too long (103/100) | Final newline missing | Missing module docstring | Module name ""ClassEval_11__has"" doesn't conform to snake_case naming style | Method should have ""self"" as first argument | Too few public methods (1/2)",8
ClassEval_11__remove,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_11__remove"" doesn't conform to snake_case naming style | Too few public methods (1/2)",5
ClassEval_12__calculate_hand_value,"line-too-long, line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Line too long (130/100) | Line too long (121/100) | Line too long (112/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_12__calculate_hand_value"" doesn't conform to snake_case naming style | Too few public methods (1/2)",11
ClassEval_12__check_winner,"line-too-long, line-too-long, line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-else-return, no-else-return, too-few-public-methods","Line too long (102/100) | Line too long (133/100) | Line too long (103/100) | Line too long (104/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_12__check_winner"" doesn't conform to snake_case naming style | Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it | Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it | Too few public methods (1/2)",16
