filename,nloc,ccn,token_count,param_count,length,top_nesting_level
ClassEval_67__add_dish.py,19,7,112,2,29,1
ClassEval_72__findall.py,2,1,19,3,11,1
ClassEval_90__get_query_params.py,19,7,123,1,26,1
ClassEval_92__delete_user_by_username.py,3,1,28,2,12,1
ClassEval_54__create_board.py,13,3,89,1,23,1
ClassEval_99__create_zip_file.py,15,6,103,3,23,1
ClassEval_36__fetch.py,6,3,31,1,16,1
ClassEval_62__construct_stop_word_list.py,2,1,14,1,8,1
ClassEval_12__check_winner.py,16,7,71,3,27,1
ClassEval_75__add_item.py,5,2,50,4,15,1
ClassEval_17__is_available.py,7,4,45,3,17,1
ClassEval_25__load_cookies.py,7,2,45,1,15,1
ClassEval_26__process_csv_data.py,19,6,143,3,34,1
ClassEval_21__is_free_at.py,8,3,62,2,19,1
ClassEval_57__mrr.py,32,14,231,1,45,1
ClassEval_1__calculate_circle_area.py,2,1,16,1,9,1
ClassEval_35__solve.py,20,8,152,1,31,1
ClassEval_73__heal.py,3,1,24,1,10,1
ClassEval_3__factorial.py,7,3,37,1,15,1
ClassEval_82__add_stock.py,6,3,48,2,14,1
ClassEval_47__get_octets.py,5,2,27,1,12,1
ClassEval_75__total_price.py,5,2,37,1,14,1
ClassEval_67__checkout.py,4,2,20,1,16,1
ClassEval_85__simulate_operation.py,13,3,85,1,21,1
ClassEval_11__check.py,8,5,50,1,18,1
ClassEval_11__remove.py,3,1,23,2,13,1
ClassEval_51__kappa.py,11,3,111,2,19,1
ClassEval_50__write_json.py,7,2,41,3,18,1
ClassEval_95__add_product.py,5,2,48,4,15,1
ClassEval_73__level_up.py,8,2,56,1,16,1
ClassEval_87__get_format_time.py,3,1,43,7,15,1
ClassEval_54__remove_icons.py,5,1,42,3,21,1
ClassEval_74__del_white_list.py,6,2,32,2,14,1
ClassEval_31__correlation_coefficient.py,13,7,140,2,22,1
ClassEval_8__view_balance.py,2,1,10,1,5,1
ClassEval_7__check_balanced_brackets.py,15,6,99,1,23,1
ClassEval_64__octal_to_decimal.py,3,1,16,1,10,1
ClassEval_40__get_BMI.py,2,1,16,1,10,1
ClassEval_90__get_scheme.py,5,2,32,1,12,1
ClassEval_34__add_heading.py,8,2,46,3,14,1
ClassEval_39__prepare.py,49,21,300,2,57,1
ClassEval_22__register_student.py,6,3,38,2,9,1
ClassEval_38__process_excel_data.py,14,6,123,3,22,1
ClassEval_13__remove_book.py,13,7,85,3,19,1
ClassEval_43__list_employees.py,5,2,38,1,14,1
ClassEval_79__select_female_under_age.py,3,1,21,2,10,1
ClassEval_39__compare.py,4,1,40,3,13,1
ClassEval_74__send.py,4,4,48,2,11,1
ClassEval_36__send_to.py,7,2,78,4,21,1
ClassEval_95__track_order.py,8,3,39,2,17,1
ClassEval_0__set_current_user_info_and_log.py,2,1,15,2,10,1
ClassEval_47__get_binary.py,9,3,63,1,16,1
ClassEval_3__select_all.py,6,3,52,1,14,1
ClassEval_94__purchase_item.py,14,4,78,2,26,1
ClassEval_8__transfer.py,8,3,46,3,18,1
ClassEval_34__add_table.py,12,5,100,2,17,1
ClassEval_49__search_jobs.py,6,3,35,2,16,1
ClassEval_14__remove_book.py,3,1,28,2,9,1
ClassEval_44__extract_code_from_html_text.py,13,5,100,2,31,1
ClassEval_8__deposit.py,5,2,27,2,10,1
ClassEval_12__calculate_hand_value.py,16,6,77,2,27,1
ClassEval_24__multiply.py,4,1,49,2,14,1
ClassEval_38__write_excel.py,12,4,88,3,27,1
ClassEval_65__trans_three.py,10,4,82,2,18,1
ClassEval_76__add_user.py,6,2,29,2,16,1
ClassEval_9__add.py,13,3,118,2,23,1
ClassEval_72__generate_phone_number_pattern.py,3,1,11,1,10,1
