module,error_ids,error_messages,count
ClassEval_0__filter,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, no-member, no-member, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_0__filter"" doesn't conform to snake_case naming style | Instance of '_M' has no 'is_start_with' member | Instance of '_M' has no 'get_jwt_user' member | Instance of '_M' has no 'set_current_user_info_and_log' member | Too few public methods (1/2)",8
ClassEval_0__get_jwt_user,"line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Line too long (106/100) | Line too long (139/100) | Final newline missing | Missing module docstring | Module name ""ClassEval_0__get_jwt_user"" doesn't conform to snake_case naming style | Too few public methods (1/2)",6
ClassEval_0__is_start_with,"missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Final newline missing | Missing module docstring | Module name ""ClassEval_0__is_start_with"" doesn't conform to snake_case naming style | Too few public methods (1/2)",4
ClassEval_0__set_current_user_info_and_log,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, too-few-public-methods","Final newline missing | Missing module docstring | Module name ""ClassEval_0__set_current_user_info_and_log"" doesn't conform to snake_case naming style | Undefined variable 'logging' | Too few public methods (1/2)",5
ClassEval_10__calculate_binary_info,"line-too-long, missing-final-newline, line-too-long, missing-module-docstring, invalid-name, no-member, no-member, no-member, too-few-public-methods","Line too long (134/100) | Final newline missing | Line too long (115/100) | Missing module docstring | Module name ""ClassEval_10__calculate_binary_info"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",9
ClassEval_10__clean_non_binary_chars,"missing-final-newline, missing-module-docstring, invalid-name, attribute-defined-outside-init, too-few-public-methods","Final newline missing | Missing module docstring | Module name ""ClassEval_10__clean_non_binary_chars"" doesn't conform to snake_case naming style | Attribute 'binary_string' defined outside __init__ | Too few public methods (1/2)",5
ClassEval_10__convert_to_ascii,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, no-member, no-member, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_10__convert_to_ascii"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",7
ClassEval_10__convert_to_utf8,"missing-final-newline, missing-module-docstring, invalid-name, no-member, no-member, too-few-public-methods","Final newline missing | Missing module docstring | Module name ""ClassEval_10__convert_to_utf8"" doesn't conform to snake_case naming style | Instance of '_M' has no 'binary_string' member | Instance of '_M' has no 'binary_string' member | Too few public methods (1/2)",6
ClassEval_11__add,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, too-few-public-methods","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""ClassEval_11__add"" doesn't conform to snake_case naming style | Undefined variable 'BitStatusUtil' | Too few public methods (1/2)",6
ClassEval_11__check,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, too-few-public-methods","Line too long (141/100) | Final newline missing | Missing module docstring | Module name ""ClassEval_11__check"" doesn't conform to snake_case naming style | Too few public methods (1/2)",5
ClassEval_11__has,"trailing-whitespace, line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, too-few-public-methods","Trailing whitespace | Line too long (115/100) | Line too long (107/100) | Final newline missing | Missing module docstring | Module name ""ClassEval_11__has"" doesn't conform to snake_case naming style | Undefined variable 'BitStatusUtil' | Too few public methods (1/2)",8
ClassEval_11__remove,"trailing-whitespace, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, too-few-public-methods","Trailing whitespace | Line too long (102/100) | Final newline missing | Missing module docstring | Module name ""ClassEval_11__remove"" doesn't conform to snake_case naming style | Undefined variable 'BitStatusUtil' | Too few public methods (1/2)",7
